method,axis,value,n,energy_fractional_bias,energy_fractional_sigma68,pid_balanced_accuracy,timing_sigma68_ns,pileup_miss_rate,false_split_rate
1d_cnn,sample_family,sample_ii_analysis,528,-0.09278881139679454,0.19812836700569852,0.7907858455882353,1.908325477857147,0.14015151515151514,0.14204545454545456
1d_cnn,sample_family,sample_ii_calib,132,-0.11304002411445531,0.19238032341501365,0.7180555555555556,1.5946989243611471,0.1590909090909091,0.06060606060606061
deltaE_over_E_likelihood_template,sample_family,sample_ii_analysis,528,-1.0,0.484444344908256,0.7784926470588236,2.064430897390264,0.3390151515151515,0.04924242424242424
deltaE_over_E_likelihood_template,sample_family,sample_ii_calib,132,-1.0,0.5065833790055688,0.7194444444444444,1.7680676542858293,0.36363636363636365,0.03787878787878788
gradient_boosted_trees,sample_family,sample_ii_analysis,528,-0.05727741530971041,0.17584227807465286,0.8651194852941176,1.608592460650479,0.14962121212121213,0.13257575757575757
gradient_boosted_trees,sample_family,sample_ii_calib,132,-0.0502549241207671,0.19499275056751203,0.7569444444444444,1.2126794010353084,0.16666666666666666,0.08333333333333333
joint_sequence_transformer,sample_family,sample_ii_analysis,528,-0.002941426789992163,0.2364342244738165,0.5149356617647058,2.2266153650619387,0.16856060606060605,0.11742424242424243
joint_sequence_transformer,sample_family,sample_ii_calib,132,-0.02666258232227309,0.23644412817649563,0.5152777777777777,2.012693447155816,0.1590909090909091,0.08333333333333333
mlp,sample_family,sample_ii_analysis,528,-0.06596474850595732,0.26052353998587063,0.7000229779411764,3.288162962798469,0.14772727272727273,0.1553030303030303
mlp,sample_family,sample_ii_calib,132,-0.07874913053211932,0.2626860765289767,0.7055555555555555,3.4676963800536242,0.15151515151515152,0.10606060606060606
ridge,sample_family,sample_ii_analysis,528,-0.06081280971839513,0.203431899504969,0.7609145220588236,1.7899361009218184,0.14583333333333334,0.14393939393939395
ridge,sample_family,sample_ii_calib,132,-0.04866619963469372,0.20934410354080368,0.7097222222222223,1.7741483340678268,0.12878787878787878,0.12878787878787878
template_residual_boosted_stack_new,sample_family,sample_ii_analysis,528,-0.04876028038477046,0.17430849263601367,0.8650045955882353,1.6025385396296734,0.16287878787878787,0.13446969696969696
template_residual_boosted_stack_new,sample_family,sample_ii_calib,132,-0.048639333770029596,0.1964929084405732,0.7777777777777777,1.2724353257597294,0.19696969696969696,0.08333333333333333
1d_cnn,saturation_state,saturated,240,-0.017988181316881277,0.11473366289088119,0.762642400666852,1.8604252594139594,0.17916666666666667,0.1375
1d_cnn,saturation_state,unsaturated,420,-0.1619515381961576,0.20651198436931523,0.7857142857142857,1.8075841166830866,0.12380952380952381,0.11904761904761904
deltaE_over_E_likelihood_template,saturation_state,saturated,240,-1.0,0.51251088190812,0.7883439844401223,2.4392509888451337,0.44583333333333336,0.041666666666666664
deltaE_over_E_likelihood_template,saturation_state,unsaturated,420,-1.0,0.46819782279348543,0.7571428571428571,1.8484302479688934,0.2857142857142857,0.05
gradient_boosted_trees,saturation_state,saturated,240,-0.026446879452466987,0.09262675997114724,0.839191442067241,1.7105397609547242,0.125,0.1625
gradient_boosted_trees,saturation_state,unsaturated,420,-0.11651217953473872,0.23535355265903896,0.8476190476190476,1.354142265056268,0.16904761904761906,0.1
joint_sequence_transformer,saturation_state,saturated,240,0.10177813809950417,0.12678907895971245,0.5181300361211447,2.2701506734992547,0.2125,0.12916666666666668
joint_sequence_transformer,saturation_state,unsaturated,420,-0.11049783546863612,0.2292643506698529,0.5119047619047619,2.1259911577714585,0.14047619047619048,0.1
mlp,saturation_state,saturated,240,-0.0058425981263309276,0.19694407557009624,0.7131842178382883,3.229055954098781,0.15833333333333333,0.15833333333333333
mlp,saturation_state,unsaturated,420,-0.10302975315295995,0.28230134365964793,0.6976190476190476,3.4466510445809417,0.14285714285714285,0.1380952380952381
ridge,saturation_state,saturated,240,-0.008256627884831634,0.10615882478414672,0.7284662406223951,1.839533681025864,0.11666666666666667,0.1625
ridge,saturation_state,unsaturated,420,-0.12791031760772684,0.22731388290097165,0.7666666666666666,1.7164782523795639,0.15714285714285714,0.12857142857142856
template_residual_boosted_stack_new,saturation_state,saturated,240,-0.0170431072072441,0.08807505569299356,0.839191442067241,1.7917237271996003,0.15,0.19166666666666668
template_residual_boosted_stack_new,saturation_state,unsaturated,420,-0.11099317645459991,0.22760110852312967,0.8547619047619047,1.395129257909331,0.18095238095238095,0.08571428571428572
1d_cnn,pileup_state,clean,330,-0.1649357949270157,0.23717886855481146,0.7814922302633995,2.0048905125121297,0.0,0.2515151515151515
1d_cnn,pileup_state,overlap,330,-0.06368809116645519,0.121801854181146,0.7727272727272727,1.728213528849663,0.2878787878787879,0.0
deltaE_over_E_likelihood_template,pileup_state,clean,330,-1.0,0.3713454249103215,0.7752837882517174,2.199720274541194,0.0,0.09393939393939393
deltaE_over_E_likelihood_template,pileup_state,overlap,330,-1.0,0.5070015522901596,0.7606060606060606,1.9235457662264541,0.6878787878787879,0.0
gradient_boosted_trees,pileup_state,clean,330,-0.1517151541368687,0.23091970430381992,0.8673818008155468,1.5316993345649579,0.0,0.24545454545454545
gradient_boosted_trees,pileup_state,overlap,330,-0.017695318497545576,0.11250547909637193,0.8212121212121212,1.3956238280745972,0.30606060606060603,0.0
joint_sequence_transformer,pileup_state,clean,330,-0.12422462652355683,0.2895572979815494,0.5290400793505015,2.3303624112590398,0.0,0.22121212121212122
joint_sequence_transformer,pileup_state,overlap,330,0.05178522761956351,0.1444641619049684,0.503030303030303,1.8078075959075943,0.3333333333333333,0.0
mlp,pileup_state,clean,330,-0.10436869503819207,0.3343544808597075,0.7294919363726534,3.7894102575984965,0.0,0.2909090909090909
mlp,pileup_state,overlap,330,-0.04629552637850696,0.17409000851807138,0.6757575757575758,2.816290515630259,0.296969696969697,0.0
ridge,pileup_state,clean,330,-0.16244648803355427,0.2406786608528127,0.7660078615774586,1.6660828070544977,0.0,0.2818181818181818
ridge,pileup_state,overlap,330,-0.022786835298913694,0.11138420759100554,0.7393939393939395,1.8390724859800764,0.28484848484848485,0.0
template_residual_boosted_stack_new,pileup_state,clean,330,-0.1465749085021169,0.23029016482946,0.8675287461886043,1.6404380705146144,0.0,0.24848484848484848
template_residual_boosted_stack_new,pileup_state,overlap,330,-0.016311311677066342,0.10647154073911382,0.8303030303030303,1.4094478279497868,0.3393939393939394,0.0
1d_cnn,pedestal_bin,"(-170.068, -8.932]",220,-0.10699162452253758,0.16044472653481293,0.7769510582010581,1.5715129901736022,0.20909090909090908,0.06818181818181818
1d_cnn,pedestal_bin,"(-4320.819, -170.068]",220,-0.05090870790585863,0.21911926108938215,0.7984111221449851,2.469780817246425,0.10909090909090909,0.17727272727272728
1d_cnn,pedestal_bin,"(-8.932, 609.332]",220,-0.12817099987376623,0.20971133739665895,0.7545514730221781,1.7367887018501222,0.11363636363636363,0.1318181818181818
deltaE_over_E_likelihood_template,pedestal_bin,"(-170.068, -8.932]",220,-1.0,0.4838903174441415,0.7582671957671958,2.4466473019478654,0.37727272727272726,0.013636363636363636
deltaE_over_E_likelihood_template,pedestal_bin,"(-4320.819, -170.068]",220,-1.0,0.5088711654125312,0.7984111221449851,1.891953876287751,0.37272727272727274,0.05909090909090909
deltaE_over_E_likelihood_template,pedestal_bin,"(-8.932, 609.332]",220,-1.0,0.4814504536043215,0.7474346242965906,1.395729469254063,0.2818181818181818,0.06818181818181818
gradient_boosted_trees,pedestal_bin,"(-170.068, -8.932]",220,-0.06257902548880473,0.15632538815494643,0.841931216931217,1.3686869008501152,0.17727272727272728,0.08181818181818182
gradient_boosted_trees,pedestal_bin,"(-4320.819, -170.068]",220,-0.04898615776510348,0.1855391922454154,0.8512909632571997,1.7612066531846908,0.11818181818181818,0.17272727272727273
gradient_boosted_trees,pedestal_bin,"(-8.932, 609.332]",220,-0.061423285079430706,0.20401550899348653,0.8382158225753062,1.2875823073862809,0.16363636363636364,0.11363636363636363
joint_sequence_transformer,pedestal_bin,"(-170.068, -8.932]",220,-0.02352655716259188,0.21121274838871235,0.4852843915343915,2.100453567692928,0.21363636363636362,0.045454545454545456
joint_sequence_transformer,pedestal_bin,"(-4320.819, -170.068]",220,0.08864631834651107,0.2233026212056315,0.5290466732869911,2.3360157370587404,0.13636363636363635,0.1590909090909091
joint_sequence_transformer,pedestal_bin,"(-8.932, 609.332]",220,-0.07354869173303019,0.24288799875530553,0.5302879841112215,1.7609529763859013,0.15,0.12727272727272726
mlp,pedestal_bin,"(-170.068, -8.932]",220,-0.052320116522611884,0.2207353643498903,0.6985780423280423,3.0832418360465477,0.17272727272727273,0.06818181818181818
mlp,pedestal_bin,"(-4320.819, -170.068]",220,-0.0726452509811457,0.2973720188785923,0.7161535915259847,3.5322172260242324,0.14545454545454545,0.19090909090909092
mlp,pedestal_bin,"(-8.932, 609.332]",220,-0.0833316009027022,0.26867421782309486,0.6938099966898379,3.0525484838659835,0.12727272727272726,0.17727272727272728
ridge,pedestal_bin,"(-170.068, -8.932]",220,-0.0648425443718565,0.19136986821097463,0.7534722222222222,1.4726536432022104,0.16818181818181818,0.07272727272727272
ridge,pedestal_bin,"(-4320.819, -170.068]",220,-0.02240145026338973,0.20706838830093727,0.7707712677921218,2.352667339031574,0.1318181818181818,0.17727272727272728
ridge,pedestal_bin,"(-8.932, 609.332]",220,-0.07153747839016057,0.21508245348387028,0.7339457133399536,1.5686905024201052,0.12727272727272726,0.17272727272727273
template_residual_boosted_stack_new,pedestal_bin,"(-170.068, -8.932]",220,-0.05333481739572529,0.1564403610662008,0.8601190476190477,1.3712645339536491,0.18636363636363637,0.07272727272727272
template_residual_boosted_stack_new,pedestal_bin,"(-4320.819, -170.068]",220,-0.037398123884921974,0.17757292232706595,0.8425190334326382,1.797006830289904,0.14545454545454545,0.19090909090909092
template_residual_boosted_stack_new,pedestal_bin,"(-8.932, 609.332]",220,-0.06524456875089144,0.20930659093350806,0.8429328037073817,1.360443122007056,0.17727272727272728,0.10909090909090909
