method,stratum,value,n,global_pid_threshold,local_pid_threshold,boundary_displacement,global_balanced_accuracy,local_balanced_accuracy
1d_cnn,pedestal_bin,"(-4320.819, -170.068]",220,0.37649400260433386,0.2834826644803272,-0.09301133812400664,0.8032801939465177,0.8141343925852367
1d_cnn,pedestal_bin,"(-170.068, -8.932]",220,0.37649400260433386,0.36970396953723594,-0.0067900330670979114,0.8032801939465177,0.7961309523809523
1d_cnn,pedestal_bin,"(-8.932, 609.332]",220,0.37649400260433386,0.3839288105173819,0.007434807913048069,0.8032801939465177,0.8065210195299569
1d_cnn,pedestal_hysteresis,falling,111,0.37649400260433386,0.47133401926258717,0.09484001665825331,0.8032801939465177,0.8201754385964912
1d_cnn,pedestal_hysteresis,flat,442,0.37649400260433386,0.3751756294800335,-0.0013183731243003316,0.8032801939465177,0.8234618539786711
1d_cnn,pedestal_hysteresis,rising,107,0.37649400260433386,0.2757852553857641,-0.10070874721856976,0.8032801939465177,0.7768817204301075
1d_cnn,pileup_bin,clean,330,0.37649400260433386,0.377104095210863,0.0006100926065291667,0.8032801939465177,0.8217368943095404
1d_cnn,pileup_bin,overlap,330,0.37649400260433386,0.26395028381869456,-0.11254371878563929,0.8032801939465177,0.793939393939394
1d_cnn,saturation_bin,saturated,240,0.37649400260433386,0.4133862974572393,0.03689229485290546,0.8032801939465177,0.801055848846902
1d_cnn,saturation_bin,unsaturated,420,0.37649400260433386,0.3709575352123926,-0.005536467391941247,0.8032801939465177,0.8142857142857143
1d_cnn,late_tail_bin,core,660,0.37649400260433386,0.37649400260433386,0.0,0.8032801939465177,0.8032801939465177
deltaE_over_E_likelihood_template,pedestal_bin,"(-4320.819, -170.068]",220,0.4597832375453131,0.4405560087684676,-0.019227228776845462,0.7834080223332354,0.8243131413439259
deltaE_over_E_likelihood_template,pedestal_bin,"(-170.068, -8.932]",220,0.4597832375453131,0.4661706683789105,0.006387430833597441,0.7834080223332354,0.7820767195767195
deltaE_over_E_likelihood_template,pedestal_bin,"(-8.932, 609.332]",220,0.4597832375453131,0.42003654995187173,-0.039746687593441354,0.7834080223332354,0.7610062893081762
deltaE_over_E_likelihood_template,pedestal_hysteresis,falling,111,0.4597832375453131,0.4357746836721196,-0.024008553873193506,0.7834080223332354,0.7850877192982456
deltaE_over_E_likelihood_template,pedestal_hysteresis,flat,442,0.4597832375453131,0.4663903329907516,0.006607095445438527,0.7834080223332354,0.7900738310090238
deltaE_over_E_likelihood_template,pedestal_hysteresis,rising,107,0.4597832375453131,0.41568631685148233,-0.044096920693830755,0.7834080223332354,0.8193548387096774
deltaE_over_E_likelihood_template,pileup_bin,clean,330,0.4597832375453131,0.4649425088834692,0.005159271338156135,0.7834080223332354,0.7939825869732926
deltaE_over_E_likelihood_template,pileup_bin,overlap,330,0.4597832375453131,0.44251638224888123,-0.01726685529643185,0.7834080223332354,0.7787878787878788
deltaE_over_E_likelihood_template,saturation_bin,saturated,240,0.4597832375453131,0.46520324453115897,0.005420006985845882,0.7834080223332354,0.8018894137260351
deltaE_over_E_likelihood_template,saturation_bin,unsaturated,420,0.4597832375453131,0.45860548387845596,-0.0011777536668571287,0.7834080223332354,0.7833333333333333
deltaE_over_E_likelihood_template,late_tail_bin,core,660,0.4597832375453131,0.4597832375453131,0.0,0.7834080223332354,0.7834080223332354
gradient_boosted_trees,pedestal_bin,"(-4320.819, -170.068]",220,0.5166183800463473,0.5095281514243256,-0.007090228622021688,0.8472854833970027,0.8556769281694803
gradient_boosted_trees,pedestal_bin,"(-170.068, -8.932]",220,0.5166183800463473,0.5882958525471783,0.07167747250083101,0.8472854833970027,0.8506944444444444
gradient_boosted_trees,pedestal_bin,"(-8.932, 609.332]",220,0.5166183800463473,0.7090274574147869,0.1924090773684396,0.8472854833970027,0.8644488579940417
gradient_boosted_trees,pedestal_hysteresis,falling,111,0.5166183800463473,0.7295748109874318,0.21295643094108452,0.8472854833970027,0.8635477582846003
gradient_boosted_trees,pedestal_hysteresis,flat,442,0.5166183800463473,0.6367211350107314,0.12010275496438405,0.8472854833970027,0.8486259228876127
gradient_boosted_trees,pedestal_hysteresis,rising,107,0.5166183800463473,0.6075906571222875,0.09097227707594024,0.8472854833970027,0.8546594982078852
gradient_boosted_trees,pileup_bin,clean,330,0.5166183800463473,0.4051650448644853,-0.11145333518186201,0.8472854833970027,0.870596230851181
gradient_boosted_trees,pileup_bin,overlap,330,0.5166183800463473,0.6672800589978032,0.15066167895145588,0.8472854833970027,0.8515151515151516
gradient_boosted_trees,saturation_bin,saturated,240,0.5166183800463473,0.6065935111224281,0.0899751310760808,0.8472854833970027,0.850930814115032
gradient_boosted_trees,saturation_bin,unsaturated,420,0.5166183800463473,0.6316102528806091,0.11499187283426182,0.8472854833970027,0.8523809523809525
gradient_boosted_trees,late_tail_bin,core,660,0.5166183800463473,0.5166183800463473,0.0,0.8472854833970027,0.8472854833970027
joint_sequence_transformer,pedestal_bin,"(-4320.819, -170.068]",220,0.4793851372599601,0.47930296808481215,-8.21691751479725e-05,0.53776079929474,0.5628930817610063
joint_sequence_transformer,pedestal_bin,"(-170.068, -8.932]",220,0.4793851372599601,0.4795409217476845,0.00015578448772435305,0.53776079929474,0.527281746031746
joint_sequence_transformer,pedestal_bin,"(-8.932, 609.332]",220,0.4793851372599601,0.47928151041269296,-0.00010362684726716864,0.53776079929474,0.5379013571665011
