feature,mean_auc_importance,min_auc_importance,max_auc_importance,stability_std
ds_shape_mean_area_over_peak,0.04737624542810347,0.010030864197530909,0.125,0.037962680420284584
ds_shape_std_norm_s04,0.03719603427875321,-0.0234375,0.07330246913580254,0.030335610885829496
ds_shape_mean_norm_s09,0.03211664619262328,-0.03125,0.08821945213911976,0.038437126287246236
ds_shape_mean_norm_s08,0.02854728876819821,0.01074622288223144,0.0546875,0.01714694477603559
ds_shape_mean_norm_s17,0.025342012292640628,0.0027700831024931177,0.09375,0.03138691324040183
ds_shape_std_peak_sample,0.02445822837505774,-0.004629629629629567,0.035711387062738464,0.014460143481640044
ds_shape_mean_norm_s06,0.019918029117079555,0.0023413111342351633,0.0625,0.021305942191147377
ds_shape_mean_norm_s05,0.015254610026321006,0.003973619373835641,0.046875,0.014797967084022175
ds_shape_std_norm_s16,0.015123072464307072,-0.0006391526661796432,0.0625,0.02199758097616906
ds_shape_std_max_down_step,0.013990936662507643,0.004465627065681141,0.0390625,0.011592890753160329
ds_shape_mean_norm_s00,0.013616646239901607,0.002159575746649836,0.0625,0.021859338443359005
ds_shape_mean_norm_s03,0.011912752848687693,0.0,0.022376543209876587,0.007551547958658083
ds_shape_std_norm_s06,0.011466061564919526,0.0010246733219706622,0.0390625,0.013363110922488925
ds_shape_mean_norm_s02,0.011310129923694448,0.00109293311700015,0.0625,0.022601481787387797
ds_shape_std_norm_s07,0.01128305371260967,1.0145280415568836e-05,0.046875,0.017678111232093004
ds_shape_std_area_over_peak,0.011201264000351084,-0.006172839506172825,0.0390625,0.013634539693516842
ds_shape_mean_norm_s10,0.01080634688518103,-0.015625,0.03624192059095112,0.015915782795936667
ds_shape_mean_norm_s07,0.010303704741037046,-0.001543209876543175,0.03125,0.010035241798254064
ds_shape_mean_norm_s04,0.009712441794412182,0.0,0.01973684210526319,0.006986177333280481
ds_shape_mean_norm_s01,0.008756334550930967,-0.0030864197530864057,0.046875,0.017042490635068238
ds_shape_std_tail_fraction,0.008688475534308513,-0.00848765432098765,0.0625,0.024098129232513442
ds_shape_std_norm_s13,0.0086516556921796,-0.026234567901234532,0.0546875,0.02392200492275089
b2_shape_norm_s00,0.00842426796804539,-0.0008150051078661263,0.046875,0.01713572123493691
ds_shape_std_norm_s10,0.008375666835340462,-0.035493827160493804,0.0703125,0.031676796921542454
ds_shape_mean_late_fraction,0.008329536664186185,-0.0003154858482062456,0.0390625,0.014754892438332761
ds_shape_std_norm_s08,0.007960739480140557,-0.0030009233610341357,0.0234375,0.009233055300559966
ds_shape_std_norm_s15,0.007888828872856279,0.0007608960311663443,0.03125,0.010668473691619067
ds_shape_std_norm_s05,0.007852991902496878,-0.0027700831024930206,0.027777777777777804,0.009506408498658935
ds_shape_std_norm_s01,0.007789093533030081,-0.001543209876543189,0.046875,0.01743480848924066
ds_shape_std_norm_s11,0.007352111122291218,-0.0003077870113880887,0.0234375,0.00795729513181486
b2_shape_norm_s02,0.007036241309357679,-0.00013896400456707425,0.046875,0.017573549134433354
ds_shape_std_late_fraction,0.006852657837602342,-0.0014710656602548167,0.0390625,0.014353591979137385
ds_shape_std_norm_s09,0.006733226600670004,0.0005483444504537222,0.019290123456790167,0.006427462622147793
ds_shape_std_norm_s00,0.006064412224093342,-0.006172839506172811,0.0234375,0.009279352997856094
ds_shape_mean_norm_s13,0.005153961844332864,-0.0007716049382715529,0.0234375,0.00864676745966169
ds_shape_std_norm_s03,0.004913806920134549,0.00034502518078520505,0.0078125,0.0031798472322028338
b2_shape_area_over_peak,0.004715514222223589,-3.380205516496926e-05,0.015625,0.005461273717400511
ds_shape_mean_max_down_step,0.0035294618218077644,-0.0008420582744906729,0.01080246913580249,0.004128512548927097
ds_shape_std_norm_s17,0.0032345478644706244,-0.041666666666666644,0.0234375,0.021233321905233603
ds_shape_std_norm_s14,0.0028584977234195875,-0.0013080947983994395,0.014660493827160531,0.005521282060204484
ds_shape_std_norm_s12,0.002642180784807877,-0.008487654320987623,0.0078125,0.005382373264869719
ds_shape_mean_norm_s12,0.0019726965112611306,-0.0010261301884610524,0.006463527239150585,0.0028380718367275325
b2_shape_norm_s01,0.0018636135558062702,-0.0007849588366084237,0.0078125,0.002816778075775974
ds_shape_mean_norm_s15,0.0015949275539111154,-0.006172839506172811,0.015625,0.006824938494698408
b2_shape_tail_fraction,0.0015060731184438683,-2.2534703443363724e-05,0.0078125,0.0028372000267741482
ds_shape_mean_tail_fraction,0.0013359807771168,-0.0021929824561402883,0.0078125,0.0034510656335526857
b2_shape_norm_s12,0.001144249094266083,-0.0023148148148147973,0.0078125,0.0031493035610534437
b2_shape_norm_s17,0.0011117088647585732,-7.101696290887083e-05,0.006172839506172839,0.002257811632960477
b2_shape_norm_s03,0.0010250204627748516,-0.0006459948320413356,0.003858024691358042,0.0015103147075754618
b2_shape_norm_s06,0.0007253593179915367,-0.0010694878020580112,0.004629629629629664,0.0018932862722701824
b2_shape_norm_s07,0.0005874489841981519,-0.0012206297698455632,0.003006359762396743,0.0015129720485359108
b2_shape_norm_s15,0.0005794321240438395,-0.00024788173787632095,0.001615881809787681,0.0007312891933122149
ds_shape_mean_norm_s16,0.0005300392287708099,-0.008541089566020288,0.0078125,0.006477229524700654
b2_shape_norm_s09,0.0004897772590367154,-0.00042440358151558943,0.0016161705836777729,0.0007596837477083804
b2_shape_norm_s05,0.00033204893400800336,-0.0006594432270107947,0.0015389350569406657,0.0007213030217703144
b2_shape_norm_s13,0.0003316907804284932,0.0,0.0008960573476702316,0.0003580453690041873
b2_shape_max_down_step,0.0003211828953276862,-0.0014619883040935255,0.0015432098765432306,0.0010566818591058178
b2_shape_norm_s08,0.00015265984919008474,-0.001543209876543175,0.0013094815340909949,0.0008618549458182624
b2_shape_norm_s16,0.00014012962237487065,-0.0004869734599463743,0.0009618344105878779,0.0004675133265922591
b2_shape_late_fraction,0.00012034233353344439,0.0,0.00050442277892572,0.00017975425055604476
b2_shape_norm_s14,5.704105928282244e-05,-0.0019174579985390405,0.0010983928777893726,0.001028049785067107
ds_shape_mean_final_fraction,0.0,0.0,0.0,0.0
b2_shape_final_fraction,0.0,0.0,0.0,0.0
ds_shape_std_final_fraction,0.0,0.0,0.0,0.0
b2_shape_norm_s04,-2.4761455933501398e-05,-0.0008713418664744038,0.00042371513429761976,0.00044182462094103416
ds_shape_mean_peak_sample,-3.143500246050828e-05,-0.00694444444444442,0.005001538935056976,0.00377134960500112
b2_shape_norm_s10,-0.00034118825137451466,-0.0030864197530864057,0.0012718233321771244,0.0013698073180937094
ds_shape_std_norm_s02,-0.0007274397928523159,-0.006172839506172811,0.0013599238119835488,0.0025009513286895152
ds_shape_mean_norm_s14,-0.0007452624518297983,-0.004629629629629595,0.00043357613596953226,0.0017564163695717218
b2_shape_norm_s11,-0.0009444591923671407,-0.00694444444444442,0.0013874436351023756,0.0027369524900050816
ds_shape_mean_norm_s11,-0.0011410204499543778,-0.0546875,0.016203703703703734,0.024401294269897823
b2_shape_peak_sample,-0.00124189085934468,-0.009259259259259217,0.00046248121170075485,0.0035396115398131293
