candidate,roc_auc,average_precision
d_t_ns,0.543684990797665,0.6144291533263084
abs_c_t_ns,0.49845931732693793,0.5599756767750316
max_downstream_late_fraction,0.5431063026300483,0.5347772587685957
max_downstream_tail_fraction,0.531281973266993,0.5243514721370419
min_downstream_tail_fraction,0.5119779501910566,0.5116515476518153
min_downstream_late_fraction,0.5155544817012239,0.5114031161711938
max_downstream_area_over_peak,0.5629293552996203,0.6133118343229885
min_downstream_area_over_peak,0.5208387398916003,0.5300958823591889
max_downstream_peak_sample,0.6050080389928439,0.5703763603856922
min_downstream_peak_sample,0.5156380037047975,0.5081314204351156
max_downstream_max_down_step,0.5049710506769757,0.5194625939437001
min_downstream_max_down_step,0.5120898100172712,0.5167430440701812
max_downstream_final_fraction,0.5234055500371374,0.5275160628875409
min_downstream_final_fraction,0.5027711407614224,0.5091946872848734
matched_secondary_template,0.5737782669780844,0.5574271100608181
