theta_lab_bin,n,theta_lab_mean,weight_mean,sigma_lab_mean,sigma_cm_mean,abs_lab_residual_mean
"(-0.001, 5.0]",1348,2.469846101120178,14.45634324925816,14.456342651623226,12.84606547022316,2.5452022834467576e-05
"(5.0, 10.0]",1352,7.510592655325444,12.682788609467455,12.682787139492872,10.709530561519284,2.4564700483928353e-05
"(10.0, 15.0]",1311,12.4319293668955,10.951246147978642,10.95124524227668,8.186819562903304,2.591828529170328e-05
"(15.0, 20.0]",1218,17.451572988505745,9.18511432676519,9.185114666517066,5.549830117488849,9.438448578609854e-06
"(20.0, 25.0]",1290,22.4397103875969,7.430069744186047,7.430069360372631,3.3126369093756596,9.053103297472767e-06
"(25.0, 30.0]",1245,27.57078104417671,5.624733775100402,5.624733871224595,1.985897680924407,9.218217773499897e-06
"(30.0, 35.0]",1191,32.546714693534845,3.9946917128463473,3.994691729594318,1.2966926185806313,7.668710442646729e-06
"(35.0, 40.0]",1219,37.50257530762921,2.826137760459393,2.8261377989135963,0.822826761677079,5.0638307951179905e-06
"(40.0, 45.0]",1197,42.5025104427736,2.035938187134503,2.0359383700119364,0.5692388481429336,4.170728587050052e-06
"(45.0, 50.0]",1160,47.41196025862069,1.5178206551724136,1.5178205960255657,0.41303639713130513,2.7949809639193145e-06
"(50.0, 55.0]",1107,52.507825383920505,1.1306003595302618,1.1306004204329743,0.2841830618463546,2.7572127249217633e-06
"(55.0, 60.0]",1068,57.49530561797753,0.8188378202247191,0.8188377727957556,0.220602117210706,1.2788313521840356e-06
"(60.0, 65.0]",1110,62.40773198198199,0.6289430828828828,0.6289430865107454,0.1804570688312223,7.863191775863303e-07
"(65.0, 70.0]",976,67.47860604508197,0.5031724795081968,0.503172492087774,0.15948649344096136,6.258890297424118e-07
