heldout_run,n_train_pos,n_train_neg,n_test,method,train_seconds,n_train,n_parameters
58,2118.0,2118.0,74,traditional_nearest_neighbor,,,
59,1740.0,1740.0,830,traditional_nearest_neighbor,,,
60,1727.0,1727.0,856,traditional_nearest_neighbor,,,
61,1548.0,1548.0,1214,traditional_nearest_neighbor,,,
62,1735.0,1735.0,840,traditional_nearest_neighbor,,,
63,1961.0,1961.0,388,traditional_nearest_neighbor,,,
65,2101.0,2101.0,108,traditional_nearest_neighbor,,,
58,,,74,ridge,0.6296942234039307,4236.0,
59,,,830,ridge,0.16665101051330566,3480.0,
60,,,856,ridge,0.22946763038635254,3454.0,
61,,,1214,ridge,0.11639761924743652,3096.0,
62,,,840,ridge,0.24465441703796387,3470.0,
63,,,388,ridge,0.22729754447937012,3922.0,
65,,,108,ridge,0.20290493965148926,4202.0,
58,,,74,gradient_boosted_trees,2.4257240295410156,4236.0,
59,,,830,gradient_boosted_trees,2.1705915927886963,3480.0,
60,,,856,gradient_boosted_trees,2.209263324737549,3454.0,
61,,,1214,gradient_boosted_trees,2.12608003616333,3096.0,
62,,,840,gradient_boosted_trees,2.2950491905212402,3470.0,
63,,,388,gradient_boosted_trees,2.498363494873047,3922.0,
65,,,108,gradient_boosted_trees,2.493715286254883,4202.0,
58,,,74,mlp,65.77126049995422,4236.0,
59,,,830,mlp,42.18158745765686,3480.0,
60,,,856,mlp,24.16450023651123,3454.0,
61,,,1214,mlp,47.997750997543335,3096.0,
62,,,840,mlp,40.00050973892212,3470.0,
63,,,388,mlp,47.16842746734619,3922.0,
65,,,108,mlp,47.33786916732788,4202.0,
58,,,74,cnn,2.5718934535980225,4236.0,769.0
59,,,830,cnn,1.8884129524230957,3480.0,769.0
60,,,856,cnn,1.7951173782348633,3454.0,769.0
61,,,1214,cnn,1.6400163173675537,3096.0,769.0
62,,,840,cnn,1.7440085411071777,3470.0,769.0
63,,,388,cnn,1.970777988433838,3922.0,769.0
65,,,108,cnn,2.1541781425476074,4202.0,769.0
58,,,74,attention,6.988798141479492,4236.0,877.0
59,,,830,attention,5.927147626876831,3480.0,877.0
60,,,856,attention,6.173242807388306,3454.0,877.0
61,,,1214,attention,5.323159217834473,3096.0,877.0
62,,,840,attention,5.756035327911377,3470.0,877.0
63,,,388,attention,6.296328067779541,3922.0,877.0
65,,,108,attention,6.822636842727661,4202.0,877.0
