anomaly_stratum,control_stratum,method,n_anomaly,n_control,delta_bias_median_frac,delta_res68_abs_frac,delta_high_bias_tail_fraction,delta_bias_ci95,delta_res68_ci95,delta_high_bias_tail_ci95
baseline_excursion,matched_normal_for_baseline_excursion,peak_charge_calibrated,4763,4762,11.548891052601023,13.32039662603456,0.701596100347571,"[11.26771624670778, 11.963398659169652]","[13.100593235626006, 13.609335221404308]","[0.6835424796292733, 0.7158474625488929]"
baseline_excursion,matched_normal_for_baseline_excursion,integral_calibrated,4763,4762,5.8034403992178,6.8999871475948344,0.8492318333351998,"[5.565589213323533, 6.014887171648523]","[6.750562649852688, 7.08250298323667]","[0.8324885935444081, 0.8653070700669487]"
baseline_excursion,matched_normal_for_baseline_excursion,robust_pretrigger_charge,4763,4762,5.803432117495915,6.899977753904379,0.8492318333351998,"[5.589791476261736, 6.038901568158947]","[6.727043055505714, 7.071913307798538]","[0.8340328880475738, 0.8647614926629474]"
baseline_excursion,matched_normal_for_baseline_excursion,template_fit_calibrated,4763,4762,6.223728294369807,9.922505547678373,0.5810588638111764,"[5.421343196142898, 7.227319703353237]","[9.434122107725635, 10.561681001737648]","[0.5641445538414079, 0.5998394854247685]"
baseline_excursion,matched_normal_for_baseline_excursion,p04_frozen_mlp,4763,4762,1.8031058142908485,2.1034277694925345,-0.006909007316389548,"[1.3631864822193092, 2.572052863556001]","[1.1172651256797563, 3.909377718004566]","[-0.03657412691839388, 0.01609754253414782]"
baseline_excursion,matched_normal_for_baseline_excursion,p04f_residual_mlp,4763,4762,0.06941586987916298,0.3953854482214513,0.5336906803749292,"[0.04307299154473505, 0.09299920735429071]","[0.35155155940269966, 0.4505445162376692]","[0.4976514931229479, 0.5780293192876542]"
baseline_excursion,matched_normal_for_baseline_excursion,shuffled_residual_mlp,4763,4762,5.958621109437142,8.091119992598966,0.7450731228919407,"[5.548676064642137, 6.392547406797979]","[7.482531284438346, 8.842417119759281]","[0.6982849285305216, 0.7801993971909504]"
baseline_excursion,best_traditional_same_stratum,p04_frozen_mlp_minus_robust_pretrigger_charge,4763,4763,-4.728649386401649,-3.9723814221758706,-0.057316817132059716,"[None, None]","[None, None]","[None, None]"
baseline_excursion,best_traditional_same_stratum,p04f_residual_mlp_minus_robust_pretrigger_charge,4763,4763,-5.655934877214632,-6.596825111403758,-0.393029603191266,"[None, None]","[None, None]","[None, None]"
novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,peak_charge_calibrated,17232,17232,5.761978198765673,7.710695572248847,0.22301532033426186,"[5.676528667378576, 5.825809305236226]","[7.500161315136071, 7.913941320326002]","[0.21317532955105875, 0.2316454008136487]"
novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,integral_calibrated,17232,17232,2.52873286507378,4.2791047565852764,0.5060352831940576,"[1.2680639203375503, 3.4515361795060655]","[3.65952732482999, 4.873444358898346]","[0.4860973191330546, 0.5274218863732567]"
novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,robust_pretrigger_charge,17232,17232,2.5287513381755247,4.279089404686762,0.5060352831940576,"[1.189964191819362, 3.4045427195798164]","[3.5921982524342266, 4.794970639475039]","[0.48323089313148837, 0.5295760499107125]"
novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,template_fit_calibrated,17232,17232,-1.0897961606972204,1.7895289731494406,-0.014275766016713098,"[-1.2013998191896107, -0.9190227244363754]","[-0.27524495724692544, 4.66780563653868]","[-0.025181427255174853, -0.002903191294708268]"
novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,p04_frozen_mlp,17232,17232,4.276879113810596,21.472673277687214,0.033600278551532026,"[2.5985271358285225, 6.856130374858519]","[7.575363801516609, 69.37428283249307]","[0.011875251773535702, 0.050656551816037856]"
novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,p04f_residual_mlp,17232,17232,-0.01218809652176711,0.2980826449619986,0.4391829155060353,"[-0.031405611980480815, 0.008357731299804527]","[0.28144759493837, 0.3198935708236726]","[0.4149333921887227, 0.4622350542035953]"
novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,shuffled_residual_mlp,17232,17232,2.0373268732944143,4.610748989656341,0.3901462395543176,"[1.2941810288461122, 3.2356611901604895]","[3.746400468400283, 5.360362884504537]","[0.3348427146940736, 0.4597045901334504]"
novel_early_pretrigger,best_traditional_same_stratum,p04_frozen_mlp_minus_template_fit_calibrated,17232,17232,4.549824617821627,19.9974370919672,0.05129990714948929,"[None, None]","[None, None]","[None, None]"
novel_early_pretrigger,best_traditional_same_stratum,p04f_residual_mlp_minus_template_fit_calibrated,17232,17232,0.14373230444624918,-2.5825731069781663,-0.3496402042711235,"[None, None]","[None, None]","[None, None]"
