stratum,method,n,bias_median_frac,res68_abs_frac,full_rms_frac,high_bias_tail_fraction,within_10pct,bias_ci95,res68_ci95,full_rms_ci95,high_bias_tail_ci95
all_valid,peak_charge_calibrated,640482,-0.08588771299609584,0.23558520406953382,2.0433774136891314,0.26580762613156966,0.29411443256797226,"[-0.16632990258778513, -0.07222988218577511]","[0.23265621336354067, 0.2581449616789081]","[1.923747807122383, 2.4145869965593527]","[0.2537926050715151, 0.3547347553589201]"
all_valid,integral_calibrated,640482,-0.03159526844731146,0.11962621992007715,1.289868879821499,0.11697596497637716,0.6388969557302157,"[-0.058142075353021044, -0.029415940182415137]","[0.11102063154619361, 0.15825173812345616]","[1.1773046042055262, 1.583824705548346]","[0.11046563603372833, 0.1604319356956366]"
all_valid,robust_pretrigger_charge,640482,-0.031595205380125314,0.11962582315947858,1.2898693328810682,0.1169744036522494,0.6388953944060879,"[-0.057924113309617144, -0.028881643900599642]","[0.10843047062484353, 0.15751538294552572]","[1.2387664479038185, 1.5795719711412965]","[0.1103205212716017, 0.16170984575262032]"
all_valid,template_fit_calibrated,640482,-0.167350270532765,0.2504640616344203,1.94217870411145,0.32167961004368584,0.1260535034552103,"[-0.17385751349173714, -0.08569290769030313]","[0.24719678931186936, 0.34154699422212087]","[1.9093600444705492, 2.333082733521546]","[0.3086767263473734, 0.3965966704320231]"
all_valid,p04_frozen_mlp,640482,-0.40337018239412614,0.9718054503431561,1.2170010491699364e+34,0.8607892181201033,0.05503043020725017,"[-0.535990574791422, -0.39307901728763606]","[0.9667217169803954, 0.9824465724923207]","[3.0892037143267246e+18, 4.752641684500895e+34]","[0.8555369249559859, 0.8853759702439832]"
all_valid,p04f_residual_mlp,640482,-0.0005176950537457008,0.056402459545254906,75.68159322673633,0.04907710130807735,0.8370477234332893,"[-0.0020316610434120935, 0.0006624508645687194]","[0.05301865164759104, 0.06803397533696219]","[0.23339636585153656, 20.609480286423832]","[0.04471489546259888, 0.06598400444236144]"
all_valid,shuffled_residual_mlp,640482,-0.04039556149862508,0.16738659484716772,1640567384.7262287,0.2092767634375361,0.5062531031317039,"[-0.05883716053965368, -0.03557854662834263]","[0.15984506874083076, 0.2293868920148792]","[10.58313356116873, 56.13852200335226]","[0.1919498942346479, 0.2913043433792182]"
normal_matched_pool,peak_charge_calibrated,618487,-0.09764562212192339,0.22967266516053625,0.4491748806239477,0.23977545203051964,0.30453994991002237,"[-0.17521612472218565, -0.08418960124843154]","[0.2263804079126701, 0.25032851067054024]","[0.4391798324411765, 0.5265742560665398]","[0.22704777584259644, 0.32137623913305313]"
normal_matched_pool,integral_calibrated,618487,-0.03302414851085597,0.10930937450857457,0.401282374620207,0.09029130765885136,0.6595627717316613,"[-0.06079432606789834, -0.030043500439335347]","[0.09902974421814598, 0.14864708948032132]","[0.3791058042272678, 0.4763606587064682]","[0.08345069233952762, 0.12294752767790362]"
normal_matched_pool,robust_pretrigger_charge,618487,-0.0330235916199792,0.1093088176318204,0.40128250235071755,0.09028969080999277,0.6595611548828028,"[-0.0620635252164009, -0.03212690422980565]","[0.1023857917159304, 0.14998448682510812]","[0.3806475188133037, 0.481299882301867]","[0.08518865380541606, 0.12719604645384394]"
