heldout_run,n_train,n_heldout,ml_train_rows,train_heldout_overlap
31,612629,27853,25000,0
32,612256,28226,25000,0
33,591749,48733,25000,0
34,606366,34116,25000,0
35,628825,11657,25000,0
36,630097,10385,25000,0
37,615974,24508,25000,0
39,626281,14201,25000,0
40,625784,14698,25000,0
41,624350,16132,25000,0
42,622384,18098,25000,0
44,638445,2037,25000,0
45,616167,24315,25000,0
46,639796,686,25000,0
47,635207,5275,25000,0
48,626496,13986,25000,0
49,625687,14795,25000,0
50,605270,35212,25000,0
51,625744,14738,25000,0
52,633331,7151,25000,0
53,608288,32194,25000,0
54,610043,30439,25000,0
55,623101,17381,25000,0
56,600343,40139,25000,0
57,626663,13819,25000,0
58,623702,16780,25000,0
59,619108,21374,25000,0
60,623461,17021,25000,0
61,621519,18963,25000,0
62,621394,19088,25000,0
63,621668,18814,25000,0
64,625852,14630,25000,0
65,627444,13038,25000,0
