estimator,n,pedestal_bias_mean_adc,pedestal_bias_mean_ci95,pedestal_mae_adc,pedestal_mae_ci95,pedestal_sigma68_adc,pedestal_full_rms_adc
mean3,125096,-49.616385282769514,"[-59.54169766657251, -33.021636258190355]",59.60187642557218,"[45.34644368874703, 69.85413836081959]",7.58333333333303,202.25601966192164
median3,125096,-85.01988872545884,"[-102.4938052501656, -60.40476230215155]",95.08586205793951,"[66.1457413443281, 110.80332884621856]",10.5,304.5299669513783
quietest,125096,-85.01760248129436,"[-102.56071709919466, -67.70912451966538]",95.08586205793951,"[73.64684247222213, 111.74265372840976]",10.75,304.5299669513783
quietish,125096,-27.965174745795228,"[-34.332385103476135, -17.250094086408314]",112.16565277866599,"[82.63766269083435, 132.27190708557166]",8.25,358.4430723992807
calibrated_pretrigger,125096,1.602657381456741,"[0.9646498166843722, 2.234946137156023]",4.875676278204134,"[3.577821219699813, 6.068032306907271]",1.105316146211408,83.30045988906083
