method,shuffled_pretrigger,auc_ci95,average_precision_ci95,risk_delta_flagged_minus_unflagged_ci95,risk_rate_flagged_ci95
amplitude_only,False,"[0.6650644133314951, 0.7294225927062441]","[0.2747345218712581, 0.3858159901527494]","[0.1880906874423263, 0.28259432668406514]","[0.30809097832306975, 0.45369685112633995]"
cnn1d,False,"[0.9418633508490794, 0.9695582880891266]","[0.8955171057837408, 0.9515433443929164]","[0.9413563600460403, 0.9545467495557532]","[0.9864867224189299, 0.9974480010946767]"
cnn1d,True,"[0.5375810687539413, 0.6814984635756056]","[0.3356449168243133, 0.5141339456119945]","[0.05874035077132397, 0.46870107217945794]","[0.25543472394636574, 0.5999600819752933]"
gradient_boosted_trees,False,"[0.9394667868343604, 0.9650893897563317]","[0.8938801138065009, 0.9452568100407477]","[0.9346737577320305, 0.9498307492468607]","[0.9814661903560815, 0.9913142542087917]"
gradient_boosted_trees,True,"[0.5775182350033949, 0.6411995670276598]","[0.18942230136925625, 0.3295797410623937]","[-0.074575996328972, 0.19818273590054084]","[0.10297154669571629, 0.34787760366962606]"
mlp,False,"[0.9461182963643893, 0.9663308932590022]","[0.9059817341836127, 0.9490708844641127]","[0.9390346004153609, 0.9555712800556031]","[0.9842103376309271, 0.9964074688469782]"
mlp,True,"[0.6485247152234972, 0.7607418571372888]","[0.441691982591281, 0.5795976643330545]","[0.4178625972766556, 0.5727358301262993]","[0.5508495761512695, 0.6752572408214177]"
ridge,False,"[0.9104831122862717, 0.940890308653883]","[0.8519802592280958, 0.9150232031630142]","[0.8820253218770865, 0.9034490536953714]","[0.9385449520788322, 0.9499269192743736]"
ridge,True,"[0.5262437956950288, 0.7731901602762996]","[0.3565388753526559, 0.6378130706390209]","[0.17693866000443478, 0.5330313218921058]","[0.32923361892814296, 0.6435353008551399]"
run_only,False,"[0.3333795366391081, 0.47831579649970607]","[0.11291119004454295, 0.209047359836956]","[nan, nan]","[0.145980403013236, 0.21915399045249057]"
siamese_cnn_meta,False,"[0.9449478713144017, 0.9674900780464856]","[0.9002995526077023, 0.949157522132886]","[0.9404598726612673, 0.9572823952057927]","[0.9852363636704654, 0.9971815779195398]"
siamese_cnn_meta,True,"[0.5930312937973721, 0.7361659845266681]","[0.3774732116469859, 0.5899522349425439]","[0.28765278367349056, 0.5267560338200672]","[0.4181391003666119, 0.6231812490311884]"
traditional_quantile,False,"[0.9302728934309599, 0.9499234935549664]","[0.8676275697818545, 0.9193594302712188]","[0.8712819392227344, 0.900598715663443]","[0.9290838676301183, 0.9464539496954621]"
traditional_quantile,True,"[0.49248913904887776, 0.5045851800218085]","[0.14696259613760343, 0.2175124759656405]","[-0.0050017747445973695, 0.011405262403825153]","[0.14973650243673026, 0.22633146629652873]"
