estimator,tau_eff90_ns,tau_eff90_ci95,tau_eff90_shift_ns,secondary_fraction,secondary_fraction_ci95,secondary_fraction_shift,timing_tail_fraction,timing_tail_fraction_shift
mean3,170.0,"[170.0, 170.0]",0.0,0.2973476370147727,"[0.26526838146881415, 0.3357433645806036]",0.001334974739400141,0.013699825479930192,-0.0014834205933682374
median3,170.0,"[170.0, 170.0]",0.0,0.2996978320649741,"[0.2675532761219234, 0.3501214830786717]",0.003685169789601539,0.016579406631762654,0.001396160558464225
quietest,170.0,"[170.0, 170.0]",0.0,0.2996338811792543,"[0.2699573446403167, 0.34929146499752106]",0.0036212189038817844,0.016579406631762654,0.001396160558464225
quietish,170.0,"[170.0, 170.0]",0.0,0.29981773997569866,"[0.2688301684120461, 0.35472776330107586]",0.0038050777003261205,0.030279232111692846,0.015095986038394417
calibrated_pretrigger,170.0,"[170.0, 170.0]",0.0,0.29606062543966233,"[0.2638448719590108, 0.33461809563641404]",4.7963164289788196e-05,0.014659685863874346,-0.0005235602094240833
