method,current_regime,n_events,energy_residual_bias,energy_residual_sigma68,calibration_slope,residual_tail_abs_gt_0p20,failure_rate
1d_cnn,far_heldout_runs_62_64_65,234,0.054738541222468795,0.10883788993098431,0.9500805066876713,0.08974358974358974,0.2905982905982906
1d_cnn,near_heldout_runs_58_60,156,0.05677666088060745,0.1129169587460652,0.9758741275113756,0.11538461538461539,0.23076923076923078
analytic_clipped_template_sideband_traditional,far_heldout_runs_62_64_65,234,0.08654046440091066,0.09250042351366518,1.1350967250041228,0.0811965811965812,0.5854700854700855
analytic_clipped_template_sideband_traditional,near_heldout_runs_58_60,156,0.08894436072588252,0.10536342029728554,1.0718439209215684,0.08974358974358974,0.5833333333333334
gradient_boosted_trees,far_heldout_runs_62_64_65,234,0.007985528455979293,0.07820848426431526,0.941692799942675,0.0641025641025641,0.39316239316239315
gradient_boosted_trees,near_heldout_runs_58_60,156,0.018655556630232325,0.07559846696992191,0.9502374819967474,0.05128205128205128,0.2948717948717949
mlp,far_heldout_runs_62_64_65,234,0.03866074193061017,0.18547003369929893,0.8241168581359802,0.28205128205128205,0.44017094017094016
mlp,near_heldout_runs_58_60,156,0.009951981958778137,0.1651941944174145,0.8978971190483193,0.22435897435897437,0.30128205128205127
ridge,far_heldout_runs_62_64_65,234,0.0017566410638861821,0.07011470235617795,0.9266014601913658,0.06837606837606838,0.3333333333333333
ridge,near_heldout_runs_58_60,156,0.012699025187183025,0.08177357832229819,0.9846289861525955,0.038461538461538464,0.26282051282051283
saturation_residual_fusion_new,far_heldout_runs_62_64_65,234,0.014311165114463956,0.07522550817628021,0.9354624121688132,0.07264957264957266,0.3803418803418803
saturation_residual_fusion_new,near_heldout_runs_58_60,156,0.015646439446731396,0.07251978906774341,0.9767093111302889,0.03205128205128205,0.28205128205128205
tiny_sequence_transformer,far_heldout_runs_62_64_65,234,-0.024223053650251573,0.10583601498698898,0.9122790508389685,0.0811965811965812,0.6367521367521367
tiny_sequence_transformer,near_heldout_runs_58_60,156,-0.0033515141385972625,0.10576411871728483,0.969921511961306,0.08333333333333333,0.532051282051282
