method,saturation_knee_bin,n_events,energy_residual_bias,energy_residual_sigma68,residual_tail_abs_gt_0p20,failure_rate
1d_cnn,below_knee_0,381,0.056659265485174304,0.11125378912035933,0.09973753280839895,0.27296587926509186
1d_cnn,censored_3_5,5,-0.01339908180226072,0.02001351109050705,0.0,0.0
1d_cnn,deep_censor_6plus,0,,,,
1d_cnn,near_knee_1_2,4,0.036448250648088855,0.09870117384733594,0.25,0.0
analytic_clipped_template_sideband_traditional,below_knee_0,381,0.0854808023115989,0.10146536727665705,0.08398950131233596,0.5879265091863517
analytic_clipped_template_sideband_traditional,censored_3_5,5,0.18810773362369537,0.05245799927896076,0.2,0.4
analytic_clipped_template_sideband_traditional,deep_censor_6plus,0,,,,
analytic_clipped_template_sideband_traditional,near_knee_1_2,4,0.08100476738179542,0.0065466316434361765,0.0,0.5
gradient_boosted_trees,below_knee_0,381,0.012817531044725838,0.07695907543370312,0.06036745406824147,0.36220472440944884
gradient_boosted_trees,censored_3_5,5,-0.03872159778825615,0.038065775574646146,0.0,0.0
gradient_boosted_trees,deep_censor_6plus,0,,,,
gradient_boosted_trees,near_knee_1_2,4,0.022252288479033214,0.07211425353635392,0.0,0.0
mlp,below_knee_0,381,0.029044287736393566,0.18508745459937775,0.2650918635170604,0.3937007874015748
mlp,censored_3_5,5,-0.07355878052032311,0.04670916779251709,0.0,0.0
mlp,deep_censor_6plus,0,,,,
mlp,near_knee_1_2,4,-0.024739231908040744,0.09072569883693951,0.0,0.0
ridge,below_knee_0,381,0.006854824785318169,0.07223160385273204,0.05774278215223097,0.3123359580052493
ridge,censored_3_5,5,-0.047936123536958045,0.01395867753659042,0.0,0.0
ridge,deep_censor_6plus,0,,,,
ridge,near_knee_1_2,4,0.0050235781571213315,0.07896099114315325,0.0,0.0
saturation_residual_fusion_new,below_knee_0,381,0.015154089547169129,0.07470781551560252,0.05774278215223097,0.34908136482939633
saturation_residual_fusion_new,censored_3_5,5,-0.007812033424978143,0.01252987412616452,0.0,0.0
saturation_residual_fusion_new,deep_censor_6plus,0,,,,
saturation_residual_fusion_new,near_knee_1_2,4,0.013752310032029244,0.0831799514132572,0.0,0.0
tiny_sequence_transformer,below_knee_0,381,-0.014905947052291375,0.10934627760187421,0.08398950131233596,0.6062992125984252
tiny_sequence_transformer,censored_3_5,5,-0.10048774230474569,0.054838122681437174,0.0,0.2
tiny_sequence_transformer,deep_censor_6plus,0,,,,
tiny_sequence_transformer,near_knee_1_2,4,-0.002356555333324649,0.09450816745336604,0.0,0.0
