method,heldout_run,threshold,clean_efficiency,tail_rejection,n_clean,n_tail
traditional_upstream_q,58,0.6146434247493744,1.0,,16,0
traditional_upstream_q,59,0.6189097851514812,0.968503937007874,0.0,127,5
traditional_upstream_q,60,0.5879471391439438,0.9150326797385621,0.0,153,6
traditional_upstream_q,61,0.568276822566986,0.9181818181818182,0.0,220,9
traditional_upstream_q,62,0.6328836560249328,0.9922480620155039,0.0,129,1
traditional_upstream_q,63,0.6165121734142303,0.9701492537313433,0.0,67,2
traditional_upstream_q,65,0.6064352393150322,0.9333333333333333,,15,0
ridge,58,0.8068269209708554,0.9375,,16,0
ridge,59,0.7781412901154316,0.889763779527559,0.6,127,5
ridge,60,0.8164517788847439,0.961038961038961,0.5,154,6
ridge,61,0.834006548174314,0.9636363636363636,0.2222222222222222,220,9
ridge,62,0.8417444610730738,0.9922480620155039,0.0,129,1
ridge,63,0.7958695584158911,0.9253731343283582,0.5,67,2
ridge,65,0.7955047660655872,0.8,,15,0
gradient_boosted_trees,58,0.08073441085855987,1.0,,16,0
gradient_boosted_trees,59,0.08073441085855987,0.9448818897637795,0.2,127,5
gradient_boosted_trees,60,0.08073441085855987,0.9415584415584416,0.5,154,6
gradient_boosted_trees,61,0.0855939251738814,0.9681818181818181,0.1111111111111111,220,9
gradient_boosted_trees,62,0.08087267017965524,0.9689922480620154,0.0,129,1
gradient_boosted_trees,63,0.08073441085855987,0.9402985074626866,0.5,67,2
gradient_boosted_trees,65,0.08073441085855987,0.8,,15,0
mlp,58,0.44221419417896585,0.9375,,16,0
mlp,59,0.4399887442367653,0.9291338582677166,0.0,127,5
mlp,60,0.4497954479574473,0.9935064935064936,0.16666666666666666,154,6
mlp,61,0.4561702353074688,1.0,0.0,220,9
mlp,62,0.42466009837504587,0.7364341085271318,0.0,129,1
mlp,63,0.4470340838722047,1.0,0.0,67,2
mlp,65,0.44020074703971257,0.8666666666666667,,15,0
one_dimensional_cnn,58,0.8388111940886227,0.9375,,16,0
one_dimensional_cnn,59,0.8162756094129922,0.905511811023622,0.6,127,5
one_dimensional_cnn,60,0.842469916565768,0.961038961038961,0.6666666666666666,154,6
one_dimensional_cnn,61,0.842167638704673,0.9545454545454546,0.3333333333333333,220,9
one_dimensional_cnn,62,0.851011756395949,0.9844961240310077,0.0,129,1
one_dimensional_cnn,63,0.8317891381940976,0.9104477611940298,0.5,67,2
one_dimensional_cnn,65,0.8420644983406503,1.0,,15,0
amplitude_residual_stack,58,0.7225296652304252,1.0,,16,0
amplitude_residual_stack,59,0.4305560468494748,0.0,1.0,127,5
amplitude_residual_stack,60,0.7420415742632531,1.0,0.0,154,6
amplitude_residual_stack,61,0.7454841051354751,1.0,0.0,220,9
amplitude_residual_stack,62,0.736802712181493,1.0,0.0,129,1
amplitude_residual_stack,63,0.7249135763047229,1.0,0.0,67,2
amplitude_residual_stack,65,0.7224944364200843,1.0,,15,0
