method,n,bias,res68,mae,res68_ci95,bias_ci95,mae_ci95
mlp,167683,0.006803475320339203,0.023274316811561592,0.07769934660010086,"[0.020997278735041605, 0.027212719138860697]","[0.003941129997372629, 0.009108501434326165]","[0.06305568617366364, 0.0935096269902873]"
gradient_boosted_trees,167683,-0.01233654124250462,0.03136973809624351,0.08794897617129394,"[0.029430484475913593, 0.03437786541387658]","[-0.013382697531265156, -0.011373290266254868]","[0.07126430138037423, 0.10548288750065586]"
traditional_clipped_template,167683,0.0018667131685377591,0.04039348048029943,0.19734473527179552,"[0.0323276690959302, 0.0496450439461025]","[-0.002460259980460939, 0.007192061182467721]","[0.14628081310509547, 0.2517579665202935]"
charge_tail_integration,167683,0.003826810714412876,0.04825985288238408,0.2057112553835769,"[0.04355560229268362, 0.053582388067677574]","[-0.0055180851850210825, 0.012641397166535888]","[0.1541255282490798, 0.25526635116998736]"
birks_huber_saturation,167683,-0.008352274082154026,0.050402002445170103,0.23515074856612886,"[0.04308824944601026, 0.058156388811403996]","[-0.014149162394341091, -0.0039765794816713305]","[0.17567817150905077, 0.3021244214861927]"
1d_cnn,167683,-0.012801661491394056,0.0710810673236847,0.14222434897608596,"[0.06481012371420859, 0.07860750805586576]","[-0.022105235755443587, 0.0007488435506820333]","[0.11785226125946474, 0.16480850739400474]"
gated_residual_cnn,167683,0.01140111804008484,0.12578417651653293,0.1655041355776971,"[0.11159855403870346, 0.14231502955138686]","[-0.008816091120243086, 0.0445697509497404]","[0.13907497869858296, 0.1916677768099763]"
ridge,167683,-0.04352145314276892,0.22845652169448966,0.27966852864907704,"[0.19856980290855802, 0.2572259383987512]","[-0.07293827634109357, 3.9171911279942736e-05]","[0.23495168230228025, 0.32046737374750095]"
