energy_mev,range_cm,dedx_mev_cm
0.001,0.0,240.40800000000002
0.0015,1.9449220796378056e-06,276.23600000000005
0.002,3.6607017888497376e-06,308.354
0.0025,5.21219021876011e-06,337.504
0.003,6.638729265665538e-06,364.534
0.004,9.219825777643669e-06,413.40000000000003
0.005,1.152246713011121e-05,457.39000000000004
0.006,1.3620736120154854e-05,497.458
0.007,1.5561012858225226e-05,534.664
0.008,1.737408416435607e-05,569.538
0.009,1.9082004747460276e-05,602.398
0.01,2.070120952890723e-05,633.5620000000001
0.0125,2.4479240757542463e-05,692.4979999999999
0.015,2.79672532877678e-05,742.7420000000001
0.0175,3.1239485810369035e-05,786.5200000000001
0.02,3.4344504605864914e-05,824.6800000000001
0.0225,3.731682171590553e-05,858.176
0.025,4.018178978893096e-05,887.538
0.0275,4.295884927452709e-05,913.296
0.03,4.566331954030025e-05,935.768
0.035,5.090660499785739e-05,972.1260000000001
0.04,5.5980930883222735e-05,998.9440000000001
0.045,6.093982296169751e-05,1017.8120000000001
0.05,6.582325200243424e-05,1030.0020000000002
0.055,7.06617297475472e-05,1036.786
0.06,7.54789142703035e-05,1039.118
0.065,8.02938820737617e-05,1037.74
0.07,8.512242432933193e-05,1033.288
0.075,8.997708465755474e-05,1026.6100000000001
0.08,9.486827751129111e-05,1017.918
0.085,9.980506471482075e-05,1007.7420000000001
0.09,0.00010479489092709383,996.4000000000001
0.095,0.0001098440317543736,984.21
0.1,0.00011495778756135945,971.384
0.125,0.0001416571918645597,903.7560000000001
0.15,0.00017040229928110047,838.142
0.175,0.00020135821080766048,779.206
0.2,0.00023458283193402438,727.478
0.225,0.0002700852783562489,682.3220000000001
0.25,0.0003078517316233594,642.784
0.275,0.0003478570581739244,608.0160000000001
0.3,0.0003900731249832435,577.1700000000001
0.35,0.0004805577309052422,530.0
0.4,0.0005783715311896589,493.642
0.45,0.0006830845381734431,462.372
0.5,0.0007947620214118785,433.964
0.55,0.0009136458975430973,407.99399999999997
0.6,0.0010398041300801494,385.31
0.65,0.0011730688179274838,365.594
0.7,0.00131326830187411,348.104
0.75,0.001460292889177834,332.41600000000005
0.8,0.00161403767314499,318.31800000000004
0.85,0.0017743823056393091,305.598
0.9,0.0019412717559992012,293.832
0.95,0.002114687368253058,283.02000000000004
1.0,0.0022945411307937705,273.162
1.25,0.0032869501605056256,233.73000000000002
1.5,0.004430555113875589,205.322
1.75,0.005719819625947947,183.698
2.0,0.007150440334120452,166.632
2.25,0.008719516702004972,152.64000000000001
2.5,0.010423756318980437,141.192
2.75,0.012260847418943299,131.334
3.0,0.014228334382079558,123.066
3.5,0.018545123747135704,109.39200000000001
4.0,0.023364859102613687,98.6436
4.5,0.028676544103667462,90.01520000000001
5.0,0.03446982541570231,82.89200000000001
5.5,0.0407370946236343,76.89240000000001
6.0,0.04747110028685298,71.78320000000001
6.5,0.05466446157658954,67.37360000000001
7.0,0.06231183651430236,63.504599999999996
7.5,0.07040815456297031,60.102000000000004
8.0,0.07894830446069495,57.07040000000001
8.5,0.0879272028643309,54.3674
9.0,0.09733977527356653,51.92940000000001
9.5,0.10718276835545647,49.714
10.0,0.11745262303533649,47.7
12.0,0.16271253413521766,41.1598
12.5,0.17506568312136536,39.8136
15.0,0.24286968620674043,34.333400000000005
17.5,0.32055303119057055,30.284200000000002
20.0,0.40785698912998725,27.157200000000003
25.0,0.6103298326343978,22.6416
27.5,0.7251861638008789,20.9562
30.0,0.8488542132492599,19.5252
35.0,1.1219424951123502,17.2356
40.0,1.428531565138486,15.476
45.0,1.7676691960446385,14.0768
50.0,2.13842694774124,12.942600000000002
55.0,2.539934741408511,11.9992
60.0,2.9714125762916064,11.2042
65.0,3.432150539027674,10.521560000000001
70.0,3.9214913264722053,9.931140000000001
75.0,4.438760741978573,9.41492
80.0,4.983341984415674,8.95912
85.0,5.5546413451922,8.554200000000002
90.0,6.15208314523928,8.19168
95.0,6.775126719317572,7.865200000000001
100.0,7.42330339831954,7.5684000000000005
110.0,8.79283908199771,7.053240000000001
120.0,10.257054388661833,6.619700000000001
125.0,11.023648148560477,6.427840000000001
130.0,11.81259664998768,6.24976
140.0,13.455848882085405,5.929640000000001
150.0,15.183891464486361,5.650860000000001
160.0,16.993792185327095,5.404940000000001
170.0,18.882701244589988,5.18764
175.0,19.85596815080039,5.088
180.0,20.84806144888155,4.9926
190.0,22.887154978224466,4.81876
200.0,24.997538916166743,4.66082
225.0,30.569069252996698,4.3258600000000005
250.0,36.54005110751688,4.056620000000001
275.0,42.88081855044297,3.83508
300.0,49.564260121686665,3.65064
350.0,63.85240775628145,3.3602000000000003
400.0,79.24419619901896,3.1439600000000003
450.0,95.59513423789195,2.97648
500.0,112.7848149888495,2.84398
550.0,130.7096682191299,2.73692
600.0,149.28176098503212,2.64894
650.0,168.42522083810917,2.5758
700.0,188.07398956327938,2.51432
750.0,208.17418724165807,2.46132
800.0,228.68467743352738,2.41468
850.0,249.56699191944566,2.3744000000000005
900.0,270.78237711260095,2.33942
950.0,292.2925156422481,2.30974
1000.0,314.0706830202015,2.2821800000000003
1500.0,540.9529051287736,2.1306
2000.0,778.6218955635845,2.0776
2500.0,1020.3995230010896,2.05852
3000.0,1263.4803759042459,2.05534
4000.0,1748.5216119156005,2.06806
5000.0,2229.734760941557,2.0882
6000.0,2706.090602435155,2.1104600000000002
7000.0,3177.5647595276014,2.13166
8000.0,3644.3729358245623,2.1528600000000004
9000.0,4106.831067551653,2.17194
10000.0,4565.354677597556,2.18996
