p05c_acceptance_stratum,n_candidates,n_runs,n_bootstrap,consensus_recoverable_rate,consensus_recoverable_rate_ci_low,consensus_recoverable_rate_ci_high,bad_proxy_rate,bad_proxy_rate_ci_low,bad_proxy_rate_ci_high,support_retention_rate,support_retention_rate_ci_low,support_retention_rate_ci_high,mean_review_score,mean_review_score_ci_low,mean_review_score_ci_high
accepted,36,12,1200,1.0,1.0,1.0,0.6666666666666666,0.5428571428571428,0.7692307692307693,0.5,0.3333333333333333,0.6666666666666666,2.7976808261681056,2.6492182302729956,2.9404358657624154
rejected,36,11,1200,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.30520833333333336,0.75,1.7568765981472192,1.6550034781394527,1.851088785909001
