blind_id,event_index,run,heldout_run,eventno,ref_stave,ref_amp_adc,adaptive_lowering_adc,p02_topology,p05c_acceptance_stratum,accepted,pred_secondary_fraction,pred_overlap_probability,one_sse_norm,resid_late_max_frac,bad_proxy,method,recoverable_votes,mean_review_score,mean_confidence,consensus_recoverable,split_reviewer_vote
BLD-0001,99775,51,51,184715,B2,8554.5,922.1825,p02_broad_late,accepted,1,0.3748156163171457,1.0,0.0364118508637761,0.2823549581761623,1,traditional_template_fit,2,3.380479506537518,1.0,1,0
BLD-0002,170205,54,54,276123,B2,6032.0,958.5200000000004,p02_broad_late,accepted,1,0.2517563006284272,0.714904664031916,0.0540566999803741,0.2175885019436191,0,traditional_template_fit,2,2.6668014818716674,0.9722227070213227,1,0
BLD-0003,36663,48,48,79958,B2,8639.0,6626.415,p02_broad_late,rejected,0,0.0,0.0,0.3377921283669518,0.690820696839912,1,traditional_template_fit,1,2.0751652616995,0.5516558600964586,0,1
BLD-0004,100512,51,51,185782,B2,4813.0,506.8050000000003,p02_broad_late,rejected,0,0.0,0.0,0.4182336364111785,0.6875129856638271,1,traditional_template_fit,1,1.0355154759777683,0.271535131316988,0,1
BLD-0005,234146,57,57,367610,B2,7207.5,7741.3875,p02_broad_late,rejected,0,0.0,0.0,0.3514774332335528,0.4974679153659382,1,traditional_template_fit,1,1.803663838738741,0.6182827180075129,0,1
BLD-0006,103412,51,51,189948,B2,6842.5,466.8625000000002,p02_broad_late,accepted,1,0.6355701037705811,1.0,0.030448677026349,0.1576768813590385,1,traditional_template_fit,2,2.8776943210454524,0.9617444966083541,1,0
BLD-0007,140514,53,53,238696,B2,6570.5,1026.9425,p02_broad_late,accepted,1,0.3751266570907316,1.0,0.0406529674581704,0.3163708971154851,1,traditional_template_fit,2,3.2124057014291147,1.0,1,0
BLD-0008,237074,57,57,374409,B2,4789.5,1107.6575000000005,p02_broad_late,accepted,1,0.5274666338389558,1.0,0.0295386135795623,0.1695230402914006,1,traditional_template_fit,2,2.708010298219932,0.9088360671231748,1,0
BLD-0009,146072,54,54,245636,B2,5258.5,1554.6225000000004,p02_broad_late,accepted,1,0.0850472351666,0.2820177363945075,0.035297262833194,0.3284975841842997,1,traditional_template_fit,2,2.061258679223404,0.6408391194822692,1,0
BLD-0010,82755,50,50,161637,B2,7023.5,1244.1475,p02_broad_late,accepted,1,0.4507084404971436,0.3296635935070321,0.2092052574598271,0.1923581932470804,0,traditional_template_fit,2,2.801970303163249,0.9787441434212287,1,0
BLD-0011,232908,57,57,364604,B2,7834.0,6641.49,p02_broad_late,rejected,0,0.0,0.0,0.3362783983439422,0.6169262190451876,1,traditional_template_fit,1,1.966565879041451,0.5760492484210319,0,1
BLD-0012,92869,51,51,174857,B2,7525.5,6651.6175,p02_broad_late,rejected,0,0.0,0.0,0.3662694639405713,0.6289947511793237,1,traditional_template_fit,1,1.9204760887091776,0.586274391151885,0,1
BLD-0013,96124,51,51,179578,B2,4905.5,357.9174999999996,p02_broad_late,rejected,0,0.0,0.0,0.3760276868230108,0.6856589542350423,1,traditional_template_fit,1,0.9918298835138304,0.21912053796801192,0,1
BLD-0014,71380,50,50,146903,B2,5794.5,390.5825000000005,p02_broad_late,accepted,1,0.622725814746337,0.4957700265354809,0.2626875672873674,0.1692980597715755,0,traditional_template_fit,2,2.3842122244969435,0.8135803196400289,1,0
BLD-0015,208992,56,56,329462,B2,6807.0,261.89500000000044,p02_broad_late,accepted,1,0.5271855658038739,1.0,0.0380750853518953,0.260201361575968,1,traditional_template_fit,2,2.914896616076267,0.9464858212336289,1,0
BLD-0016,37915,48,48,83167,B2,5663.0,369.0550000000003,p02_broad_late,rejected,0,0.0,0.0,0.3458893729164589,0.6508917534875508,1,traditional_template_fit,1,1.1703928854841412,0.29206988317886706,0,1
BLD-0017,150804,54,54,251662,B2,8025.5,1347.1175000000003,p02_broad_late,accepted,1,0.1285046227825984,0.3994666976071956,0.0487373369425522,0.2499360755142032,1,traditional_template_fit,2,2.629989352050747,0.8931418192389708,1,0
BLD-0018,46550,49,49,101990,B2,7428.0,6647.58,p02_broad_late,rejected,0,0.0,0.0,0.3526040942206514,0.6515885837372105,1,traditional_template_fit,1,1.9244674815441491,0.5813718488144506,0,1
BLD-0019,84105,50,50,163347,B2,5079.5,324.3074999999999,p02_broad_late,accepted,1,0.5893974364470327,1.0,0.0348903667332803,0.1380224572014349,1,traditional_template_fit,2,2.3813961209048164,0.6941213768537632,1,0
BLD-0020,210878,56,56,332018,B2,7760.5,6648.0925,p02_broad_late,rejected,0,0.0,0.0,0.3401736660152785,0.6162618387990465,1,traditional_template_fit,1,1.9558537691734703,0.5783626794428318,0,1
BLD-0021,160584,54,54,263927,B2,4884.5,232.23250000000007,p02_broad_late,rejected,0,0.0,0.0,0.3762919726432632,0.7309857713174327,1,traditional_template_fit,1,0.9261362474376378,0.16461523818311322,0,1
BLD-0022,22449,45,45,47386,B2,7669.5,6652.4575,p02_broad_late,rejected,0,0.0,0.0,0.3354969332881491,0.6617771693069953,1,traditional_template_fit,1,1.967671593571199,0.5712940645615957,0,1
BLD-0023,181393,55,55,291504,B2,6932.0,2044.0200000000004,p02_broad_late,accepted,1,0.4090958913787795,0.3524603717367673,0.2268151074312846,0.1584445249470984,1,traditional_template_fit,2,2.7753433294350867,0.957032895042774,1,0
BLD-0024,218257,56,56,342034,B2,5421.0,418.6850000000004,p02_broad_late,rejected,0,0.0,0.0,0.365018005981273,0.6270060874377421,1,traditional_template_fit,1,1.126415833392974,0.2928829931720567,0,1
BLD-0025,241393,57,57,385086,B4,4808.0,816.8800000000001,p02_broad_late,rejected,0,0.0,0.0,0.3796413470654535,0.5719633943427621,1,traditional_template_fit,1,1.1454466508329224,0.3689215608207207,0,1
