method,n_events,n_accepted,coverage,abstention_rate,accepted_candidate_secondary_fraction,accepted_time_residual_proxy_rms_ns,bad_recovery_proxy_rate,accepted_mean_model_probability,support_subset_n,high_amp_large_lowering_broad_late_retention
cnn_1d_dual_head,8673,135,0.0155655482531995,0.9844344517468004,0.3494174130812839,16.708729878775657,0.0222222222222222,0.9244873408918028,1013,0.0059230009871668
consensus_abstention_ensemble,8673,545,0.0628386947999538,0.937161305200046,0.1556454233603789,8.476213522577124,0.036697247706422,0.6261130605302967,1013,0.1154985192497532
gradient_boosted_trees,8673,8673,1.0,0.0,0.0892130537463833,6.791237536117046,0.0215611668396172,0.2538015353377159,1013,1.0
mlp,8673,8372,0.9652945924132365,0.0347054075867635,0.0975064380298678,6.021848014736364,0.0222169135212613,0.1488382145704134,1013,0.9911154985192496
ridge_linear,8673,327,0.0377032168799723,0.9622967831200276,0.4836373980963596,11.224215946144266,0.0458715596330275,0.9934161678605148,1013,0.0937808489634748
traditional_template_fit,8673,3796,0.4376801568084861,0.5623198431915138,0.5275521190178571,2.084183043067664,0.006322444678609,0.9724132256903486,1013,0.2576505429417571
