method,reference_traditional_method,delta_tail_gt5_fraction,ci_low,ci_high
traditional_median3,traditional_mean3,0.0006216156481379158,0.0003938089235619589,0.0007826418767359349
ridge,traditional_mean3,0.0043331807699609525,0.003774982472922183,0.0054051310649170575
one_dimensional_cnn,traditional_mean3,0.008481178178096268,0.006855809254853431,0.010114766710324095
target_masked_residual_cnn,traditional_mean3,0.011898249664376663,0.010341280194301194,0.013822915113492117
gradient_boosted_trees,traditional_mean3,0.013255353732624084,0.011932233107687035,0.014635763453367276
mlp,traditional_mean3,0.019111170468208673,0.017359664814364455,0.020709918626742218
traditional_line3,traditional_mean3,0.02381364680813428,0.022261864010487405,0.024987179982499053
traditional_run_stratified,traditional_mean3,0.05619833060484442,0.05373100528162526,0.0573860828689447
