path,run,filename_token_hit,entries,tree,trigger_like_branches,trigger_branch,nonbeam_trigger_entries,unique_trigger_values
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0012-sorted.root,12,False,14791,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0013-sorted.root,13,False,50629,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0014-sorted.root,14,False,3479,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0015-sorted.root,15,False,103871,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0016-sorted.root,16,False,11533,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0017-sorted.root,17,False,5648,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0018-sorted.root,18,False,75023,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0019-sorted.root,19,False,73470,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0020-sorted.root,20,False,57388,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0021-sorted.root,21,False,0,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0022-sorted.root,22,False,0,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0023-sorted.root,23,False,3806,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0024-sorted.root,24,False,24908,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0025-sorted.root,25,False,3315,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0026-sorted.root,26,False,53953,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0027-sorted.root,27,False,34979,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0028-sorted.root,28,False,5203,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0029-sorted.root,29,False,25800,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0030-sorted.root,30,False,5265,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0031-sorted.root,31,False,39990,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0032-sorted.root,32,False,41921,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0033-sorted.root,33,False,57173,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0034-sorted.root,34,False,39765,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0035-sorted.root,35,False,27786,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0036-sorted.root,36,False,21764,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0037-sorted.root,37,False,50513,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0039-sorted.root,39,False,30321,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0040-sorted.root,40,False,32613,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0041-sorted.root,41,False,33997,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0042-sorted.root,42,False,33972,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0043-sorted.root,43,False,13,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0044-sorted.root,44,False,4294,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0045-sorted.root,45,False,48181,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0046-sorted.root,46,False,1441,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0047-sorted.root,47,False,10970,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0048-sorted.root,48,False,31713,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0049-sorted.root,49,False,32354,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0050-sorted.root,50,False,44804,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0051-sorted.root,51,False,20569,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0052-sorted.root,52,False,10005,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0053-sorted.root,53,False,39612,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0054-sorted.root,54,False,37413,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0055-sorted.root,55,False,24416,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0056-sorted.root,56,False,51823,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0057-sorted.root,57,False,31284,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0058-sorted.root,58,False,34141,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0059-sorted.root,59,False,42303,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0060-sorted.root,60,False,36074,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0061-sorted.root,61,False,36535,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0062-sorted.root,62,False,37584,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0063-sorted.root,63,False,37030,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0064-sorted.root,64,False,35943,tree,,False,0,
/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0065-sorted.root,65,False,38424,tree,,False,0,
