heldout_run,method,alpha,cv_mae_adc,learning_rate,max_leaf_nodes
58,ridge,0.1,233.76032411090512,,
58,ridge,1.0,233.7190508553408,,
58,ridge,10.0,233.48714077607426,,
58,ridge,100.0,233.6828048563266,,
58,ridge,1000.0,232.17891864401918,,
58,gradient_boosted_trees,,91.61852304991085,0.04,15.0
58,gradient_boosted_trees,,69.30177293592466,0.04,31.0
58,gradient_boosted_trees,,78.50126173450865,0.08,15.0
58,gradient_boosted_trees,,63.55828956292925,0.08,31.0
59,ridge,0.1,186.01543738188235,,
59,ridge,1.0,186.028542204253,,
59,ridge,10.0,186.18752711637146,,
59,ridge,100.0,187.46654448890692,,
59,ridge,1000.0,190.44670678572112,,
59,gradient_boosted_trees,,68.0765451275869,0.04,15.0
59,gradient_boosted_trees,,52.941938633700026,0.04,31.0
59,gradient_boosted_trees,,57.782285061702886,0.08,15.0
59,gradient_boosted_trees,,47.050227258142534,0.08,31.0
60,ridge,0.1,191.80298492353555,,
60,ridge,1.0,191.77825059202945,,
60,ridge,10.0,191.67389518486826,,
60,ridge,100.0,192.23533090672572,,
60,ridge,1000.0,193.12297650078858,,
60,gradient_boosted_trees,,76.60497478482948,0.04,15.0
60,gradient_boosted_trees,,60.642851512834056,0.04,31.0
60,gradient_boosted_trees,,66.09277188784758,0.08,15.0
60,gradient_boosted_trees,,54.689163796266236,0.08,31.0
61,ridge,0.1,202.4439549461625,,
61,ridge,1.0,202.4376492945798,,
61,ridge,10.0,202.44975699480662,,
61,ridge,100.0,203.43218879951246,,
61,ridge,1000.0,203.46409343742874,,
61,gradient_boosted_trees,,76.5764693182263,0.04,15.0
61,gradient_boosted_trees,,60.06369959944039,0.04,31.0
61,gradient_boosted_trees,,71.50414376855815,0.08,15.0
61,gradient_boosted_trees,,54.91349119222864,0.08,31.0
62,ridge,0.1,197.4505491013726,,
62,ridge,1.0,197.4282554517471,,
62,ridge,10.0,197.29414390910827,,
62,ridge,100.0,197.72221000240145,,
62,ridge,1000.0,198.94719619041265,,
62,gradient_boosted_trees,,74.00199844728856,0.04,15.0
62,gradient_boosted_trees,,59.83039131178979,0.04,31.0
62,gradient_boosted_trees,,65.6814132517945,0.08,15.0
62,gradient_boosted_trees,,52.76105977355445,0.08,31.0
63,ridge,0.1,197.02161059928068,,
63,ridge,1.0,196.9777052811779,,
63,ridge,10.0,196.72170625949263,,
63,ridge,100.0,196.73682949848873,,
63,ridge,1000.0,197.08210660807524,,
63,gradient_boosted_trees,,71.56699243555774,0.04,15.0
63,gradient_boosted_trees,,55.33295641455117,0.04,31.0
63,gradient_boosted_trees,,61.49209569403897,0.08,15.0
63,gradient_boosted_trees,,49.59968937774203,0.08,31.0
65,ridge,0.1,197.31356084331503,,
65,ridge,1.0,197.35289766093717,,
65,ridge,10.0,197.851186446902,,
65,ridge,100.0,200.9462383107921,,
65,ridge,1000.0,203.23008512911824,,
65,gradient_boosted_trees,,76.99135347891838,0.04,15.0
65,gradient_boosted_trees,,60.41575032314032,0.04,31.0
65,gradient_boosted_trees,,66.99256075347408,0.08,15.0
65,gradient_boosted_trees,,53.91179608296901,0.08,31.0
