method,pid_proxy,pedestal_bin,pileup_bin,n_pair_residuals,failure_rate_abs_res_gt_10ns,failure_ci_low,failure_ci_high,timing_sigma68_ns,sigma68_ci_low,sigma68_ci_high
derivative_integral_cfd,low_dE_proxy,0,mild_pileup,897,0.010033444816053512,0.0,0.016333938294010888,3.165617419647223,3.0086773964948397,3.322605582757216
derivative_integral_cfd,low_dE_proxy,0,single_like,93,0.0,0.0,0.0,2.576811280994196,2.036002847352151,2.9195843876438317
ridge,low_dE_proxy,0,mild_pileup,897,0.008918617614269788,0.0,0.014414414414414415,1.8522290156415198,1.808917485770154,1.878135878178874
ridge,low_dE_proxy,0,single_like,93,0.0,0.0,0.0,1.7190952232890304,1.5205680345179642,1.8712826405889391
gradient_boosted_trees,low_dE_proxy,0,mild_pileup,897,0.010033444816053512,0.0,0.014519056261343012,1.8332469592304894,1.7743821864039078,1.9528316425823924
gradient_boosted_trees,low_dE_proxy,0,single_like,93,0.010752688172043012,0.0,0.029411764705882353,2.9169663817988645,2.4093756320080475,3.4283311352908896
mlp,low_dE_proxy,0,mild_pileup,897,0.008918617614269788,0.0,0.014414414414414415,2.0299012190005223,2.0052683198747094,2.0613852068354235
mlp,low_dE_proxy,0,single_like,93,0.010752688172043012,0.0,0.029879679144385007,2.1155014480286036,1.9386417654032855,2.919296002633952
cnn_1d,low_dE_proxy,0,mild_pileup,897,0.008918617614269788,0.0,0.014341186105891985,1.8999512142252257,1.7267385854468955,2.0868796005404087
cnn_1d,low_dE_proxy,0,single_like,93,0.0,0.0,0.0,1.7582274585000193,1.5140779347327757,1.9966536002597763
compact_waveform_attention,low_dE_proxy,0,mild_pileup,897,0.008918617614269788,0.0,0.014414414414414415,1.851801402359404,1.7689344589697893,1.9661452598139468
compact_waveform_attention,low_dE_proxy,0,single_like,93,0.0,0.0,0.0,1.6416050345095594,1.461586834961354,1.9211416020674077
