method,sample,phase,n_rows,noise_sigma_adc,mae_adc,median_bias_adc
gradient_boosted_trees,0,pretrigger,1120,26.567168436813354,81.90376281738281,-45.91647720336914
gradient_boosted_trees,1,pretrigger,1120,25.269200617218015,95.18815612792969,-51.86969757080078
gradient_boosted_trees,2,pretrigger,1120,24.556085649490356,80.71987915039062,-46.79338836669922
gradient_boosted_trees,3,pretrigger,1120,32.09014244155884,107.40153503417969,-44.09681701660156
gradient_boosted_trees,4,rising_edge,1120,48.881779091262814,137.30361938476562,-45.29846954345703
gradient_boosted_trees,5,rising_edge,1120,170.50243864746093,211.0867919921875,-53.75183868408203
gradient_boosted_trees,6,rising_edge,1120,157.99453948974607,219.11634826660156,42.87322998046875
gradient_boosted_trees,7,rising_edge,1120,191.59624179039,204.14373779296875,113.63394165039062
gradient_boosted_trees,8,peak,1120,133.57380675258636,151.25042724609375,84.52984619140625
gradient_boosted_trees,9,peak,1120,124.03442323150634,146.2550811767578,29.151405334472656
gradient_boosted_trees,10,peak,1120,116.65458808135986,129.9832763671875,34.5445556640625
gradient_boosted_trees,11,tail,1120,116.46582443389892,124.18281555175781,34.253662109375
gradient_boosted_trees,12,tail,1120,103.9831495651245,115.60786437988281,24.097442626953125
gradient_boosted_trees,13,tail,1120,92.30610228881835,107.62673950195312,19.081695556640625
gradient_boosted_trees,14,tail,1120,100.28417160644531,112.7885971069336,40.42132568359375
gradient_boosted_trees,15,tail,1120,93.98723893432617,107.05730438232422,28.267730712890625
gradient_boosted_trees,16,tail,1120,99.70921617736816,122.88257598876953,25.678802490234375
gradient_boosted_trees,17,tail,1120,105.84681730957031,158.27955627441406,-39.585205078125
masked_attention,0,pretrigger,1120,243.27334717254638,395.5987548828125,-282.27294921875
masked_attention,1,pretrigger,1120,221.61222658309936,334.6624755859375,-256.7254943847656
masked_attention,2,pretrigger,1120,246.94112279891965,404.8357849121094,-267.019287109375
masked_attention,3,pretrigger,1120,276.0666703971863,468.05084228515625,-136.9017333984375
masked_attention,4,rising_edge,1120,437.03211645812985,670.3818969726562,-245.11976623535156
masked_attention,5,rising_edge,1120,1001.4963904907225,932.8956909179688,-497.2643127441406
masked_attention,6,rising_edge,1120,1004.4214126098632,802.5921020507812,257.837158203125
masked_attention,7,rising_edge,1120,441.1001042724609,710.134765625,520.5689697265625
masked_attention,8,peak,1120,350.13168109130856,634.4251708984375,519.1826782226562
masked_attention,9,peak,1120,385.3538262130737,503.9475402832031,394.2618103027344
masked_attention,10,peak,1120,444.83504098205566,475.1105041503906,330.9310302734375
masked_attention,11,tail,1120,510.59417406005855,435.814208984375,165.19412231445312
masked_attention,12,tail,1120,560.6855850585937,448.16094970703125,108.16162109375
masked_attention,13,tail,1120,552.3801655517577,442.7474060058594,21.927032470703125
masked_attention,14,tail,1120,581.6697954528809,458.06915283203125,-71.39828491210938
masked_attention,15,tail,1120,455.6085723266601,487.604248046875,-191.37069702148438
masked_attention,16,tail,1120,348.11735760498044,549.8724975585938,-311.39813232421875
masked_attention,17,tail,1120,264.7707417663574,574.2628173828125,-340.99871826171875
mlp,0,pretrigger,1120,136.45780688209533,148.594482421875,-34.306068420410156
mlp,1,pretrigger,1120,138.53259231033326,120.21563720703125,-32.188785552978516
mlp,2,pretrigger,1120,180.157499004364,158.61582946777344,5.299931526184082
mlp,3,pretrigger,1120,128.268645331192,172.86976623535156,2.522523880004883
mlp,4,rising_edge,1120,172.50175198516845,239.14642333984375,-59.6024284362793
mlp,5,rising_edge,1120,254.10241719818114,281.444091796875,-9.294136047363281
mlp,6,rising_edge,1120,316.58894197998046,342.4482116699219,20.815994262695312
mlp,7,rising_edge,1120,207.2355526107788,268.5801696777344,115.38097381591797
mlp,8,peak,1120,183.51192788085936,227.06967163085938,96.3775634765625
mlp,9,peak,1120,227.19868831329345,226.37997436523438,38.264892578125
mlp,10,peak,1120,204.8386909057617,214.05838012695312,54.16064453125
mlp,11,tail,1120,231.8785517715454,254.57472229003906,-74.93328857421875
mlp,12,tail,1120,219.12871435546873,231.4346466064453,-52.97479248046875
mlp,13,tail,1120,206.6164716430664,239.08718872070312,4.861696243286133
mlp,14,tail,1120,207.32451630249022,224.8848419189453,-20.76953125
mlp,15,tail,1120,221.68344843749998,258.6817626953125,-22.2464599609375
mlp,16,tail,1120,187.14676488418579,208.0819091796875,-37.3568115234375
