method,phase,n_rows,noise_sigma_adc,noise_sigma_ci_low_adc,noise_sigma_ci_high_adc,mae_adc
gradient_boosted_trees,peak,3360,127.17548063964843,121.47162868835449,132.20720440629958,142.49639892578125
gradient_boosted_trees,pretrigger,4480,26.7518034450531,24.267301404447554,28.281141337738035,91.30354309082031
gradient_boosted_trees,rising_edge,4480,160.0779031557083,142.92505836456297,178.9056288555908,192.9123992919922
gradient_boosted_trees,tail,7840,105.38146876831054,97.09874546585083,112.60554506538391,121.20377349853516
masked_attention,peak,3360,404.2313786499023,350.24464970947264,457.8538326617432,537.8284301757812
masked_attention,pretrigger,4480,230.38211800231932,211.4931542611885,250.2163665667248,400.7868347167969
masked_attention,rising_edge,4480,1001.33993203125,969.5389526939391,1030.1827447599792,779.0013427734375
masked_attention,tail,7840,561.3084327026367,525.2133054812622,606.482367441101,485.2180480957031
mlp,peak,3360,205.35611685791014,192.24664032468795,217.4547445751953,222.50296020507812
mlp,pretrigger,4480,146.34319157867432,139.50898977051975,152.43282326066492,150.07371520996094
mlp,rising_edge,4480,252.31606812057493,236.97894095898627,265.355835054903,282.9047546386719
mlp,tail,7840,215.83453533325195,203.33696130838393,229.34365778045654,238.31951904296875
one_dimensional_cnn,peak,3360,402.47151507568356,358.11261217803957,463.4177950048828,737.1387939453125
one_dimensional_cnn,pretrigger,4480,383.8001796844482,351.9939202134704,412.19563682098385,674.4655151367188
one_dimensional_cnn,rising_edge,4480,1079.2131712646483,1038.510573163147,1122.5195448953248,806.0928955078125
one_dimensional_cnn,tail,7840,575.4233566040039,539.3052922467041,610.3750815124512,470.242919921875
ridge,peak,3360,60.88068772888183,57.00975251220703,67.8936915875244,59.044288635253906
ridge,pretrigger,4480,67.37359502792359,62.96843623592376,71.65843339611054,61.589229583740234
ridge,rising_edge,4480,64.74199473266602,60.841496464218196,68.34308901803969,60.40550994873047
ridge,tail,7840,56.07558511047363,52.931109415283196,59.97317889404297,54.015323638916016
traditional_template_smoother,peak,3360,113.82610825195312,100.05232186182975,127.2514147984314,146.0207061767578
traditional_template_smoother,pretrigger,4480,9.542321288251877,8.764008554597497,10.316457607736885,85.32693481445312
traditional_template_smoother,rising_edge,4480,268.87601175842286,247.11623987983702,296.3248298258811,317.0830078125
traditional_template_smoother,tail,7840,73.64293368530274,67.91838763687134,80.19081522949219,109.04943084716797
