run,stack,file,sha256,entries,branches,trigger_summary,trigger_mode,beam_state,nonbeam_trigger_entries,mirror
0,A,data/root/root/hrda_run_0000.root,6fca844c2c753e659d872d92e71f21bc157eb78840f4c089732165814d54db66,0,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,empty_tree,nonbeam_or_mixed,empty_tree,0,/home/billy/ccb-data/extracted/root/root/
1,A,data/root/root/hrda_run_0001.root,5feb92ef0163475261341f8ac0d8eb685ea3a8d54ffff3304fdbbdce1f96f624,0,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,empty_tree,nonbeam_or_mixed,empty_tree,0,/home/billy/ccb-data/extracted/root/root/
2,A,data/root/root/hrda_run_0002.root,5fc5076330746bf9ce5cac841dee22617e77fdd1554347d77b6caa7733576ad4,0,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,empty_tree,nonbeam_or_mixed,empty_tree,0,/home/billy/ccb-data/extracted/root/root/
3,A,data/root/root/hrda_run_0003.root,971662d9b640fd1079f61164eb9d0030175fa6a6b2283d3f6c51833046a708e2,0,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,empty_tree,nonbeam_or_mixed,empty_tree,0,/home/billy/ccb-data/extracted/root/root/
12,A,data/root/root/hrda_run_0012.root,b76b311989d3f018926c69e7b54416cfe6d64d4e07401560dec289edafc7f3b6,15043,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:15043,TRIGGER=1 only,beam_triggered,0,/home/billy/ccb-data/extracted/root/root/
12,B,data/root/root/hrdb_run_0012.root,84f09fe5eabb8f0af30907c82be33dfae19cf1b78d2799ac7141da7e98649cf9,14791,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:14791,TRIGGER=1 only,beam_triggered,0,/home/billy/ccb-data/extracted/root/root/
13,A,data/root/root/hrda_run_0013.root,cbb407a2fb5beb7c90bf6ea51d240227a0738425a594802bca6a60e04e399470,51109,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:51109,TRIGGER=1 only,beam_triggered,0,/home/billy/ccb-data/extracted/root/root/
13,B,data/root/root/hrdb_run_0013.root,197371909cb36ea89946a68ece98137bf49a3e349f9b6839b8b29dc4ba2adaef,50629,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:50629,TRIGGER=1 only,beam_triggered,0,/home/billy/ccb-data/extracted/root/root/
14,A,data/root/root/hrda_run_0014.root,ab8be41bcaec9d42f265954bec7b4cc585c6ae06238e111d509ed5596c5b1e82,3495,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:3495,TRIGGER=1 only,beam_triggered,0,/home/billy/ccb-data/extracted/root/root/
14,B,data/root/root/hrdb_run_0014.root,7c9844c61e99f8f62a395218dcacc26e002e6f7d5b9577c78193999ae367721d,3479,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:3479,TRIGGER=1 only,beam_triggered,0,/home/billy/ccb-data/extracted/root/root/
