method,method_label,n,calibration_loss,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,full_n,full_calibration_loss,full_sigma68_ns,full_full_rms_ns,full_tail_frac_abs_gt5ns,full_pull_width68,full_coverage68,full_coverage95,accepted_minus_full_n,accepted_minus_full_calibration_loss,accepted_minus_full_sigma68_ns,accepted_minus_full_full_rms_ns,accepted_minus_full_tail_frac_abs_gt5ns,accepted_minus_full_pull_width68,accepted_minus_full_coverage68,accepted_minus_full_coverage95
phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,3095,0.07481527559296627,1.6309307277365788,1.5553332592140883,0.0009693053311793214,0.8512966267438764,0.6148626817447496,0.9693053311793215,11460,0.05344836831331472,1.503985568351275,2.415318800709231,0.011431064572425828,0.9010218616401986,0.6319371727748692,0.9609947643979058,-8365,0.021366907279651556,0.1269451593853037,-0.8599855414951427,-0.010461759241246506,-0.04972523489632219,-0.0170744910301196,0.008310566781415729
cnn1d,1D-CNN residual scale model,3095,0.10467785043244204,1.6744364359272919,1.620086973121262,0.0016155088852988692,0.9693696862334056,0.45201938610662357,0.935702746365105,11460,0.0973354136989118,1.510096991761467,2.420418697948264,0.012914485165794066,1.009827486398175,0.4545375218150087,0.9361256544502617,-8365,0.007342436733530244,0.1643394441658248,-0.8003317248270019,-0.011298976280495197,-0.04045780016476952,-0.0025181357083851608,-0.00042290808515677014
mlp,MLP residual scale model,3095,0.12572229918176064,1.695353109973905,1.6369124089111609,0.0009693053311793214,1.0886045546443213,0.4859450726978998,0.8733441033925686,11460,0.1034719656101751,1.6447738012513375,2.424531198736336,0.01387434554973822,1.05181909683363,0.5169284467713787,0.8760034904013961,-8365,0.02225033357158554,0.05057930872256744,-0.787618789825175,-0.012905040218558898,0.0367854578106912,-0.030983374073478898,-0.0026593870088275073
gradient_boosted_trees,HistGradientBoosting residual scale model,3095,0.13493819786012712,1.6402718002962742,1.6073617671151044,0.0009693053311793214,1.0816878585661878,0.4765751211631664,0.8526655896607431,11460,0.10900688388818808,1.5542951071875146,2.315559803391101,0.015357766143106457,1.045099754589835,0.5027923211169284,0.8697207678883071,-8365,0.02593131397193904,0.08597669310875955,-0.7081980362759968,-0.014388460811927135,0.036588103976352704,-0.026217199953761983,-0.017055178227563972
ridge,Ridge residual scale model,3095,0.1427367265057028,1.8471805618202892,1.8013229633141274,0.00420032310177706,1.1004425547316892,0.474313408723748,0.8462035541195476,11460,0.11002074196340975,1.5731825855146495,2.5465901524293555,0.01614310645724258,1.0202372113235316,0.48106457242582895,0.8717277486910995,-8365,0.03271598454229305,0.2739979763056397,-0.745267189115228,-0.011942783355465522,0.08020534340815755,-0.006751163702080953,-0.02552419457155186
traditional,S02/S03/S04 atom robust-width baseline,3095,0.2038557789450791,1.8432499989661895,1.8800826861187803,0.0077544426494345715,1.2715585060077728,0.4827140549273021,0.7873990306946688,11460,0.6590594203452015,1.5510917109777835,2.666988996928635,0.019109947643979056,2.7120725531229497,0.3849912739965096,0.631588132635253,-8365,-0.45520364140012237,0.29215828798840593,-0.7869063108098548,-0.011355504994544484,-1.440514047115177,0.09772278093079251,0.15581089805941573
