dimension,stratum,method,method_label,calibration_loss,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,traditional_calibration_loss,traditional_sigma68_ns,traditional_full_rms_ns,traditional_tail_frac_abs_gt5ns,traditional_pull_width68,traditional_coverage68,traditional_coverage95,ml_minus_traditional_calibration_loss,ml_minus_traditional_sigma68_ns,ml_minus_traditional_full_rms_ns,ml_minus_traditional_tail_frac_abs_gt5ns,ml_minus_traditional_pull_width68,ml_minus_traditional_coverage68,ml_minus_traditional_coverage95
amplitude_bin,"amp_adc[1500,2500)",ridge,Ridge residual scale model,0.1423136082446964,1.841681919614323,1.7848553341312512,0.0032258064516129032,0.9483819557643488,0.4505376344086022,0.8408602150537634,0.22641875135568273,1.9461784463734637,1.9289912992839204,0.007526881720430108,1.2727697994752956,0.45806451612903226,0.7526881720430108,-0.08410514311098632,-0.10449652675914067,-0.14413596515266924,-0.004301075268817204,-0.32438784371094675,-0.00752688172043009,0.08817204301075265
amplitude_bin,"amp_adc[1500,2500)",mlp,MLP residual scale model,0.14356384377703887,1.581051558181381,1.568214724649749,0.002150537634408602,0.8546713362156241,0.48494623655913977,0.867741935483871,0.22641875135568273,1.9461784463734637,1.9289912992839204,0.007526881720430108,1.2727697994752956,0.45806451612903226,0.7526881720430108,-0.08285490757864386,-0.3651268881920826,-0.36077657463417134,-0.005376344086021506,-0.4180984632596715,0.026881720430107503,0.11505376344086027
amplitude_bin,"amp_adc[1500,2500)",gradient_boosted_trees,HistGradientBoosting residual scale model,0.1515303024153046,1.5397824987849327,1.5588267505391211,0.001075268817204301,0.8663538887593354,0.46236559139784944,0.8569892473118279,0.22641875135568273,1.9461784463734637,1.9289912992839204,0.007526881720430108,1.2727697994752956,0.45806451612903226,0.7526881720430108,-0.07488844894037813,-0.40639594758853104,-0.3701645487447993,-0.006451612903225807,-0.40641591071596017,0.004301075268817178,0.10430107526881716
amplitude_bin,"amp_adc[1500,2500)",phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.1783650187199438,1.5148179219527123,1.5173519251378218,0.002150537634408602,0.47129432941445376,0.5967741935483871,0.975268817204301,0.22641875135568273,1.9461784463734637,1.9289912992839204,0.007526881720430108,1.2727697994752956,0.45806451612903226,0.7526881720430108,-0.04805373263573892,-0.43136052442075146,-0.41163937414609864,-0.005376344086021506,-0.8014754700608417,0.13870967741935486,0.22258064516129028
amplitude_bin,"amp_adc[1500,2500)",cnn1d,1D-CNN residual scale model,0.18675877753761583,1.646652617402002,1.588784112890847,0.002150537634408602,0.6583432140765422,0.4311827956989247,0.9526881720430107,0.22641875135568273,1.9461784463734637,1.9289912992839204,0.007526881720430108,1.2727697994752956,0.45806451612903226,0.7526881720430108,-0.03965997381806691,-0.29952582897146174,-0.34020718639307335,-0.005376344086021506,-0.6144265853987534,-0.02688172043010756,0.19999999999999996
amplitude_bin,"amp_adc[2500,4000)",phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.05475490528084548,1.5925947477627371,1.5190991438422927,0.0,0.9140336186578077,0.6257367387033399,0.9670923379174853,0.17994277363147976,1.811800320888581,1.8315214852995383,0.009332023575638507,1.2525639683047018,0.506385068762279,0.8148330058939096,-0.12518786835063428,-0.21920557312584377,-0.31242234145724557,-0.009332023575638507,-0.3385303496468941,0.11935166994106094,0.15225933202357567
amplitude_bin,"amp_adc[2500,4000)",cnn1d,1D-CNN residual scale model,0.09770473144787101,1.6250998675800752,1.5859868477093317,0.0014734774066797642,1.0097119960339211,0.46021611001964635,0.9317288801571709,0.17994277363147976,1.811800320888581,1.8315214852995383,0.009332023575638507,1.2525639683047018,0.506385068762279,0.8148330058939096,-0.08223804218360875,-0.1867004533085057,-0.24553463759020655,-0.007858546168958744,-0.2428519722707807,-0.046168958742632604,0.11689587426326131
amplitude_bin,"amp_adc[2500,4000)",mlp,MLP residual scale model,0.1405065088759244,1.6664089131121365,1.6220192982390127,0.0014734774066797642,1.1530703827598872,0.4867387033398821,0.8747544204322201,0.17994277363147976,1.811800320888581,1.8315214852995383,0.009332023575638507,1.2525639683047018,0.506385068762279,0.8148330058939096,-0.03943626475555537,-0.14539140777644444,-0.2095021870605256,-0.007858546168958744,-0.09949358554481469,-0.01964636542239684,0.05992141453831046
amplitude_bin,"amp_adc[2500,4000)",gradient_boosted_trees,HistGradientBoosting residual scale model,0.14763327251547975,1.5783878767330182,1.5919270450605025,0.0019646365422396855,1.1398289107955153,0.481335952848723,0.8516699410609038,0.17994277363147976,1.811800320888581,1.8315214852995383,0.009332023575638507,1.2525639683047018,0.506385068762279,0.8148330058939096,-0.032309501116000006,-0.23341244415556273,-0.23959444023903576,-0.0073673870333988214,-0.11273505750918655,-0.025049115913555964,0.036836935166994156
amplitude_bin,"amp_adc[2500,4000)",ridge,Ridge residual scale model,0.1703837675003829,1.7881669654947776,1.7674501141038794,0.00343811394891945,1.2332866864129275,0.48772102161100195,0.8482318271119843,0.17994277363147976,1.811800320888581,1.8315214852995383,0.009332023575638507,1.2525639683047018,0.506385068762279,0.8148330058939096,-0.009559006131096864,-0.02363335539380329,-0.06407137119565887,-0.005893909626719058,-0.019277281891774356,-0.018664047151277008,0.03339882121807469
