dimension,stratum,bin_mid,n_pair_residuals,n_runs,accepted_fraction,timing_window_action_fraction,saturation_action_fraction,dropout_action_fraction,baseline_action_fraction,q_template_action_fraction,energy_support_action_fraction
amplitude_bin,"amp_adc[1000,1500)",1250.0,256,7,0.0,0.68359375,0.0,0.25390625,0.66015625,0.9765625,1.0
amplitude_bin,"amp_adc[1500,2500)",2000.0,3901,7,0.23840041015124327,0.37221225326839275,0.0,0.09920533196616252,0.3742630094847475,0.7541655985644706,0.026403486285567802
amplitude_bin,"amp_adc[2500,4000)",3250.0,6811,7,0.2989282043752753,0.31258258699163116,0.0,0.06386727352811629,0.23975921303773307,0.6750844222581118,0.014682131845543973
amplitude_bin,"amp_adc[4000,7000)",5500.0,492,7,0.2621951219512195,0.37601626016260165,0.032520325203252036,0.11585365853658537,0.22967479674796748,0.7154471544715447,0.06097560975609756
charge_bin,"charge[1000,4000)",2500.0,60,7,0.0,1.0,0.0,1.0,0.05,1.0,1.0
charge_bin,"charge[4000,8000)",6000.0,285,7,0.0,0.9754385964912281,0.0,0.7087719298245614,0.4982456140350877,1.0,1.0
charge_bin,"charge[8000,14000)",11000.0,1471,7,0.12100611828687967,0.6036709721278042,0.0,0.24201223657375934,0.47926580557443915,0.8721957851801495,0.07749830047586675
charge_bin,"charge[14000,24000)",19000.0,5990,7,0.3183639398998331,0.2696160267111853,0.0,0.03923205342237062,0.2601001669449082,0.6606010016694491,0.0
charge_bin,"charge[24000,40000)",32000.0,3624,7,0.27869757174392934,0.29856512141280356,0.0033112582781456954,0.022902869757174392,0.26158940397350994,0.6972958057395143,0.0
charge_bin,"charge[40000,80000)",60000.0,30,6,0.0,0.6,0.13333333333333333,0.26666666666666666,0.6333333333333333,1.0,1.0
