dimension,method,method_label,n,n_runs,n_bins,median_residual_slope_ns_per_unit,slope_ci_low,slope_ci_high,intercept_ns
amplitude_bin,cnn1d,1D-CNN residual scale model,3095,7,3,-0.0005217260910590281,-0.0007083233311105478,-0.00032508725633443393,2.9657998250717656
amplitude_bin,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,3095,7,3,-0.0005059272316706793,-0.0006136450237579165,-0.00033926597573085315,2.935005590040009
amplitude_bin,gradient_boosted_trees,HistGradientBoosting residual scale model,3095,7,3,-0.0004922308276888344,-0.0006056496695328772,-0.00032103199457472113,2.731805001019813
amplitude_bin,mlp,MLP residual scale model,3095,7,3,-0.0004770463686805939,-0.000594737216874088,-0.00023048082706113236,2.7836528264769416
amplitude_bin,ridge,Ridge residual scale model,3095,7,3,1.5384200525206178e-05,-0.00018739196065689634,0.00022461960386401173,1.5116028299979254
amplitude_bin,traditional,S02/S03/S04 atom robust-width baseline,3095,7,3,0.0002962726802034731,7.928473048532133e-05,0.000504740891169224,0.5737436773138707
charge_bin,mlp,MLP residual scale model,3095,7,3,-7.633679841209925e-05,-8.96690086370873e-05,-3.021678429146932e-05,3.064145198534402
charge_bin,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,3095,7,3,-6.981618191717567e-05,-9.210541321265561e-05,-3.562147227519007e-05,2.9673293598135992
charge_bin,cnn1d,1D-CNN residual scale model,3095,7,3,-6.890793878232536e-05,-9.039023560569802e-05,-2.1191445045487873e-05,2.9207797895544587
charge_bin,gradient_boosted_trees,HistGradientBoosting residual scale model,3095,7,3,-5.9808196095677233e-05,-9.188398321944897e-05,-3.532564446023702e-05,2.5981079257945083
charge_bin,ridge,Ridge residual scale model,3095,7,3,-5.583043828110388e-05,-7.973602589715752e-05,-2.950584999122671e-05,2.615876886614429
charge_bin,traditional,S02/S03/S04 atom robust-width baseline,3095,7,3,-2.4449756636316582e-05,-4.926531351274677e-05,2.4610681864352263e-06,1.839297032051161
