dimension,stratum,n,n_events,n_runs,bias_ns,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,central68_coverage,bias_ci_low_ns,bias_ci_high_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,tail5_ci_low,tail5_ci_high,risk_score
pair_x_amplitude_bin,"B4-B8|(4000.0, 7000.0]",19,19,9,5.249025192622644,1.8756871260231804,17.884375736118404,15.673270008699932,0.6842105263157895,0.7368421052631579,-2.7690733860294903,12.112884905388158,7.6918523290765926,19.912489958820036,0.4609375,1.0,25.251383518538564
amplitude_bin,"(4000.0, 7000.0]",35,29,13,3.6136170952213473,2.083063080095421,11.516294809594154,12.62828129567506,0.5142857142857142,0.6285714285714286,-0.4143580802477426,9.262790785151834,4.927908056013993,14.118105662102549,0.3785232383808096,0.6067982456140345,17.020513661973432
pair_x_dropout_anomaly,B4-B6|high_amplitude_proxy,79,79,19,4.624180913342384,2.5010645140874175,6.821849387743992,10.458519284819058,0.31645569620253167,0.7215189873417721,2.744518679611549,6.448828251462883,1.4811061315742076,8.08004343046549,0.22058823529411764,0.3943749999999999,10.448824441103547
pair_x_saturation_flag,B4-B6|True,89,89,19,4.100568701279977,2.507984402172873,5.233349652873278,10.267561890066634,0.29213483146067415,0.7303370786516854,2.4148294539115516,5.815485005311243,1.3545363269771453,7.333253409035315,0.21935328185328185,0.3501209677419354,8.564754837608016
dropout_anomaly,high_amplitude_proxy,2532,1269,31,2.2118978847103836,1.5710923499330463,2.668558998883292,3.8679228779573664,0.06358609794628751,0.7855450236966824,1.8110635235721053,2.339560720465284,2.4418109558579872,2.863642524630604,0.0549047619047619,0.07260233631098459,3.5256097668172055
pair_x_dropout_anomaly,B6-B8|high_amplitude_proxy,1229,1229,31,1.2597464754847112,0.048124451844806515,2.4477451661900798,2.931392109276918,0.0821806346623271,0.6688364524003255,1.0218018580738273,1.4253530617559467,2.3605286219725365,2.485474010842272,0.06851039585786685,0.10667965895249695,3.395526160361822
pair_x_saturation_flag,B6-B8|True,1372,1372,31,1.0511209255483032,-0.5057751565949786,2.384054730178214,3.038871137498374,0.09037900874635568,0.6581632653061225,0.7539417155915898,1.2575698922543463,2.2311232279972772,2.4486953489160768,0.07162701382883635,0.11156242883324473,3.3929569101966006
saturation_flag,True,2853,1412,31,1.9828891616961377,1.4977632244703045,2.531765351627936,3.925953745175822,0.06028741675429373,0.7756747283561164,1.7438091458563032,2.151854006789332,2.389128075845299,2.6967783263671348,0.050822209725874735,0.06923043207511018,3.332928435340487
pair_x_q_template_bin,"B6-B8|(0.0228, 0.0474]",1138,1138,31,2.1505465287444485,1.9312661855632598,2.3853218757474264,2.2755809307286032,0.03690685413005272,0.7337434094903339,2.0089937688705564,2.314551886490342,2.1515651976300783,2.5201969605204253,0.027868992038761493,0.050907311866215964,2.9694450699223984
pair_x_dropout_anomaly,B4-B8|high_amplitude_proxy,1224,1224,31,3.012244063367592,1.6678152774335828,2.0418800660862777,3.6515872484884597,0.06209150326797386,0.690359477124183,2.746948616484639,3.164827890570438,1.684250270608465,2.245890847368464,0.05405241266764238,0.07734849673202614,2.9640195051027756
q_template_bin,"(0.0228, 0.0474]",3048,1234,31,1.9142439573510646,1.8040156803264722,2.2773546309309345,2.433037440563267,0.04757217847769029,0.6909448818897638,1.6554658316062143,2.34894674254113,2.0933516444514764,2.454485031478326,0.03767992281389852,0.05304170022722956,2.944500811442944
pair_x_amplitude_bin,"B4-B6|(4000.0, 7000.0]",10,10,7,3.155446004469102,2.1983203293240727,1.5397069752313945,2.0968284569888658,0.1,0.8,2.1104879939581815,4.740747474078871,0.14816389815821898,2.749759910476617,0.0,0.3,2.855251575678305
pair_x_saturation_flag,B4-B8|True,1392,1392,31,2.7658723089460424,1.5977383510328806,1.9284509746375134,3.7406252464147784,0.0610632183908046,0.7140804597701149,2.28983383624339,2.9664061171343756,1.398621697990616,2.116913694588808,0.04569256811376761,0.07685384364529162,2.8156703894401636
pair_x_topology,B4-B6|hi=B4;lo=B6,160,160,29,2.9989766500647583,2.2709799033225266,1.2923006803523673,6.666236713090161,0.11875,0.64375,2.1058095706091016,4.024417986087634,1.0011577459135332,1.8572342059691467,0.07086216495665315,0.1633280584961257,2.779698345358843
pair_x_q_template_bin,"B4-B8|(0.0228, 0.0474]",998,998,31,2.900369270580123,2.2933063484895087,1.9121980214700298,2.273866178097367,0.03907815631262525,0.6533066132264529,2.5123415739324746,3.4052015734707046,1.674121983909798,2.2351388413043676,0.030749810051014872,0.05198567191058848,2.5930165116542945
topology,hi=B4;lo=B6,480,160,29,2.3266645385715266,1.9722400650842147,1.5415440705646302,5.571423421541967,0.07916666666666666,0.575,1.5933919618387544,3.00276801843958,1.3888929924878963,1.696520984284049,0.04721639743191468,0.11002777777777777,2.5658771910884495
pair_x_peak_phase_bin,"B6-B8|(7.5, inf]",2893,2893,31,0.9081452832829068,0.08882712582594365,1.8273902361233914,2.8134876762086964,0.05288627722087798,0.7072243346007605,0.5759511378250418,1.0673774007996337,1.5579545716970418,1.9688644290628972,0.045250597984843995,0.05921744494008348,2.447067536660462
pair_x_run,B6-B8|62,807,807,1,0.8034278128799384,-0.2443241825756033,1.8123434925658886,2.4296093867127504,0.05204460966542751,0.7174721189591078,0.8034278128799384,0.8034278128799384,1.8123434925658886,1.8123434925658886,0.05204460966542751,0.05204460966542751,2.4131323705081575
pair_x_highest_amp_stave,B4-B6|B4,311,311,31,2.320022778953968,2.244042111292096,1.2187625616168212,6.161446266018536,0.0932475884244373,0.684887459807074,1.6509326361953423,2.790859573829997,0.5900028119138455,1.529258131977355,0.058071157094594594,0.12107104085269921,2.3832407237565914
