stratum_axis,stratum,method,n,runs,energy_fractional_sigma68,energy_fractional_sigma68_ci_low,energy_fractional_sigma68_ci_high,median_weighted_abs_energy_residual,pid_positive_fraction,tail_censored_fraction
run,58,1d_cnn,78,1,0.11925131680496742,0.11925131680496742,0.11925131680496742,0.06522054780161679,0.10256410256410256,0.46153846153846156
run,60,1d_cnn,78,1,0.1047792822063431,0.1047792822063431,0.1047792822063431,0.09197055691763792,0.0641025641025641,0.5
run,62,1d_cnn,78,1,0.11147893352624436,0.11147893352624436,0.11147893352624436,0.07279670884238454,0.038461538461538464,0.3333333333333333
run,64,1d_cnn,78,1,0.08830835357963718,0.08830835357963718,0.08830835357963718,0.06443948790616155,0.07692307692307693,0.34615384615384615
run,65,1d_cnn,78,1,0.10705748335568506,0.10705748335568506,0.10705748335568506,0.07299570572496572,0.02564102564102564,0.41025641025641024
run,58,analytic_clipped_template_sideband_traditional,78,1,0.549399742157826,0.549399742157826,0.549399742157826,0.19972729099303604,0.10256410256410256,0.46153846153846156
run,60,analytic_clipped_template_sideband_traditional,78,1,0.581242836035948,0.581242836035948,0.581242836035948,0.8408705483323913,0.0641025641025641,0.5
run,62,analytic_clipped_template_sideband_traditional,78,1,0.5680600594311958,0.5680600594311958,0.5680600594311958,0.6400848010437051,0.038461538461538464,0.3333333333333333
run,64,analytic_clipped_template_sideband_traditional,78,1,0.5515492963642527,0.5515492963642527,0.5515492963642527,0.16566867784808245,0.07692307692307693,0.34615384615384615
run,65,analytic_clipped_template_sideband_traditional,78,1,0.5616797660000621,0.5616797660000621,0.5616797660000621,0.21695734083338838,0.02564102564102564,0.41025641025641024
run,58,gradient_boosted_trees,78,1,0.07032663653457707,0.07032663653457707,0.07032663653457707,0.04674046200225113,0.10256410256410256,0.46153846153846156
run,60,gradient_boosted_trees,78,1,0.08341324263926836,0.08341324263926836,0.08341324263926836,0.054025700681059594,0.0641025641025641,0.5
run,62,gradient_boosted_trees,78,1,0.07492779929267275,0.07492779929267275,0.07492779929267275,0.050734275340303545,0.038461538461538464,0.3333333333333333
