auc,ap,brier,log_loss,score_high_over_low,high_minus_low_score,auc_ci_low,auc_ci_high,ap_ci_low,ap_ci_high,brier_ci_low,brier_ci_high,log_loss_ci_low,log_loss_ci_high,score_high_over_low_ci_low,score_high_over_low_ci_high,high_minus_low_score_ci_low,high_minus_low_score_ci_high,fold,method,n_scored_pulses
0.5552294417728221,0.9031129899579435,0.2725981988643667,0.7327441431113234,1.084492885860272,0.03830903234626687,0.5206038022595973,0.5994477204886814,0.6473219241891385,0.9156600565623292,0.25189903937286995,0.281848291353822,0.6954141448641387,0.753024873000328,1.0451988758683244,1.1254555218164664,0.020493147796111624,0.05688147107713579,A_to_B,traditional_single_shape,22970
0.6176341888695149,0.9246520980254329,0.27809515004494695,0.7410855736714388,1.1865208111187777,0.07927672363969657,0.5913597420736625,0.6462180107705747,0.6928045424778472,0.9346975529417358,0.24577268708983088,0.2899979231241852,0.6873569410968061,0.7695902605141346,1.128205283798542,1.2346145577196128,0.05449094281695764,0.09971795287949457,A_to_B,ridge,22970
0.6439206953869163,0.9320259747363561,0.29305983879773617,0.8070026926993674,1.361929477074456,0.13967172691378227,0.6224452020088862,0.6595241317323369,0.7367417944840601,0.9398565462425684,0.26073142629779017,0.30461441313873744,0.7415788401915295,0.8355740175012445,1.2874013674032798,1.4163920349713526,0.11091068245414161,0.16068930076570848,A_to_B,gradient_boosted_trees,22970
0.6474101427868045,0.9316342358816101,0.293016274860081,0.7763011454564602,1.2925320374813594,0.11297627842907226,0.6226359371684029,0.6690067061519427,0.7313607057852478,0.9400013398703989,0.2486864992379955,0.3071643043277026,0.691999738614227,0.8101056196842118,1.2242447817095763,1.355805744682259,0.08660364557951017,0.13741267186999223,A_to_B,mlp,22970
0.6444484271979802,0.9291791440646018,0.26397990871292487,0.7093678232368797,1.1821304705458697,0.07935785177488036,0.6269668906247824,0.6621246516636744,0.7238949133514906,0.937574293393565,0.24347393206315998,0.2738607188351289,0.6793757225829747,0.7331271745068602,1.1313819326930974,1.2186178896092845,0.05724570912987512,0.09525614262651012,A_to_B,one_dimensional_cnn,22970
0.6283383495666789,0.9261836590835648,0.2800536335718292,0.7424959327834623,1.1892340296751882,0.07951486933407348,0.6047185637075153,0.6555068546998529,0.698650162868996,0.9360057709698969,0.2488309126320523,0.2919388811357663,0.6899775023419167,0.7701279922876654,1.130903006244856,1.2406673276440996,0.055004564743789786,0.10112679597558849,A_to_B,hybrid_residual_cnn_new,22970
0.589667820623225,0.9780458445884783,0.2504332936289837,0.6940178693785946,0.9990394182080516,-0.0004803644894367243,0.5682647604085866,0.6068561927453949,0.8848341030115452,0.9810163825425725,0.2500281706631024,0.25083242571669023,0.6932057116365153,0.6948173652563343,0.9981879080233897,0.9998626443804051,-0.000906184818880651,-6.868833308212364e-05,B_to_A,traditional_single_shape,20433
0.6661967983197379,0.9823928957890832,0.2617818415871935,0.7150057291726156,1.2107189856555869,0.08963112491574643,0.6336135361385498,0.6967316413092571,0.9117072029490768,0.9850084532554122,0.2481019160397815,0.2725461203416495,0.6844838491869466,0.7408851528203503,1.1750457407317658,1.2384444019942145,0.07445720472070942,0.10142436816555189,B_to_A,ridge,20433
0.6700590954909004,0.9823974308654844,0.27510057813610844,0.7556625674552104,1.343208670761967,0.13359099264071883,0.6372937648710565,0.7008415918831616,0.8979164969537299,0.9853957025434465,0.24814400924103142,0.2951136359417236,0.69186351866678,0.8040879733020643,1.2716422701870733,1.4030790614692998,0.10573439312271261,0.15689502195508132,B_to_A,gradient_boosted_trees,20433
0.6800885805774088,0.9836542780647173,0.26019376702330693,0.7191995840835291,1.2502475051239217,0.10343613204697716,0.6512467907690529,0.7047064305368482,0.9106819323712619,0.9860548371155878,0.24443659613121466,0.27501743534748657,0.6827316650845958,0.7541875430977015,1.2082598118534125,1.280917731729831,0.08608113550734854,0.11611321990664866,B_to_A,mlp,20433
0.667339955425166,0.9828132545319059,0.27873440641147273,0.7501582763149763,1.242320657006863,0.09704377793407803,0.6401140758311187,0.6952393072616219,0.902779345287199,0.9852431627258799,0.2598293501495893,0.29074354533297825,0.7093841226506813,0.7774737401509806,1.204104785395293,1.2742163466565246,0.08173921164559443,0.10981725858425792,B_to_A,one_dimensional_cnn,20433
0.6658334501738307,0.982665886714828,0.23617645669512988,0.6592456841178546,1.1970630614677122,0.08878771509850886,0.6465411434475047,0.6848614813421203,0.8933168611098005,0.9851482874913848,0.22783296423038837,0.2443942312769829,0.6417046418203766,0.6774517271387607,1.1729157987068428,1.2179321565965398,0.07790804911517997,0.09819038680604039,B_to_A,hybrid_residual_cnn_new,20433
