run,current_group,high_current,events_with_selected,downstream_events,multi_stave_events,three_stave_events,downstream_per_selected_event,multi_stave_per_selected_event,three_stave_per_selected_event
44,high_20nA,1,1912,116,90,29,0.060669456066945605,0.04707112970711297,0.015167364016736401
45,high_20nA,1,23013,1147,944,285,0.04984139399469865,0.041020292877938555,0.012384304523530178
46,low_2nA,0,677,10,8,1,0.014771048744460856,0.011816838995568686,0.0014771048744460858
47,low_2nA,0,5161,125,83,23,0.02422011238132145,0.016082154621197442,0.004456500678163147
48,high_20nA,1,13185,708,584,179,0.05369738339021615,0.04429275692074327,0.013576033371255214
49,high_20nA,1,13937,770,623,202,0.055248618784530384,0.04470115519839277,0.01449379349931836
50,high_20nA,1,34257,854,691,209,0.024929211548004787,0.020171059929357502,0.006100942872989462
51,high_20nA,1,14295,400,308,103,0.027981811822315496,0.021545995103182933,0.00720531654424624
52,high_20nA,1,6933,186,147,51,0.026828212894850715,0.02120294244915621,0.0073561228905235825
53,high_20nA,1,31386,727,567,188,0.02316319378066654,0.01806537946855286,0.005989931816733575
54,high_20nA,1,29665,716,547,178,0.024136187426259902,0.01843923815944716,0.006000337097589752
55,high_20nA,1,16841,479,379,124,0.028442491538507215,0.022504601864497358,0.007362983195772222
56,high_20nA,1,38932,1050,854,271,0.026970101715812184,0.021935682728860578,0.006960854823795336
57,high_20nA,1,12939,776,627,207,0.05997372285338898,0.048458149779735685,0.015998145142592162
