method,run,res68_frac,mae_mev,rmse_mev,bias_frac,median_abs_frac
response_card_winner,1000,0.2034736262606982,6.436695226174526,8.435114498536471,0.009773684948576456,0.14611236436476358
response_card_winner,1001,0.17839326839823413,5.545178990973693,7.225425548355381,0.13939999031531922,0.11656989148047728
response_card_winner,1002,0.2237606292532412,6.981141654071734,8.799965883184896,0.16565853649541454,0.15717554178804571
response_card_winner,1003,0.21764888460306517,6.7170221958075915,8.320423651764218,0.12365295660935526,0.15900794491371412
response_card_winner,1004,0.19777503607163,6.122364649464669,7.621115730775584,0.3785270697581193,0.141426052842551
response_card_winner,1005,0.20799532321257175,6.398159193338346,8.404774462733144,0.040140741239407834,0.14162585544716141
ridge,1000,0.028771737078715644,1.0626938352852995,1.86045779615607,-0.023557776767835225,0.01971809207662686
ridge,1001,0.029169029892505506,0.9372223213491186,1.3806437056846905,0.0018157093416237783,0.021550939970435445
ridge,1002,0.026128485099143804,0.9942504100749273,1.5720908348480804,0.11764281563543705,0.01883694405350108
ridge,1003,0.030944451689834,1.1707199434535864,2.202121602278522,0.039707395009033204,0.01891421612594165
ridge,1004,0.033236461622174904,1.171901699169685,1.9767675087346135,0.024323101463237025,0.02060900814806183
ridge,1005,0.02979692946495683,1.0210355847290689,1.5511744826540168,-0.007240930121821652,0.019150850850534213
gradient_boosted_trees,1000,0.023151538332874824,0.9229359914263923,2.0280208998954694,-0.0007662150327496008,0.015711234225357723
gradient_boosted_trees,1001,0.022441570924908623,0.7862847853377938,1.314062496832324,0.01885366868984822,0.014558453157575375
gradient_boosted_trees,1002,0.02498631055311231,0.8698305420092771,1.315176318918977,0.028241555271162566,0.01608926067084333
gradient_boosted_trees,1003,0.024995234156406344,1.0266489659651963,2.155312614706383,0.03270633035704119,0.015638774490184124
gradient_boosted_trees,1004,0.025539047292480382,0.8888132526776957,1.4720087682997829,0.08493032786751854,0.01623750883189438
gradient_boosted_trees,1005,0.025471652911898558,0.9168091873084855,1.4882571254330095,-0.0019795149016251907,0.015571778142005666
mlp,1000,0.06719713142010142,2.0036621626677746,2.559788421162043,-0.011376068975215791,0.04730881519469117
mlp,1001,0.06639705111491973,1.974389798519009,2.486243984494114,0.03447259669155128,0.04697139521681122
mlp,1002,0.04983464876258972,1.4586855753833048,1.9988437055099502,0.01125183140796472,0.03007872885054259
mlp,1003,0.059832254852954875,1.7955426685412625,2.4358309806558114,0.04969485012330183,0.03605633178679185
mlp,1004,0.049793193773433886,1.5070302934681856,2.0301819086000195,0.13498022224311843,0.03021291482703988
mlp,1005,0.058235907264268555,1.8179210263892902,2.3682263513010025,0.0023276530257680594,0.03820479008450864
cnn_1d,1000,0.055822941995775435,1.7263179823109998,2.418531268293368,-0.015118324989011266,0.0349773171617807
cnn_1d,1001,0.06010309068915769,1.8668044363792209,2.5450553538726233,0.002365782403280661,0.04008557408823997
cnn_1d,1002,0.061480761700747344,1.9223748748434109,2.4666584393833273,0.02271210703741023,0.03940056589752275
cnn_1d,1003,0.05513224817066746,1.8018713524575949,2.562537738447334,0.02206238994221467,0.03572141154818369
cnn_1d,1004,0.05642744084074887,1.8449686130543936,2.4595137618606357,0.15757228041167592,0.03723580568207152
cnn_1d,1005,0.060866227457194,1.9029673243648417,2.4725162046467046,-0.010243786208674364,0.04317993601059369
physics_residual_gated_cnn,1000,0.03492460620786875,1.3654638217561708,2.5927521918123646,0.00146772908813705,0.023500897303545848
physics_residual_gated_cnn,1001,0.037300685590485994,1.2957062600901004,1.8589091733624956,0.011109745522514088,0.026032300198646868
physics_residual_gated_cnn,1002,0.04139726703408493,1.3612680152772314,1.9008963940025645,0.024224048427753622,0.02675764135844181
physics_residual_gated_cnn,1003,0.04474723671215723,1.5283274945260283,2.2292971724183834,0.02665306213922268,0.02922084404310718
physics_residual_gated_cnn,1004,0.03883364695822265,1.3304116046588261,2.1563384625248223,0.056832710494129524,0.02465547554713427
physics_residual_gated_cnn,1005,0.049743375786367214,1.537977264710955,2.221313296241942,0.013929648131266835,0.029031568421267962
