run,group,events,selected_pulses,selected_B2,selected_B4,selected_B6,selected_B8,duplicate_selected_total,saturated_samples_or_channels,mean_selected_peak_adc
31,sample_i_calib,39990,27871,26948,592,237,94,3556,159960,6127.703204047218
32,sample_i_calib,41921,28240,27316,605,224,95,3927,167684,6032.1473087818695
33,sample_i_calib,57173,48737,47724,559,318,136,1619,228692,6208.03939512075
34,sample_i_calib,39765,34118,33373,412,244,89,949,159060,6609.9954276335075
35,sample_i_calib,27786,11667,11029,403,163,72,3127,111144,4239.397617210937
36,sample_i_calib,21764,10391,9847,340,143,61,2622,87056,4708.209796939659
37,sample_i_calib,50513,24537,22956,997,423,161,7420,202052,4698.971186371602
39,sample_i_calib,30321,14218,13174,663,273,108,4615,121284,4473.325643550429
40,sample_i_calib,32613,14708,13575,707,310,116,4957,130452,4299.483274408485
41,sample_i_calib,33997,16146,14963,758,298,127,5047,135988,4514.770221726743
42,sample_i_calib,33972,18112,16977,711,307,117,4891,135888,5084.402385159011
44,sample_i_analysis,4294,2038,1884,93,44,17,637,17176,4503.904808635918
45,sample_i_analysis,48181,24333,22786,969,401,177,7218,192724,4839.805038425184
46,sample_i_analysis,1441,687,675,7,3,2,84,5764,4744.959970887919
47,sample_i_analysis,10970,5276,5116,85,50,25,658,43880,4932.401819560273
48,sample_i_analysis,31713,14000,13044,599,245,112,4540,126852,4324.578
49,sample_i_analysis,32354,14815,13779,640,281,115,4715,129416,4365.593790077624
50,sample_i_analysis,44804,35217,34088,659,330,140,2346,179216,6764.947383365988
51,sample_i_analysis,20569,14740,14200,303,177,60,1575,82276,6448.902578018996
52,sample_i_analysis,10005,7152,6893,148,76,35,746,40020,6487.645973154363
53,sample_i_analysis,39612,32200,31225,559,296,120,2084,158448,6426.939627329192
54,sample_i_analysis,37413,30440,29493,536,298,113,1812,149652,6435.2078843626805
55,sample_i_analysis,24416,17387,16735,372,199,81,1954,97664,6376.877437165698
56,sample_i_analysis,51823,40148,38730,825,421,172,2913,207292,6677.062070339743
57,sample_i_analysis,31284,13833,12774,656,273,130,4421,125136,4292.017060652064
64,sample_ii_calib,35943,14630,11907,1689,763,271,2745,143772,3469.922898154477
58,sample_ii_analysis,34141,16781,15791,591,285,114,931,136564,4252.627137834455
59,sample_ii_analysis,42303,21377,13565,4527,2366,919,5632,169212,3284.175702858212
60,sample_ii_analysis,36074,17029,9873,4040,2189,927,4731,144296,3351.460919607728
61,sample_ii_analysis,36535,18965,11015,4401,2490,1059,4907,146140,3281.569839177432
62,sample_ii_analysis,37584,19089,11635,4183,2342,929,4901,150336,3252.5722667504847
63,sample_ii_analysis,37030,18817,14566,2645,1153,453,3730,148120,3566.027740872615
65,sample_ii_analysis,38424,13038,11768,842,323,105,2139,153696,3296.061052308636
