event_index,pseudo_run,truth_total_edep_mev,dominant_pdg,dominant_fraction,edep_B2_mev,edep_B4_mev,edep_B6_mev,edep_B8_mev,time_B2_ns,time_B4_ns,time_B6_ns,time_B8_ns,track_B2_mm,track_B4_mm,track_B6_mm,track_B8_mm
9,1003,38.286531115736274,2212,1.3356488744967319,38.286531115736274,0.0,0.0,0.0,9.529298867273393,,,,109.70645449399646,0.0,0.0,0.0
66,1000,56.78220736986932,2212,1.5931704968664473,18.504916001764947,38.27729136810437,0.0,0.0,8.649093506253209,9.008956305556454,,,110.15861550214466,113.76692933830911,0.0,0.0
85,1001,64.49371818873409,2212,1.363684940146672,17.45158994450747,47.042128244226625,0.0,0.0,8.731428476696593,9.098750214557048,,,109.69442112695738,113.31448217856453,0.0,0.0
88,1004,38.71781132641259,2212,1.0,38.71781132641259,0.0,0.0,0.0,10.066226068412634,,,,109.62232359442373,0.0,0.0,0.0
171,1003,66.53032226168945,2212,1.3429970646478617,18.655120010537164,47.87520225115228,0.0,0.0,8.789027788888976,9.161994868766481,,,112.73871297150922,116.43183066893828,0.0,0.0
188,1002,25.11425878078918,2212,2.6069578027645357,25.11425878078918,0.0,0.0,0.0,8.960129362931994,,,,109.52689268080186,0.0,0.0,0.0
200,1002,59.88774439375006,2212,1.4921212098617507,17.70420171031258,42.18354268343748,0.0,0.0,8.668592738470911,9.036701379400853,,,109.90245692525096,113.56990636040378,0.0,0.0
202,1004,64.18193666771438,2212,1.3707540918707604,18.41533920256715,45.76659746514723,0.0,0.0,8.82341862582653,9.194047932645374,,,111.1317455973591,114.75769871978886,0.0,0.0
203,1005,38.88887108212659,2212,1.3066974883119753,38.88887108212659,0.0,0.0,0.0,10.7377545412511,,,,110.322417904888,0.0,0.0,0.0
211,1001,54.02272198366235,2212,1.6722358554568408,17.198568567896988,36.824153415765366,0.0,0.0,8.593899473012483,8.958014753025196,,,110.92491455748844,114.59255668197628,0.0,0.0
213,1003,19.63827401064143,2212,1.9987368612272933,16.46904792045203,3.1692260901894027,0.0,0.0,8.567679569694727,8.91515231971806,,,111.99607158428053,115.643595416793,0.0,0.0
