stratum,stave,mode,direction,log_amp_center,raw_bin_target_median_ns,fitted_target_ns,n_train_pulses
all3_downstream,B4,monotonic,decreasing,7.426549072397305,-3.9242526527237587,-3.9242526527237587,315
all3_downstream,B4,monotonic,decreasing,7.690286020676768,-3.9242526527237658,-3.9242526527237658,315
all3_downstream,B4,monotonic,decreasing,7.849518806829323,-3.9242526527237658,-3.9242526527237658,315
all3_downstream,B4,monotonic,decreasing,7.980878804883081,-3.9242526527237658,-3.9242526527237658,315
all3_downstream,B6,monotonic,decreasing,7.432483807917119,1.463576431961414,1.463576431961414,315
all3_downstream,B6,monotonic,decreasing,7.71333788887187,1.463576431961414,1.463576431961414,315
all3_downstream,B6,monotonic,decreasing,7.883069351305753,1.463576431961414,1.463576431961414,315
all3_downstream,B6,monotonic,decreasing,8.02567987868262,1.463576431961414,1.463576431961414,315
all3_downstream,B8,monotonic,decreasing,7.697348357810335,2.460676220762352,2.460676220762352,315
all3_downstream,B8,monotonic,decreasing,8.006700845440367,2.460676220762352,2.460676220762352,315
all3_downstream,B8,monotonic,decreasing,8.169336235517207,2.460676220762352,2.460676220762352,316
all3_downstream,B8,monotonic,decreasing,8.422936910627985,2.460676220762352,2.460676220762352,314
all3_b2_selected,B4,monotonic,decreasing,7.349873704738337,-6.554066333388754,-6.5540663333887474,201
all3_b2_selected,B4,monotonic,decreasing,7.590725781332268,-6.554066333388747,-6.5540663333887474,202
all3_b2_selected,B4,monotonic,decreasing,7.714342739537642,-6.554066333388747,-6.5540663333887474,200
all3_b2_selected,B4,monotonic,decreasing,7.8286354631901,-6.554066333388747,-6.5540663333887474,201
all3_b2_selected,B4,monotonic,decreasing,7.905810312658931,-6.554066333388747,-6.5540663333887474,201
all3_b2_selected,B4,monotonic,decreasing,8.017637159908478,-6.554066333388747,-6.5540663333887474,201
all3_b2_selected,B6,monotonic,decreasing,7.366761154018331,2.8949188066567046,2.894918806656704,201
all3_b2_selected,B6,monotonic,decreasing,7.610357618312838,2.8949188066567046,2.894918806656704,201
all3_b2_selected,B6,monotonic,decreasing,7.749968807459976,2.8949188066567046,2.894918806656704,203
all3_b2_selected,B6,monotonic,decreasing,7.864611972602954,2.8949188066567046,2.894918806656704,200
all3_b2_selected,B6,monotonic,decreasing,7.955249696471636,2.8949188066567046,2.894918806656704,201
all3_b2_selected,B6,monotonic,decreasing,8.058089908459856,2.8949188066567046,2.894918806656704,200
all3_b2_selected,B8,monotonic,decreasing,7.579934153105886,3.659147526732042,3.659147526732042,201
all3_b2_selected,B8,monotonic,decreasing,7.899524472032198,3.659147526732042,3.659147526732042,201
all3_b2_selected,B8,monotonic,decreasing,8.031710375322042,3.659147526732042,3.659147526732042,201
all3_b2_selected,B8,monotonic,decreasing,8.139002725442953,3.659147526732042,3.659147526732042,201
all3_b2_selected,B8,monotonic,decreasing,8.271676211125135,3.659147526732042,3.659147526732042,201
all3_b2_selected,B8,monotonic,decreasing,8.491362431381717,3.659147526732042,3.659147526732042,201
all3_b2_not_selected,B4,monotonic,decreasing,7.223654927608619,12.366341316248366,12.366341316248372,14
