stratum,check,value,unit
all3_downstream,train_heldout_run_overlap,0.0,runs
all3_downstream,train_heldout_event_id_overlap,0.0,events
all3_downstream,features_include_run_event_or_other_stave_time,0.0,bool
all3_downstream,fit_targets_use_heldout_sample_ii,0.0,bool
all3_downstream,analytic_amp_only_shuffled,2.0569121256448932,sigma68_ns
all3_downstream,monotonic_binned_timewalk_shuffled,2.0459430282283897,sigma68_ns
all3_downstream,waveform_ridge_shuffled,2.0239969239055178,sigma68_ns
all3_b2_selected,train_heldout_run_overlap,0.0,runs
all3_b2_selected,train_heldout_event_id_overlap,0.0,events
all3_b2_selected,features_include_run_event_or_other_stave_time,0.0,bool
all3_b2_selected,fit_targets_use_heldout_sample_ii,0.0,bool
all3_b2_selected,analytic_amp_only_shuffled,3.4771067826219015,sigma68_ns
all3_b2_selected,monotonic_binned_timewalk_shuffled,3.399661713348479,sigma68_ns
all3_b2_selected,waveform_ridge_shuffled,3.2693955928290097,sigma68_ns
all3_b2_not_selected,train_heldout_run_overlap,0.0,runs
all3_b2_not_selected,train_heldout_event_id_overlap,0.0,events
all3_b2_not_selected,features_include_run_event_or_other_stave_time,0.0,bool
all3_b2_not_selected,fit_targets_use_heldout_sample_ii,0.0,bool
all3_b2_not_selected,analytic_amp_only_shuffled,6.627967605016538,sigma68_ns
all3_b2_not_selected,monotonic_binned_timewalk_shuffled,5.863499184617368,sigma68_ns
all3_b2_not_selected,waveform_ridge_shuffled,6.294590073773805,sigma68_ns
exactly2_downstream,train_heldout_run_overlap,0.0,runs
exactly2_downstream,train_heldout_event_id_overlap,0.0,events
exactly2_downstream,features_include_run_event_or_other_stave_time,0.0,bool
exactly2_downstream,fit_targets_use_heldout_sample_ii,0.0,bool
exactly2_downstream,analytic_amp_only_shuffled,10.235410654680535,sigma68_ns
exactly2_downstream,monotonic_binned_timewalk_shuffled,10.135956362161311,sigma68_ns
exactly2_downstream,waveform_ridge_shuffled,10.483838928827138,sigma68_ns
ge2_excluding_b2_terminal_like,train_heldout_run_overlap,0.0,runs
ge2_excluding_b2_terminal_like,train_heldout_event_id_overlap,0.0,events
ge2_excluding_b2_terminal_like,features_include_run_event_or_other_stave_time,0.0,bool
ge2_excluding_b2_terminal_like,fit_targets_use_heldout_sample_ii,0.0,bool
ge2_excluding_b2_terminal_like,analytic_amp_only_shuffled,2.672456311090774,sigma68_ns
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk_shuffled,2.637223280099306,sigma68_ns
ge2_excluding_b2_terminal_like,waveform_ridge_shuffled,2.7958112993756083,sigma68_ns
b2_penetrating_ge2,train_heldout_run_overlap,0.0,runs
b2_penetrating_ge2,train_heldout_event_id_overlap,0.0,events
b2_penetrating_ge2,features_include_run_event_or_other_stave_time,0.0,bool
b2_penetrating_ge2,fit_targets_use_heldout_sample_ii,0.0,bool
b2_penetrating_ge2,analytic_amp_only_shuffled,3.25085557395996,sigma68_ns
b2_penetrating_ge2,monotonic_binned_timewalk_shuffled,3.3259437020457483,sigma68_ns
b2_penetrating_ge2,waveform_ridge_shuffled,3.3068659259514925,sigma68_ns
