stratum,method,alpha,fold,sigma68_ns,n_pair_residuals,n_bins
all3_downstream,analytic_amp_only,0.0,0,1.29711038383236,1266,
all3_downstream,analytic_amp_only,0.0,1,1.306310908552891,1257,
all3_downstream,analytic_amp_only,0.0,2,1.3690887814594326,1257,
all3_downstream,analytic_amp_only,0.0,-1,1.3241700246148946,0,
all3_downstream,analytic_amp_only,0.01,0,1.2998377727510486,1266,
all3_downstream,analytic_amp_only,0.01,1,1.307625357534031,1257,
all3_downstream,analytic_amp_only,0.01,2,1.3723359094933791,1257,
all3_downstream,analytic_amp_only,0.01,-1,1.3265996799261528,0,
all3_downstream,analytic_amp_only,0.1,0,1.310365419037869,1266,
all3_downstream,analytic_amp_only,0.1,1,1.321725853235956,1257,
all3_downstream,analytic_amp_only,0.1,2,1.3888017608576535,1257,
all3_downstream,analytic_amp_only,0.1,-1,1.3402976777104927,0,
all3_downstream,analytic_amp_only,1.0,0,1.321594453855367,1266,
all3_downstream,analytic_amp_only,1.0,1,1.3532341545021562,1257,
all3_downstream,analytic_amp_only,1.0,2,1.4257295219109236,1257,
all3_downstream,analytic_amp_only,1.0,-1,1.3668527100894823,0,
all3_downstream,analytic_amp_only,10.0,0,1.3211399135983106,1266,
all3_downstream,analytic_amp_only,10.0,1,1.3562983631749723,1257,
all3_downstream,analytic_amp_only,10.0,2,1.4257948355970929,1257,
all3_downstream,analytic_amp_only,10.0,-1,1.3677443707901251,0,
all3_downstream,analytic_amp_only,100.0,0,1.263973893939918,1266,
all3_downstream,analytic_amp_only,100.0,1,1.3058269573178642,1257,
all3_downstream,analytic_amp_only,100.0,2,1.3748433615035112,1257,
all3_downstream,analytic_amp_only,100.0,-1,1.3148814042537644,0,
all3_downstream,monotonic_binned_timewalk,,0,0.8979715141142002,1266,4.0
all3_downstream,monotonic_binned_timewalk,,1,0.8979715141142002,1257,4.0
all3_downstream,monotonic_binned_timewalk,,2,0.8979715141142002,1257,4.0
all3_downstream,monotonic_binned_timewalk,,-1,0.8979715141142002,0,4.0
all3_downstream,monotonic_binned_timewalk,,0,0.8979715141142002,1266,6.0
all3_downstream,monotonic_binned_timewalk,,1,0.8979715141142002,1257,6.0
all3_downstream,monotonic_binned_timewalk,,2,0.8979715141142002,1257,6.0
all3_downstream,monotonic_binned_timewalk,,-1,0.8979715141142002,0,6.0
all3_downstream,monotonic_binned_timewalk,,0,0.8979715141142002,1266,8.0
all3_downstream,monotonic_binned_timewalk,,1,0.8979715141142002,1257,8.0
all3_downstream,monotonic_binned_timewalk,,2,0.8979715141142002,1257,8.0
all3_downstream,monotonic_binned_timewalk,,-1,0.8979715141142002,0,8.0
all3_downstream,monotonic_binned_timewalk,,0,0.8979715141142002,1266,10.0
all3_downstream,monotonic_binned_timewalk,,1,0.8979715141142002,1257,10.0
all3_downstream,monotonic_binned_timewalk,,2,0.8979715141142002,1257,10.0
all3_downstream,monotonic_binned_timewalk,,-1,0.8979715141142002,0,10.0
all3_downstream,monotonic_binned_timewalk,,0,0.8979715141142002,1266,12.0
all3_downstream,monotonic_binned_timewalk,,1,0.8979715141142002,1257,12.0
all3_downstream,monotonic_binned_timewalk,,2,0.8979715141142002,1257,12.0
all3_downstream,monotonic_binned_timewalk,,-1,0.8979715141142002,0,12.0
all3_downstream,waveform_ridge,0.01,0,1.4036420387470558,1266,
all3_downstream,waveform_ridge,0.01,1,1.4265832495870006,1257,
all3_downstream,waveform_ridge,0.01,2,1.4577198390708013,1257,
all3_downstream,waveform_ridge,0.01,-1,1.429315042468286,0,
all3_downstream,waveform_ridge,0.1,0,1.4035785271630605,1266,
all3_downstream,waveform_ridge,0.1,1,1.426460922945587,1257,
all3_downstream,waveform_ridge,0.1,2,1.4538206397010833,1257,
all3_downstream,waveform_ridge,0.1,-1,1.4279533632699104,0,
all3_downstream,waveform_ridge,1.0,0,1.3907643024753995,1266,
all3_downstream,waveform_ridge,1.0,1,1.4337729575538065,1257,
all3_downstream,waveform_ridge,1.0,2,1.4485801751247558,1257,
all3_downstream,waveform_ridge,1.0,-1,1.4243724783846539,0,
all3_downstream,waveform_ridge,10.0,0,1.3488248718541385,1266,
all3_downstream,waveform_ridge,10.0,1,1.3950850641307766,1257,
all3_downstream,waveform_ridge,10.0,2,1.4317133880681128,1257,
all3_downstream,waveform_ridge,10.0,-1,1.3918744413510094,0,
all3_downstream,waveform_ridge,100.0,0,1.2650730351269999,1266,
all3_downstream,waveform_ridge,100.0,1,1.3098842845777032,1257,
all3_downstream,waveform_ridge,100.0,2,1.3738809719246872,1257,
all3_downstream,waveform_ridge,100.0,-1,1.31627943054313,0,
all3_b2_selected,analytic_amp_only,0.0,0,1.8475835690747453,1206,
all3_b2_selected,analytic_amp_only,0.0,1,1.996855539332035,1209,
all3_b2_selected,analytic_amp_only,0.0,2,1.9275685959625726,1203,
all3_b2_selected,analytic_amp_only,0.0,-1,1.9240025681231174,0,
all3_b2_selected,analytic_amp_only,0.01,0,1.8490482473855536,1206,
all3_b2_selected,analytic_amp_only,0.01,1,1.997429013994592,1209,
all3_b2_selected,analytic_amp_only,0.01,2,1.9330659141911863,1203,
all3_b2_selected,analytic_amp_only,0.01,-1,1.9265143918571106,0,
all3_b2_selected,analytic_amp_only,0.1,0,1.8618799515872353,1206,
all3_b2_selected,analytic_amp_only,0.1,1,2.0055157855501418,1209,
all3_b2_selected,analytic_amp_only,0.1,2,1.9404115961969046,1203,
all3_b2_selected,analytic_amp_only,0.1,-1,1.935935777778094,0,
all3_b2_selected,analytic_amp_only,1.0,0,1.871461865150916,1206,
all3_b2_selected,analytic_amp_only,1.0,1,2.0209035429235134,1209,
all3_b2_selected,analytic_amp_only,1.0,2,1.9619784550730055,1203,
all3_b2_selected,analytic_amp_only,1.0,-1,1.951447954382478,0,
all3_b2_selected,analytic_amp_only,10.0,0,1.8649006073754215,1206,
all3_b2_selected,analytic_amp_only,10.0,1,2.0170284444594557,1209,
all3_b2_selected,analytic_amp_only,10.0,2,1.9656245400424763,1203,
all3_b2_selected,analytic_amp_only,10.0,-1,1.9491845306257847,0,
all3_b2_selected,analytic_amp_only,100.0,0,1.7592490091349717,1206,
all3_b2_selected,analytic_amp_only,100.0,1,1.9228029128637723,1209,
all3_b2_selected,analytic_amp_only,100.0,2,1.8877570150358454,1203,
all3_b2_selected,analytic_amp_only,100.0,-1,1.85660297901153,0,
all3_b2_selected,monotonic_binned_timewalk,,0,1.5748308566742395,1206,4.0
all3_b2_selected,monotonic_binned_timewalk,,1,1.574830856674243,1209,4.0
all3_b2_selected,monotonic_binned_timewalk,,2,1.5748308566742395,1203,4.0
all3_b2_selected,monotonic_binned_timewalk,,-1,1.5748308566742406,0,4.0
all3_b2_selected,monotonic_binned_timewalk,,0,1.5748308566742395,1206,6.0
all3_b2_selected,monotonic_binned_timewalk,,1,1.5748308566742395,1209,6.0
all3_b2_selected,monotonic_binned_timewalk,,2,1.5748308566742395,1203,6.0
all3_b2_selected,monotonic_binned_timewalk,,-1,1.5748308566742395,0,6.0
all3_b2_selected,monotonic_binned_timewalk,,0,1.5748308566742395,1206,8.0
all3_b2_selected,monotonic_binned_timewalk,,1,1.5748308566742395,1209,8.0
all3_b2_selected,monotonic_binned_timewalk,,2,1.5748308566742395,1203,8.0
all3_b2_selected,monotonic_binned_timewalk,,-1,1.5748308566742395,0,8.0
all3_b2_selected,monotonic_binned_timewalk,,0,1.5748308566742395,1206,10.0
all3_b2_selected,monotonic_binned_timewalk,,1,1.5748308566742395,1209,10.0
all3_b2_selected,monotonic_binned_timewalk,,2,1.5748308566742395,1203,10.0
all3_b2_selected,monotonic_binned_timewalk,,-1,1.5748308566742395,0,10.0
all3_b2_selected,monotonic_binned_timewalk,,0,1.5748308566742395,1206,12.0
all3_b2_selected,monotonic_binned_timewalk,,1,1.5748308566742395,1209,12.0
all3_b2_selected,monotonic_binned_timewalk,,2,1.5748308566742395,1203,12.0
all3_b2_selected,monotonic_binned_timewalk,,-1,1.5748308566742395,0,12.0
all3_b2_selected,waveform_ridge,0.01,0,1.9007175638908123,1206,
all3_b2_selected,waveform_ridge,0.01,1,2.0530082735271606,1209,
all3_b2_selected,waveform_ridge,0.01,2,2.0294739181025765,1203,
all3_b2_selected,waveform_ridge,0.01,-1,1.9943999185068497,0,
all3_b2_selected,waveform_ridge,0.1,0,1.900849272763321,1206,
all3_b2_selected,waveform_ridge,0.1,1,2.0513909210661785,1209,
all3_b2_selected,waveform_ridge,0.1,2,2.028069336622787,1203,
all3_b2_selected,waveform_ridge,0.1,-1,1.9934365101507623,0,
all3_b2_selected,waveform_ridge,1.0,0,1.8972371862751445,1206,
all3_b2_selected,waveform_ridge,1.0,1,2.031882176211073,1209,
all3_b2_selected,waveform_ridge,1.0,2,2.018827451632864,1203,
all3_b2_selected,waveform_ridge,1.0,-1,1.9826489380396939,0,
all3_b2_selected,waveform_ridge,10.0,0,1.8639353918622048,1206,
all3_b2_selected,waveform_ridge,10.0,1,2.003736717948737,1209,
all3_b2_selected,waveform_ridge,10.0,2,1.9965118249528808,1203,
all3_b2_selected,waveform_ridge,10.0,-1,1.9547279782546074,0,
all3_b2_selected,waveform_ridge,100.0,0,1.7625724716999442,1206,
all3_b2_selected,waveform_ridge,100.0,1,1.8929699980325323,1209,
all3_b2_selected,waveform_ridge,100.0,2,1.878375837436212,1203,
all3_b2_selected,waveform_ridge,100.0,-1,1.8446394357228961,0,
all3_b2_not_selected,analytic_amp_only,0.0,0,4.393655526274996,54,
all3_b2_not_selected,analytic_amp_only,0.0,1,4.882751909870569,54,
all3_b2_not_selected,analytic_amp_only,0.0,2,5.98306823936768,54,
all3_b2_not_selected,analytic_amp_only,0.0,-1,5.086491891837748,0,
all3_b2_not_selected,analytic_amp_only,0.01,0,4.322054497005312,54,
all3_b2_not_selected,analytic_amp_only,0.01,1,4.2103542969153365,54,
all3_b2_not_selected,analytic_amp_only,0.01,2,6.021456631518248,54,
all3_b2_not_selected,analytic_amp_only,0.01,-1,4.851288475146299,0,
all3_b2_not_selected,analytic_amp_only,0.1,0,4.294518325396682,54,
all3_b2_not_selected,analytic_amp_only,0.1,1,3.9971700668673704,54,
all3_b2_not_selected,analytic_amp_only,0.1,2,6.029236603519609,54,
all3_b2_not_selected,analytic_amp_only,0.1,-1,4.773641665261221,0,
all3_b2_not_selected,analytic_amp_only,1.0,0,4.278830802291925,54,
all3_b2_not_selected,analytic_amp_only,1.0,1,3.834037656086186,54,
all3_b2_not_selected,analytic_amp_only,1.0,2,6.073544169239122,54,
all3_b2_not_selected,analytic_amp_only,1.0,-1,4.7288042092057445,0,
all3_b2_not_selected,analytic_amp_only,10.0,0,3.820042991275978,54,
all3_b2_not_selected,analytic_amp_only,10.0,1,3.253256810175771,54,
all3_b2_not_selected,analytic_amp_only,10.0,2,5.768982888296533,54,
all3_b2_not_selected,analytic_amp_only,10.0,-1,4.28076089658276,0,
all3_b2_not_selected,analytic_amp_only,100.0,0,1.2600174034201463,54,
all3_b2_not_selected,analytic_amp_only,100.0,1,1.3223587271802824,54,
all3_b2_not_selected,analytic_amp_only,100.0,2,5.009161288940355,54,
all3_b2_not_selected,analytic_amp_only,100.0,-1,2.530512473180261,0,
all3_b2_not_selected,monotonic_binned_timewalk,,0,2.679683148602112,54,4.0
all3_b2_not_selected,monotonic_binned_timewalk,,1,2.9097113278430844,54,4.0
all3_b2_not_selected,monotonic_binned_timewalk,,2,6.282187271830004,54,4.0
all3_b2_not_selected,monotonic_binned_timewalk,,-1,3.9571939160917338,0,4.0
all3_b2_not_selected,monotonic_binned_timewalk,,0,2.888953031419591,54,6.0
all3_b2_not_selected,monotonic_binned_timewalk,,1,3.861660536608189,54,6.0
all3_b2_not_selected,monotonic_binned_timewalk,,2,6.237711327843082,54,6.0
all3_b2_not_selected,monotonic_binned_timewalk,,-1,4.3294416319569535,0,6.0
all3_b2_not_selected,monotonic_binned_timewalk,,0,3.2647605525350443,54,8.0
all3_b2_not_selected,monotonic_binned_timewalk,,1,4.223098331763234,54,8.0
all3_b2_not_selected,monotonic_binned_timewalk,,2,6.087158781801513,54,8.0
all3_b2_not_selected,monotonic_binned_timewalk,,-1,4.525005888699931,0,8.0
all3_b2_not_selected,monotonic_binned_timewalk,,0,4.085824319679945,54,10.0
all3_b2_not_selected,monotonic_binned_timewalk,,1,3.5730375977827236,54,10.0
all3_b2_not_selected,monotonic_binned_timewalk,,2,5.315714285714284,54,10.0
all3_b2_not_selected,monotonic_binned_timewalk,,-1,4.3248587343923175,0,10.0
all3_b2_not_selected,monotonic_binned_timewalk,,0,3.5494001408950884,54,12.0
all3_b2_not_selected,monotonic_binned_timewalk,,1,3.5641918075617527,54,12.0
all3_b2_not_selected,monotonic_binned_timewalk,,2,6.486764773650431,54,12.0
all3_b2_not_selected,monotonic_binned_timewalk,,-1,4.533452240702424,0,12.0
all3_b2_not_selected,waveform_ridge,0.01,0,5.611840187157227,54,
all3_b2_not_selected,waveform_ridge,0.01,1,6.473884323458976,54,
all3_b2_not_selected,waveform_ridge,0.01,2,6.706987108650951,54,
all3_b2_not_selected,waveform_ridge,0.01,-1,6.264237206422384,0,
all3_b2_not_selected,waveform_ridge,0.1,0,5.445192819614007,54,
all3_b2_not_selected,waveform_ridge,0.1,1,5.794637789538996,54,
all3_b2_not_selected,waveform_ridge,0.1,2,6.022512257970675,54,
all3_b2_not_selected,waveform_ridge,0.1,-1,5.754114289041226,0,
all3_b2_not_selected,waveform_ridge,1.0,0,5.120739361738938,54,
all3_b2_not_selected,waveform_ridge,1.0,1,4.446381749464182,54,
all3_b2_not_selected,waveform_ridge,1.0,2,4.696876021720963,54,
all3_b2_not_selected,waveform_ridge,1.0,-1,4.754665710974694,0,
all3_b2_not_selected,waveform_ridge,10.0,0,3.751940882237441,54,
