stave,n_train_pulses,template_cfd20_sample,template_peak_sample,template_area
B2,480,2.6932281062187657,5,9.091469964879103
B4,480,3.060846838156632,6,11.067268641237435
B6,471,3.750112854255662,6,9.691601069560472
B8,387,4.213529070846677,8,9.325176544413514
