stratum_type,stratum_value,ml_method,traditional_method,metric,support_count_pairs,delta_ml_minus_traditional,ci_low,ci_high,bootstrap_unit
amplitude_stratum,"amp[1000,1500)",hgb_full_unconstrained,signed_shared_shrinkage,sigma68_ns,256,0.16426143312186742,-0.04786371519208197,0.3303775653743256,heldout_run
amplitude_stratum,"amp[1000,1500)",hgb_full_unconstrained,signed_shared_shrinkage,full_rms_ns,256,-0.1705467682916817,-0.2511488209682369,-0.08016440872408419,heldout_run
amplitude_stratum,"amp[1000,1500)",hgb_full_unconstrained,signed_shared_shrinkage,tail_frac_abs_gt5ns,256,-0.007117527862208713,-0.017700424150390113,0.0,heldout_run
amplitude_stratum,"amp[1000,1500)",hgb_full_unconstrained,signed_shared_shrinkage,bias_vs_log_amp_slope_ns,256,0.21456722511853737,-0.2629804635412103,0.7958041777014839,heldout_run
amplitude_stratum,"amp[1000,1500)",hgb_full_unconstrained,signed_shared_shrinkage,calibration_coverage_abs_le2ns,256,0.05251666283612966,0.027497513262599523,0.08016450216450217,heldout_run
amplitude_stratum,"amp[1000,1500)",hgb_full_unconstrained,s03a_amp_only,sigma68_ns,256,-0.1388420915349285,-0.3294257454346106,0.09754615735409194,heldout_run
amplitude_stratum,"amp[1000,1500)",hgb_full_unconstrained,s03a_amp_only,full_rms_ns,256,-0.13600170776496245,-0.18214597108032676,-0.08451834124516884,heldout_run
amplitude_stratum,"amp[1000,1500)",hgb_full_unconstrained,s03a_amp_only,tail_frac_abs_gt5ns,256,0.0,0.0,0.0,heldout_run
amplitude_stratum,"amp[1000,1500)",hgb_full_unconstrained,s03a_amp_only,bias_vs_log_amp_slope_ns,256,0.14572455824817768,-0.8377447180152856,0.9970966788598602,heldout_run
amplitude_stratum,"amp[1000,1500)",hgb_full_unconstrained,s03a_amp_only,calibration_coverage_abs_le2ns,256,0.04491411455467936,0.019523737980769233,0.06271863265283514,heldout_run
amplitude_stratum,"amp[1000,1500)",hgb_full_unconstrained,monotone_residual_table,sigma68_ns,256,0.18122614281582033,-0.16698572874562262,0.402206046650835,heldout_run
amplitude_stratum,"amp[1000,1500)",hgb_full_unconstrained,monotone_residual_table,full_rms_ns,256,-0.19621143647109585,-0.27399430875338726,-0.1053652258706511,heldout_run
amplitude_stratum,"amp[1000,1500)",hgb_full_unconstrained,monotone_residual_table,tail_frac_abs_gt5ns,256,-0.007752403846153846,-0.018524305555555554,0.0,heldout_run
amplitude_stratum,"amp[1000,1500)",hgb_full_unconstrained,monotone_residual_table,bias_vs_log_amp_slope_ns,256,0.3521526296309821,-0.1618548703810429,0.985654692376349,heldout_run
amplitude_stratum,"amp[1000,1500)",hgb_full_unconstrained,monotone_residual_table,calibration_coverage_abs_le2ns,256,0.05817935648295636,0.03634262891936847,0.07885718891038034,heldout_run
amplitude_stratum,"amp[1000,1500)",hgb_full_unconstrained,robust_heavytail_table,sigma68_ns,256,0.14776434107678937,-0.20052263868409048,0.3951720256709878,heldout_run
amplitude_stratum,"amp[1000,1500)",hgb_full_unconstrained,robust_heavytail_table,full_rms_ns,256,-0.19651578016277926,-0.2795734310690864,-0.13343482518366023,heldout_run
amplitude_stratum,"amp[1000,1500)",hgb_full_unconstrained,robust_heavytail_table,tail_frac_abs_gt5ns,256,-0.007692307692307693,-0.01965098039215686,0.0,heldout_run
amplitude_stratum,"amp[1000,1500)",hgb_full_unconstrained,robust_heavytail_table,bias_vs_log_amp_slope_ns,256,0.33970802596917227,-0.3251433493944141,1.1442605114904638,heldout_run
amplitude_stratum,"amp[1000,1500)",hgb_full_unconstrained,robust_heavytail_table,calibration_coverage_abs_le2ns,256,0.05963131053197962,0.031526682838083686,0.07805286823817965,heldout_run
amplitude_stratum,"amp[1500,2500)",hgb_full_unconstrained,signed_shared_shrinkage,sigma68_ns,3901,-0.15972498059115448,-0.2620971494455877,-0.09890289870977109,heldout_run
