method,bootstrap_unit,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,value,calibration_coverage_abs_le2ns,bias_vs_log_amp_slope_ns,sigma68_ns_ci_low,sigma68_ns_ci_high,full_rms_ns_ci_low,full_rms_ns_ci_high,tail_frac_abs_gt5ns_ci_low,tail_frac_abs_gt5ns_ci_high,bias_vs_log_amp_slope_ns_ci_low,bias_vs_log_amp_slope_ns_ci_high,calibration_coverage_abs_le2ns_ci_low,calibration_coverage_abs_le2ns_ci_high
amplitude_only,heldout_run,11460,1.3429029597173852,1.4364603523171167,2.548561674262194,0.01780104712041885,1.5605676406845401,50.74051753084317,1.4364603523171167,0.7855148342059337,-0.9775461208110462,1.2830695064441926,1.7870232852719494,2.354866361852449,2.7449473360098704,0.011870913025134667,0.024466282842126184,-1.200604297115704,-0.7396290336111778,0.7172877349864677,0.8383446487425549
full_monotone_log_amp,heldout_run,11460,1.3968886050435927,1.3725160896970068,2.427077477685693,0.0150087260034904,1.5060057928158541,42.80235818071667,1.3725160896970068,0.8111692844677137,-0.7284716246624263,1.2062491603945653,1.6211500344882088,2.216014599059319,2.581845175400156,0.011653618048797536,0.018971344940446055,-1.0657955383919246,-0.45796277694921955,0.7580293271924585,0.8619010308304946
hgb_full_unconstrained,heldout_run,11460,1.3904497808071703,1.3939661218709831,2.380006615418368,0.0156195462478185,1.5037474659026817,42.494939146525255,1.3939661218709831,0.8109075043630017,-0.8881684335662512,1.2367639871557912,1.6383419416464702,2.1568177785105807,2.587962009570954,0.011074398921329115,0.02029700775557052,-1.1650357065099906,-0.6311028201085302,0.7433658164754349,0.8607813379026422
monotone_residual_table,heldout_run,11460,1.4256597686321761,1.6451494274970766,2.7160339836912515,0.019458987783595113,1.7401237417472837,116.70364713761165,1.6451494274970766,0.7517452006980803,-0.6260304195291804,1.3217498254041793,1.931827166829759,2.488756942580341,2.8928740928069714,0.015196398872878498,0.028985186786410228,-0.9672355223783741,-0.4822820957353312,0.597900022446404,0.8047951444421476
robust_heavytail_table,heldout_run,11460,1.5185967830428275,1.576700611006782,2.7182334077008115,0.019720767888307154,1.451806839324202,127.97658761338705,1.576700611006782,0.7541884816753927,-0.4917389344265519,1.3255856505466923,1.9072931989286115,2.475382131670071,2.9420455902331466,0.014958012337163856,0.029852727158267384,-0.9005169404275657,-0.33955759547837566,0.5959318626713728,0.8072129297448882
s03a_amp_only,heldout_run,11460,1.4947512901246185,1.5510917109777858,2.6669889969286347,0.019109947643979056,1.62138428983608,47.01860845753751,1.5510917109777858,0.7602966841186737,-0.28372937926937025,1.3739991213302907,1.8635354134289022,2.4545098322397934,2.898828504677037,0.013470993117010817,0.025923361508567815,-0.7829544657194509,-0.05465772989199379,0.6687468121186225,0.819132087596796
shape_only,heldout_run,11460,1.4286877240023408,1.359899558710798,2.4426434855632926,0.015706806282722512,1.5018355016057574,46.410347348797465,1.359899558710798,0.8150087260034904,-0.5564719062578215,1.177146007928429,1.661427672999044,2.2402795528970127,2.613049023266586,0.011441490433562913,0.01969186396221661,-0.9279163397908392,-0.33726318289945867,0.7628606706348923,0.8627695663034731
signed_shared_shrinkage,heldout_run,11460,1.68643541709773,1.5398525126313984,2.700528330112748,0.022164048865619547,1.7107463825541611,79.96438078111804,1.5398525126313984,0.7326352530541013,0.2471616200235935,1.2674122559525287,1.9330251962309315,2.488058390207524,2.9174982445583653,0.015393597783828632,0.03255138137027471,-0.27727290201635757,0.47133668630271397,0.5956766207574348,0.8134745706913178
stave_only,heldout_run,11460,1.4331955239281484,1.3718560659995056,2.638315391068688,0.020855148342059336,1.788092461817548,97.66338988119828,1.3718560659995056,0.7764397905759163,0.41983178283997613,1.121856065999508,1.785653002325251,2.440803763978124,2.8572169421857514,0.013950116009280741,0.027112070082678897,-0.018228597031479547,0.6171596008261073,0.7282700965731287,0.8281276670401938
template_phase_base,heldout_run,11460,-3.7226235857461702,2.7414145300852155,3.308372978304417,0.08132635253054102,1.4378711271837026,145.19549907164475,2.7414145300852155,0.5602966841186736,3.7409491905081365,2.6842165631742354,2.9861718468144858,3.247026610178385,3.359360172464535,0.05593219616893415,0.09334487680980533,3.3377845924192404,4.135152993252029,0.5513965209860566,0.5773955773955773
