mode,method,roc_auc,average_precision,fixed95_clean_rejection,support_drift_auc_range,median_renormalization_factor,median_preserved_quantity_ratio
peak_preserved,traditional atom/template selector,0.6068992157880451,0.5709912382427026,0.05699481865284974,0.11921296296296291,0.9741464594453445,1.0
peak_preserved,ridge logistic,0.8016680537285117,0.783572873098564,0.3609671848013817,0.1967592592592593,0.9741464594453445,1.0
peak_preserved,gradient-boosted trees,0.8466252636163238,0.8520691422374091,0.45595854922279794,0.06819150231312388,0.9741464594453445,1.0
signed_area_preserved,traditional atom/template selector,0.6003516872936185,0.5680609560030633,0.05699481865284974,0.11921296296296291,0.8084901499275394,1.0
signed_area_preserved,ridge logistic,0.7785414075247359,0.7672623542393735,0.34024179620034545,0.1967592592592593,0.8084901499275394,1.0
signed_area_preserved,gradient-boosted trees,0.8462389743497961,0.8518362217110373,0.45077720207253885,0.05934481779076384,0.8084901499275394,1.0
