method,run,pair_a,pair_b,cov_ns2,pair_a_has_b2,pair_b_has_b2
raw_pair_median,51,B2-B4,B2-B8,1283.0788743971384,True,True
raw_pair_median,51,B2-B4,B4-B6,-113.0192184745075,True,False
raw_pair_median,51,B2-B4,B4-B8,-144.63756543034222,True,False
raw_pair_median,51,B2-B4,B6-B8,-6.360355010626365,True,False
raw_pair_median,51,B2-B6,B2-B8,1516.002801214298,True,True
raw_pair_median,51,B2-B6,B4-B6,124.2331131046058,True,False
raw_pair_median,51,B2-B6,B4-B8,356.1376162322795,True,False
raw_pair_median,51,B2-B6,B6-B8,-2.412875675389839,True,False
raw_pair_median,51,B2-B8,B4-B6,362.2887056002475,True,False
raw_pair_median,51,B2-B8,B4-B8,339.66806567592135,True,False
raw_pair_median,51,B2-B8,B6-B8,0.1511291061893163,True,False
raw_pair_median,51,B4-B6,B4-B8,505.9321255945703,False,False
raw_pair_median,51,B4-B6,B6-B8,4.405589809865638,False,False
raw_pair_median,51,B4-B8,B6-B8,7.030490060532928,False,False
raw_pair_median,52,B2-B4,B2-B6,1487.5768019531217,True,True
raw_pair_median,52,B2-B4,B2-B8,1236.5398986969008,True,True
raw_pair_median,52,B2-B4,B4-B6,82.06638499257087,True,False
raw_pair_median,52,B2-B4,B4-B8,31.25737780084004,True,False
raw_pair_median,52,B2-B4,B6-B8,26.26274454652603,True,False
raw_pair_median,52,B2-B6,B2-B8,1270.8646111726541,True,True
raw_pair_median,52,B2-B6,B4-B6,241.6519899832274,True,False
raw_pair_median,52,B2-B6,B4-B8,33.567871479945254,True,False
raw_pair_median,52,B2-B6,B6-B8,24.242862404546486,True,False
raw_pair_median,52,B2-B8,B4-B6,7.30512693341921,True,False
raw_pair_median,52,B2-B8,B4-B8,34.92992167624437,True,False
raw_pair_median,52,B2-B8,B6-B8,26.05543720165039,True,False
raw_pair_median,52,B4-B6,B4-B8,2.532766251190501,False,False
raw_pair_median,52,B4-B6,B6-B8,-0.630202425674678,False,False
raw_pair_median,52,B4-B8,B6-B8,1.2388397071855248,False,False
raw_pair_median,53,B2-B4,B2-B6,1724.0348082474627,True,True
raw_pair_median,53,B2-B4,B2-B8,1785.3913950768633,True,True
raw_pair_median,53,B2-B4,B4-B6,11.113457889306995,True,False
raw_pair_median,53,B2-B4,B4-B8,17.358004951288837,True,False
raw_pair_median,53,B2-B4,B6-B8,8.080748276530905,True,False
raw_pair_median,53,B2-B6,B2-B8,1838.3304845693335,True,True
raw_pair_median,53,B2-B6,B4-B6,14.653304775681194,True,False
raw_pair_median,53,B2-B6,B4-B8,20.526381570560513,True,False
raw_pair_median,53,B2-B6,B6-B8,8.246831775563953,True,False
raw_pair_median,53,B2-B8,B4-B6,10.727857529199323,True,False
raw_pair_median,53,B2-B8,B4-B8,15.48430037201017,True,False
raw_pair_median,53,B2-B8,B6-B8,9.923983351722088,True,False
raw_pair_median,53,B4-B6,B4-B8,1.9585488211688986,False,False
raw_pair_median,53,B4-B6,B6-B8,-0.6227861859202073,False,False
raw_pair_median,53,B4-B8,B6-B8,1.1738173435125794,False,False
raw_pair_median,54,B2-B4,B2-B6,1768.6717531467998,True,True
raw_pair_median,54,B2-B4,B2-B8,2073.957731246561,True,True
raw_pair_median,54,B2-B4,B4-B6,-65.11604851327206,True,False
raw_pair_median,54,B2-B4,B4-B8,38.41955302880507,True,False
raw_pair_median,54,B2-B4,B6-B8,37.2390420271028,True,False
raw_pair_median,54,B2-B6,B2-B8,1936.1767770916256,True,True
raw_pair_median,54,B2-B6,B4-B6,34.56255900093556,True,False
raw_pair_median,54,B2-B6,B4-B8,39.80213168293155,True,False
raw_pair_median,54,B2-B6,B6-B8,33.7642965529462,True,False
raw_pair_median,54,B2-B8,B4-B6,0.8411130399498229,True,False
raw_pair_median,54,B2-B8,B4-B8,50.93888318782215,True,False
raw_pair_median,54,B2-B8,B6-B8,45.397982961069545,True,False
raw_pair_median,54,B4-B6,B4-B8,1.0802953011151901,False,False
raw_pair_median,54,B4-B6,B6-B8,-0.8195681849224149,False,False
raw_pair_median,54,B4-B8,B6-B8,11.700859865038476,False,False
raw_pair_median,55,B2-B4,B2-B6,1487.9325231430987,True,True
raw_pair_median,55,B2-B4,B2-B8,1450.1037613861074,True,True
raw_pair_median,55,B2-B4,B4-B6,5.229655435071487,True,False
raw_pair_median,55,B2-B4,B4-B8,-0.3356494619545184,True,False
raw_pair_median,55,B2-B4,B6-B8,-0.2806661759344994,True,False
raw_pair_median,55,B2-B6,B2-B8,1645.5975530929181,True,True
raw_pair_median,55,B2-B6,B4-B6,9.404882005467508,True,False
raw_pair_median,55,B2-B6,B4-B8,0.8846028454100189,True,False
raw_pair_median,55,B2-B6,B6-B8,0.09743747125696932,True,False
raw_pair_median,55,B2-B8,B4-B6,1.1652690213445163,True,False
raw_pair_median,55,B2-B8,B4-B8,2.5106624952341656,True,False
raw_pair_median,55,B2-B8,B6-B8,2.4819794516983387,True,False
raw_pair_median,55,B4-B6,B4-B8,1.196691978869855,False,False
raw_pair_median,55,B4-B6,B6-B8,-0.7769627128891775,False,False
raw_pair_median,55,B4-B8,B6-B8,1.5901580007987797,False,False
raw_pair_median,56,B2-B4,B2-B6,1465.9239059735335,True,True
raw_pair_median,56,B2-B4,B2-B8,1521.194645984716,True,True
raw_pair_median,56,B2-B4,B4-B6,-13.186923775145614,True,False
raw_pair_median,56,B2-B4,B4-B8,-12.374255176118584,True,False
raw_pair_median,56,B2-B4,B6-B8,-17.099291911192733,True,False
raw_pair_median,56,B2-B6,B2-B8,1464.7224179164884,True,True
raw_pair_median,56,B2-B6,B4-B6,27.67192097592613,True,False
raw_pair_median,56,B2-B6,B4-B8,-12.374064107719533,True,False
raw_pair_median,56,B2-B6,B6-B8,-18.420790606432096,True,False
raw_pair_median,56,B2-B8,B4-B6,3.772281791617629,True,False
raw_pair_median,56,B2-B8,B4-B8,45.71971877615389,True,False
raw_pair_median,56,B2-B8,B6-B8,41.67228713529952,True,False
raw_pair_median,56,B4-B6,B4-B8,0.10745752119335038,False,False
raw_pair_median,56,B4-B6,B6-B8,-2.8804956251703615,False,False
raw_pair_median,56,B4-B8,B6-B8,59.78240069298367,False,False
raw_pair_median,57,B2-B4,B2-B6,1047.681142909107,True,True
raw_pair_median,57,B2-B4,B2-B8,1244.3909057017277,True,True
raw_pair_median,57,B2-B4,B4-B6,-2.638551743817611,True,False
raw_pair_median,57,B2-B4,B4-B8,5.904262914214738,True,False
raw_pair_median,57,B2-B4,B6-B8,-1.4031393003890322,True,False
raw_pair_median,57,B2-B6,B2-B8,1135.280513081351,True,True
raw_pair_median,57,B2-B6,B4-B6,4.556983974993244,True,False
raw_pair_median,57,B2-B6,B4-B8,5.820883634545225,True,False
raw_pair_median,57,B2-B6,B6-B8,-3.0393464971722204,True,False
raw_pair_median,57,B2-B8,B4-B6,7.22402293493426,True,False
raw_pair_median,57,B2-B8,B4-B8,10.1270598233536,True,False
raw_pair_median,57,B2-B8,B6-B8,0.721332939994975,True,False
raw_pair_median,57,B4-B6,B4-B8,1.5348848896218246,False,False
raw_pair_median,57,B4-B6,B6-B8,-1.066899368923814,False,False
raw_pair_median,57,B4-B8,B6-B8,2.692150042586137,False,False
raw_pair_median,58,B2-B4,B2-B6,719.6225781153173,True,True
raw_pair_median,58,B2-B4,B2-B8,477.58100160096643,True,True
raw_pair_median,58,B2-B4,B4-B6,2.402834961074726,True,False
raw_pair_median,58,B2-B4,B4-B8,-151.22084416197575,True,False
raw_pair_median,58,B2-B4,B6-B8,4.3612906575302235,True,False
raw_pair_median,58,B2-B6,B2-B8,554.4075932995961,True,True
raw_pair_median,58,B2-B6,B4-B6,17.097050392192834,True,False
raw_pair_median,58,B2-B6,B4-B8,26.323824719665442,True,False
raw_pair_median,58,B2-B6,B6-B8,6.497247554597988,True,False
raw_pair_median,58,B2-B8,B4-B6,20.5880169235643,True,False
raw_pair_median,58,B2-B8,B4-B8,233.81124855590514,True,False
raw_pair_median,58,B2-B8,B6-B8,8.297936725978023,True,False
raw_pair_median,58,B4-B6,B4-B8,25.251248185775307,False,False
raw_pair_median,58,B4-B6,B6-B8,1.0060228482601703,False,False
raw_pair_median,58,B4-B8,B6-B8,2.8409335040410575,False,False
raw_pair_median,59,B2-B4,B2-B6,166.06535996341333,True,True
raw_pair_median,59,B2-B4,B2-B8,160.36132710770144,True,True
raw_pair_median,59,B2-B4,B4-B6,0.7496075614345837,True,False
raw_pair_median,59,B2-B4,B4-B8,-0.5319844783652953,True,False
raw_pair_median,59,B2-B4,B6-B8,-0.03571648876719309,True,False
raw_pair_median,59,B2-B6,B2-B8,192.37982312437367,True,True
raw_pair_median,59,B2-B6,B4-B6,29.80476576727172,True,False
raw_pair_median,59,B2-B6,B4-B8,19.613777162036005,True,False
raw_pair_median,59,B2-B6,B6-B8,-0.6015318798099027,True,False
raw_pair_median,59,B2-B8,B4-B6,19.418707842716227,True,False
raw_pair_median,59,B2-B8,B4-B8,44.33207488375208,True,False
raw_pair_median,59,B2-B8,B6-B8,13.276439648432643,True,False
raw_pair_median,59,B4-B6,B4-B8,19.55641767292774,False,False
