method,stratum,n_pair_rows,n_runs,b2_amp_cut_adc,median_b2_sat_count,median_b2_sat_excess_adc,sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,mean_abs_pair_cov_ns2
raw_pair_median,all_B2_containing,43956,21,,0.0,0.0,3.512344883482385,1.8618653954268976,19.86351293023282,1041.840074907271
raw_pair_median,B2_sat_count_gt0,11981,21,,6.0,1786.0,30.76838978269434,18.31626192307338,41.65956272255387,1272.5787070683136
raw_pair_median,B2_sat_count_eq0,31975,21,,0.0,0.0,1.5656648162361009,1.4651098880424318,1.875902534377141,531.7416068491432
raw_pair_median,B2_amp_top_decile,4396,21,6615.75,8.0,4342.75,41.69064145362521,26.948843766102115,46.8680057543165,1210.0959340313052
raw_pair_median,B2_amp_lower_90pct,39560,21,6615.75,0.0,0.0,1.9677818718255922,1.6422301583656325,8.950288502871159,954.0140362439695
traditional_saturation_ridge,all_B2_containing,43956,21,,0.0,0.0,7.049946425151923,6.33324069303774,8.801773825055852,212.78299410581988
traditional_saturation_ridge,B2_sat_count_gt0,11981,21,,6.0,1786.0,11.596477453309548,10.43100843806784,12.532733716934143,182.49204912715018
traditional_saturation_ridge,B2_sat_count_eq0,31975,21,,0.0,0.0,5.688913819778106,5.370753736535226,6.7886065157747355,248.89067554474454
traditional_saturation_ridge,B2_amp_top_decile,4396,21,6615.75,8.0,4342.75,10.813532323836302,10.007122175557685,11.460931826333333,114.79506995488947
traditional_saturation_ridge,B2_amp_lower_90pct,39560,21,6615.75,0.0,0.0,6.621063853012402,6.090606841075955,8.743608509751649,255.4952414437249
ml_extra_trees_saturation,all_B2_containing,43956,21,,0.0,0.0,1.6155216885146217,1.3648279367394718,2.4961250783158744,25.187522349300004
ml_extra_trees_saturation,B2_sat_count_gt0,11981,21,,6.0,1786.0,3.570516591522429,3.1257396524937433,3.943994664094775,22.126270327701185
ml_extra_trees_saturation,B2_sat_count_eq0,31975,21,,0.0,0.0,1.1924617713683958,1.1042788426114876,1.4223446914313804,32.336987194168515
ml_extra_trees_saturation,B2_amp_top_decile,4396,21,6615.75,8.0,4342.75,3.824607167028329,3.5597302727493725,4.053839267516901,28.73106134320394
ml_extra_trees_saturation,B2_amp_lower_90pct,39560,21,6615.75,0.0,0.0,1.4161207597741285,1.2499566701066325,2.005618257381224,27.798936005079117
