method,subset,n_covariances,n_runs,mean_abs_cov_ns2,mean_abs_cov_ci_low_ns2,mean_abs_cov_ci_high_ns2,median_abs_cov_ns2,signed_mean_cov_ns2
ml_extra_trees_saturation,all_pair_covariances,300,20,13.34937353797713,7.751109383896594,22.548071794956645,2.5104660299010586,7.124242473639656
ml_extra_trees_saturation,both_B2_containing,60,20,25.187522349300014,18.752504104350848,32.01361805508643,21.158264339286248,24.641932028342033
ml_extra_trees_saturation,both_downstream_only,60,20,11.245820974375784,2.08065490091023,27.164029440478608,0.9291655616648757,10.4231781014399
ml_extra_trees_saturation,mixed_B2_downstream,180,20,10.104508122069943,4.15846338063443,19.932639801519958,1.9870745968290744,0.18536741280544866
raw_pair_median,all_pair_covariances,300,20,228.53460933649947,171.18112808581995,285.9419421186029,15.068802573845682,223.08852655337424
raw_pair_median,both_B2_containing,60,20,1041.840074907271,738.3027300906163,1319.607331416817,1189.0007715282618,1041.840074907271
raw_pair_median,both_downstream_only,60,20,15.98821500999724,5.192507798624283,33.17671452516751,1.636856312721993,15.410983937114526
raw_pair_median,mixed_B2_downstream,180,20,28.281585588409968,16.542739821570432,45.74312013452617,10.427458676276462,19.397191307495262
traditional_saturation_ridge,all_pair_covariances,300,20,72.14160297055173,55.811306174085544,88.11648839849406,32.56670232008537,37.33860340577574
traditional_saturation_ridge,both_B2_containing,60,20,212.78299410581982,158.70179461474808,266.73920358390467,191.9609508247376,212.78299410581982
traditional_saturation_ridge,both_downstream_only,60,20,35.772347617602684,26.24520609841165,52.31432049375428,24.645288782106423,34.06572909772911
traditional_saturation_ridge,mixed_B2_downstream,180,20,37.38422437644532,27.548617410524677,50.30442478982872,25.34133902789479,-20.05190205822337
