method,threshold_quantile,timing_efficiency_ci_low,timing_efficiency_ci_high,tail_capture_ci_low,tail_capture_ci_high,tail_fraction_after_ci_low,tail_fraction_after_ci_high,tail_fraction_delta_ci_low,tail_fraction_delta_ci_high,sigma68_after_ns_ci_low,sigma68_after_ns_ci_high,full_rms_after_ns_ci_low,full_rms_after_ns_ci_high,charge_support_tvd_ci_low,charge_support_tvd_ci_high,current_proxy_tvd_ci_low,current_proxy_tvd_ci_high,topology_support_tvd_ci_low,topology_support_tvd_ci_high,saturation_fraction_delta_ci_low,saturation_fraction_delta_ci_high,late_peak_fraction_delta_ci_low,late_peak_fraction_delta_ci_high,support_drift_max_ci_low,support_drift_max_ci_high
cnn1d,0.7,0.6752667483519422,0.7181139778277807,0.5402829983112709,0.7570314805705853,0.004115739579558816,0.011125951697958316,-0.010598747848092074,-0.004649303271338264,1.476912242516972,1.658963369467262,1.7941177628222928,5.464911695284463,0.009969613453604255,0.031081412659335214,0.0022800368186177687,0.020261342726459294,0.020349565436532067,0.04091310656716896,0.0,0.0,0.0006105841652830307,0.010258082361179236,0.022254716738802884,0.041044129078398627
cnn1d,0.75,0.7294639608360334,0.7622820895112944,0.48896520146520145,0.7223809523809522,0.004672686729393878,0.012055852390985182,-0.01077615792378579,-0.004337682598383561,1.5032690726313607,1.6537139470759683,1.8688435270368826,5.793721597135757,0.011056022435156507,0.031123593555246975,0.0031239182020601254,0.01875525565342969,0.0174862593942034,0.03689642148000606,0.0,0.0,0.0021657293286552006,0.011252935143950973,0.02011858138608569,0.03711928614668542
cnn1d,0.8,0.7853915861989599,0.8169415445279761,0.45485189573459717,0.6892451737451737,0.004842493379012076,0.011252694358692455,-0.009873051185921258,-0.004135064441337858,1.5076695196728895,1.6625148302489452,1.834438642297906,5.372610810751833,0.011623882396265585,0.03111583170549689,0.0035739180345814303,0.015726131911109446,0.01424194104747932,0.03178340421150737,0.0,0.0,0.0014657175432499473,0.008300478550725923,0.017693646268424287,0.03225017374237926
cnn1d,0.85,0.8363797752296995,0.8666065699845645,0.4253780838658757,0.6629699362283631,0.004561986585889565,0.011271040046568509,-0.01001786455367109,-0.004106525842387608,1.522034416535845,1.6729415308510327,1.8166419125512971,5.3773117450794485,0.011062892326639,0.0295325042388262,0.0021934637045406087,0.013895564893287657,0.013474347463793605,0.030535773017993373,0.0,0.0,0.0006931024634181176,0.007104932993159261,0.016252427637156865,0.031246462320033627
cnn1d,0.9,0.8866049089024006,0.9162128130457812,0.41318712951511793,0.6600384615384616,0.004415412780426008,0.010916023743482791,-0.009657728335099766,-0.004484070844664434,1.5653849757762746,1.6755585208856285,1.8474042597302363,5.511784190175441,0.010690441631681995,0.025256372556702596,0.003245228773623556,0.013005970469551709,0.00634723036741825,0.01866160743898434,0.0,0.0,0.0007766195721437251,0.0049042175418978805,0.01315713400927187,0.025384619721445015
cnn1d,0.95,0.9363852854535886,0.9630907455100363,0.3861005331302361,0.5823254793833813,0.005216624937586186,0.01141663641101796,-0.009512647066275097,-0.004351174623259998,1.5991286733662715,1.6991786023824127,1.918651312911106,5.502491691682298,0.005685294129684886,0.017258652847103317,0.0015406244221903113,0.007641197895005331,0.0031159642458323715,0.007009113332469719,0.0,0.0,7.02478741547769e-05,0.002586658307667104,0.005687539113944692,0.017258652847103317
gradient_boosted_trees,0.7,0.6682379032803976,0.70430991047994,0.5672453703703704,0.7810857866413422,0.0042332770556682275,0.010390482255631116,-0.01179330446903803,-0.004829485776946897,1.5230050154531267,1.6363586304695628,1.945770038060993,4.9881523312871465,0.009060289335992431,0.025560966367262402,0.002341791154684778,0.017550128404311645,0.0503901201319194,0.06996462081058079,0.0,0.0,4.516916485366314e-05,0.00499733476499965,0.0503901201319194,0.06996462081058079
gradient_boosted_trees,0.75,0.7188380859255181,0.7567680575776643,0.5407776082130965,0.7542589069526116,0.004535667290065895,0.010163868633762655,-0.011650003237801064,-0.004493168756289179,1.5429265145975253,1.6549114783514223,1.954026193730146,5.086671050895349,0.00933625778284841,0.024251413311498108,0.002774564977490852,0.016773298059487095,0.039555399904925126,0.05869116227917488,0.0,0.0,3.420341314212018e-05,0.0038815227038908823,0.039555399904925126,0.05869116227917488
gradient_boosted_trees,0.8,0.7752119649063596,0.8021591519154427,0.5059035714285715,0.7218159765462845,0.004563367992790271,0.00970478669245397,-0.011279801897305656,-0.004491176754412953,1.5548939658119245,1.6613407385955563,1.975955558882343,5.022326565879212,0.01046156808318553,0.022376880299083503,0.0013778946097056694,0.012939778796616314,0.026113298006995838,0.04168496305322346,0.0,0.0,7.113494383230359e-05,0.0033757532285918976,0.026113298006995838,0.04168496305322346
gradient_boosted_trees,0.85,0.8333535642106935,0.8556958015850618,0.4206232492997199,0.6641358504365314,0.004892301203011948,0.010731194252664743,-0.01036808437737722,-0.0038787996161622857,1.5648708163984728,1.68351927279795,1.9142155128142209,4.890617222558808,0.007576635209397164,0.01925331789849289,0.0013026845958004675,0.011723688896896851,0.01754770966475525,0.029300725195368225,0.0,0.0,6.674509326860066e-05,0.003935615862904473,0.01754770966475525,0.029300725195368225
