n_pairs,n_events,veto_fraction,timing_efficiency,tail_capture,tail_fraction_before,tail_fraction_after,tail_fraction_delta,sigma68_before_ns,sigma68_after_ns,full_rms_before_ns,full_rms_after_ns,charge_support_tvd,current_proxy_tvd,topology_support_tvd,saturation_fraction_delta,late_peak_fraction_delta,support_drift_max,method,threshold_quantile,heldout_run
219,73,0.2146118721461187,0.7853881278538812,1.0,0.0091324200913242,0.0,-0.0091324200913242,1.6403874822690652,1.3038672812331826,4.245584726803905,1.4954953522106564,0.07157268769247106,0.04993628544122332,0.01550387596899222,0.0,0.04202506105978551,0.07157268769247106,traditional_quantile,0.7,58
2289,763,0.291393621668851,0.7086063783311489,0.6388888888888888,0.015727391874180863,0.008014796547472256,-0.007712595326708607,1.6083042242117618,1.4205566228485842,5.355791269302135,1.8293172167908498,0.03074803151727093,0.007976011364058719,0.010686395396629661,0.0,0.010468767423031614,0.03074803151727093,traditional_quantile,0.7,59
2424,808,0.33085808580858084,0.6691419141914192,0.5128205128205128,0.01608910891089109,0.011713933415536375,-0.004375175495354714,1.6585190010528037,1.440476955663035,6.872022451994516,6.771349685918423,0.04902628055653903,0.022503082614056716,0.020550760378133998,0.0,0.021376860250759973,0.04902628055653903,traditional_quantile,0.7,60
2799,933,0.29546266523758485,0.7045373347624151,0.631578947368421,0.020364415862808145,0.010649087221095335,-0.00971532864171281,1.6969451470464478,1.4496782359976028,6.264312275363575,3.967412086296432,0.05223594778488693,0.019001824035967632,0.008451656524678802,0.0,0.012920073599162842,0.05223594778488693,traditional_quantile,0.7,61
2421,807,0.3159851301115242,0.6840148698884758,0.7391304347826086,0.00950020652622883,0.0036231884057971015,-0.005877018120431728,1.685448011531863,1.4530628793166862,4.387585259011599,1.720139904992713,0.05644227142934109,0.009073684966686452,0.017512077294685985,0.0,0.015426611353554949,0.05644227142934109,traditional_quantile,0.7,62
1110,370,0.2882882882882883,0.7117117117117118,0.5882352941176471,0.015315315315315315,0.008860759493670886,-0.0064545558216444286,1.8190125506653212,1.5729327345523245,6.186312428191332,3.697904370670472,0.03789485688219864,0.036161477933629796,0.017299578059071702,0.0,0.020846162618314512,0.03789485688219864,traditional_quantile,0.7,63
198,66,0.16161616161616163,0.8383838383838383,0.0,0.0,0.0,0.0,1.5639898548543092,1.5574869242871667,1.6496900544024526,1.6055989561007165,0.019958622368260945,0.054216867469879526,0.004016064257028079,0.0,0.027260557381039302,0.054216867469879526,traditional_quantile,0.7,65
219,73,0.182648401826484,0.817351598173516,1.0,0.0091324200913242,0.0,-0.0091324200913242,1.6403874822690652,1.3066845503798452,4.245584726803905,1.5017250072000439,0.06637585775873064,0.03834085865156499,0.007448789571694592,0.0,0.03270324736613864,0.06637585775873064,traditional_quantile,0.75,58
2289,763,0.2525120139799039,0.747487986020096,0.6388888888888888,0.015727391874180863,0.007597895967270602,-0.008129495906910263,1.6083042242117618,1.4328615312136441,5.355791269302135,1.81769615067192,0.03185207938048434,0.008585262425765586,0.011494252873563204,0.0,0.008288056695822964,0.03185207938048434,traditional_quantile,0.75,59
2424,808,0.28135313531353134,0.7186468646864687,0.5128205128205128,0.01608910891089109,0.010907003444316877,-0.005182105466574213,1.6585190010528037,1.4680624829532254,6.872022451994516,6.549633443013251,0.060619882309700585,0.019517795637198618,0.014542671259089174,0.0,0.018449261688510986,0.060619882309700585,traditional_quantile,0.75,60
2799,933,0.2433011789924973,0.7566988210075027,0.5789473684210527,0.020364415862808145,0.0113314447592068,-0.009032971103601345,1.6969451470464478,1.468481793101465,6.264312275363575,5.370421781888691,0.053038974866580206,0.015516974394942748,0.010387157695939536,0.0,0.011960463419250299,0.053038974866580206,traditional_quantile,0.75,61
2421,807,0.24989673688558448,0.7501032631144156,0.6521739130434783,0.00950020652622883,0.004405286343612335,-0.005094920182616495,1.685448011531863,1.5033379879793505,4.387585259011599,1.7401949192315311,0.05350689724819719,0.007227508201911689,0.009177679882525713,0.0,0.013072336948907054,0.05350689724819719,traditional_quantile,0.75,62
1110,370,0.23423423423423423,0.7657657657657657,0.5294117647058824,0.015315315315315315,0.009411764705882352,-0.005903550609432963,1.8190125506653212,1.5989278991446207,6.186312428191332,5.510238060636416,0.03677795442501325,0.037233704292527786,0.00901960784313724,0.0,0.01603603603603604,0.037233704292527786,traditional_quantile,0.75,63
198,66,0.09595959595959595,0.9040404040404041,0.0,0.0,0.0,0.0,1.5639898548543092,1.5245829820059216,1.6496900544024526,1.610104377979454,0.019299136617572432,0.04189944134078212,0.013035381750465563,0.0,0.015010439591445185,0.04189944134078212,traditional_quantile,0.75,65
219,73,0.1689497716894977,0.8310502283105023,1.0,0.0091324200913242,0.0,-0.0091324200913242,1.6403874822690652,1.325590260196706,4.245584726803905,1.5551484414550105,0.05956144312308696,0.04260123438205629,0.00366300366300365,0.0,0.03991670430026595,0.05956144312308696,traditional_quantile,0.8,58
2289,763,0.2035823503713412,0.7964176496286588,0.5555555555555556,0.015727391874180863,0.00877674163466813,-0.0069506502395127335,1.6083042242117618,1.4166111598239497,5.355791269302135,2.670973807707657,0.027061140751146625,0.014094693622843102,0.006765405010056652,0.0,0.005846368198977825,0.027061140751146625,traditional_quantile,0.8,59
2424,808,0.22483498349834982,0.7751650165016502,0.358974358974359,0.01608910891089109,0.013304949441192123,-0.002784159469698967,1.6585190010528037,1.492021487006203,6.872022451994516,6.34897705033719,0.06054564344140648,0.008781266631186821,0.0072733723611850265,0.0,0.014198093571996896,0.06054564344140648,traditional_quantile,0.8,60
2799,933,0.19578420864594498,0.8042157913540551,0.5087719298245614,0.020364415862808145,0.012438916037316748,-0.007925499825491397,1.6969451470464478,1.4666997725807587,6.264312275363575,5.276526704740325,0.05241098831228834,0.012569380858715645,0.0051828816822152846,0.0,0.009694552014435566,0.05241098831228834,traditional_quantile,0.8,61
2421,807,0.2023957042544403,0.7976042957455597,0.6521739130434783,0.00950020652622883,0.004142931123770067,-0.005357275402458763,1.685448011531863,1.490938796690017,4.387585259011599,1.7244431598398433,0.05110834316766097,0.007092908567383913,0.006904885206283434,0.0,0.009760102298398424,0.05110834316766097,traditional_quantile,0.8,62
1110,370,0.18828828828828828,0.8117117117117117,0.4117647058823529,0.015315315315315315,0.011098779134295227,-0.004216536181020088,1.8190125506653212,1.5774765186225572,6.186312428191332,6.71566757131375,0.03289338172800992,0.031595524492305835,0.009618941916389206,0.0,0.012617612062673103,0.03289338172800992,traditional_quantile,0.8,63
198,66,0.030303030303030304,0.9696969696969697,0.0,0.0,0.0,0.0,1.5639898548543092,1.5489078381199957,1.6496900544024526,1.633733142887369,0.010258838383838328,0.015625,0.0,0.0,0.004419191919191934,0.015625,traditional_quantile,0.8,65
219,73,0.136986301369863,0.863013698630137,1.0,0.0091324200913242,0.0,-0.0091324200913242,1.6403874822690652,1.4148094176884,4.245584726803905,1.5485435356899386,0.04979343335507716,0.03283322461404653,0.005291005291005291,0.0,0.031166195549757192,0.04979343335507716,traditional_quantile,0.85,58
2289,763,0.13936216688510267,0.8606378331148974,0.3888888888888889,0.015727391874180863,0.01116751269035533,-0.004559879183825534,1.6083042242117618,1.4386188667008306,5.355791269302135,3.3068090649801825,0.01902034226814178,0.007254292766331147,0.005414551607445001,0.0,0.0030629827491002043,0.01902034226814178,traditional_quantile,0.85,59
2424,808,0.18028052805280528,0.8197194719471947,0.3333333333333333,0.01608910891089109,0.013085052843482638,-0.003004056067408452,1.6585190010528037,1.4954243908758733,6.872022451994516,6.713126876721791,0.056435103751945444,0.006290890790135895,0.004361684281160877,0.0,0.010969818672858726,0.056435103751945444,traditional_quantile,0.85,60
2799,933,0.15719899964272954,0.8428010003572705,0.40350877192982454,0.020364415862808145,0.014412886816447647,-0.005951529046360498,1.6969451470464478,1.48747831936959,6.264312275363575,5.596709715096311,0.046984169390115536,0.008578125688624066,0.004521689981630633,0.0,0.007433769796970725,0.046984169390115536,traditional_quantile,0.85,61
2421,807,0.157786038826931,0.842213961173069,0.6521739130434783,0.00950020652622883,0.00392349190779794,-0.00557671461843089,1.685448011531863,1.4988551491171274,4.387585259011599,1.7177503425244527,0.043890723214540704,0.005278725327003256,0.00408697073728953,0.0,0.006989682196750321,0.043890723214540704,traditional_quantile,0.85,62
1110,370,0.12072072072072072,0.8792792792792793,0.29411764705882354,0.015315315315315315,0.012295081967213115,-0.0030202333481022005,1.8190125506653212,1.5845733471358763,6.186312428191332,6.5242321103042915,0.03225151380889083,0.02356557377049183,0.004781420765027328,0.0,0.006732757347511442,0.03225151380889083,traditional_quantile,0.85,63
198,66,0.015151515151515152,0.9848484848484849,0.0,0.0,0.0,0.0,1.5639898548543092,1.5475091258812526,1.6496900544024526,1.6311091831310733,0.01274281274281272,0.011655011655011677,0.0,0.0,0.0021756021756021704,0.01274281274281272,traditional_quantile,0.85,65
219,73,0.0867579908675799,0.91324200913242,1.0,0.0091324200913242,0.0,-0.0091324200913242,1.6403874822690652,1.4631605031585257,4.245584726803905,1.59334666651341,0.027968036529680346,0.018150684931506872,0.003333333333333355,0.0,0.018652968036529688,0.027968036529680346,traditional_quantile,0.9,58
2289,763,0.08344255133245959,0.9165574486675404,0.2777777777777778,0.015727391874180863,0.012392755004766444,-0.003334636869414419,1.6083042242117618,1.5054349581308437,5.355791269302135,4.147010546244171,0.011026749143435157,0.005898396650620252,0.014617095646647593,0.0,0.0019103258798556233,0.014617095646647593,traditional_quantile,0.9,59
2424,808,0.13077557755775576,0.8692244224422443,0.3076923076923077,0.01608910891089109,0.012814428096820124,-0.0032746808140709655,1.6585190010528037,1.5501949716061314,6.872022451994516,6.5355236357607245,0.042342552954868384,0.0026103464641670515,0.010283183040658117,0.0,0.007243652699394289,0.042342552954868384,traditional_quantile,0.9,60
2799,933,0.10325116112897463,0.8967488388710254,0.3333333333333333,0.020364415862808145,0.015139442231075698,-0.005224973631732447,1.6969451470464478,1.5553236591356459,6.264312275363575,5.911112799149791,0.0343104893751183,0.00703381543493764,0.013280212483399723,0.0,0.0040419956472786955,0.0343104893751183,traditional_quantile,0.9,61
2421,807,0.10408921933085502,0.895910780669145,0.391304347826087,0.00950020652622883,0.006454587367450438,-0.0030456191587783926,1.685448011531863,1.5592775127879468,4.387585259011599,3.5401826730033847,0.02949640164466861,0.0036163513928094554,0.014292300599354518,0.0,0.004481876252225944,0.02949640164466861,traditional_quantile,0.9,62
1110,370,0.07117117117117117,0.9288288288288289,0.17647058823529413,0.015315315315315315,0.013579049466537343,-0.0017362658487779722,1.8190125506653212,1.6469739280516689,6.186312428191332,6.370570995167475,0.016392726383027065,0.013856921907358363,0.012932428063368862,0.0,0.004901215473475412,0.016392726383027065,traditional_quantile,0.9,63
198,66,0.010101010101010102,0.98989898989899,0.0,0.0,0.0,0.0,1.5639898548543092,1.5454633501905013,1.6496900544024526,1.6278690823049131,0.00845186559472269,0.007730364873222026,0.003401360544217691,0.0,0.0014430014430014404,0.00845186559472269,traditional_quantile,0.9,65
219,73,0.0365296803652968,0.9634703196347032,0.0,0.0091324200913242,0.009478672985781991,0.00034625289445779084,1.6403874822690652,1.588958219618445,4.245584726803905,4.30138971742135,0.008418273496505011,0.009738362656625338,0.012638230647709331,0.0,0.007444437230842482,0.012638230647709331,traditional_quantile,0.95,58
2289,763,0.035386631716906945,0.9646133682830931,0.25,0.015727391874180863,0.012228260869565218,-0.0034991310046156455,1.6083042242117618,1.5656640819723306,5.355791269302135,4.230477766518083,0.0011473825669079379,0.00251498186031493,0.010416666666666657,0.0,0.0002481148023629129,0.010416666666666657,traditional_quantile,0.95,59
2424,808,0.07425742574257425,0.9257425742574258,0.2564102564102564,0.01608910891089109,0.012923351158645277,-0.0031657577522458125,1.6585190010528037,1.5975579400272988,6.872022451994516,6.364488215517477,0.02334277545401604,0.002673796791443861,0.017825311942959,0.0,0.0034768182700622985,0.02334277545401604,traditional_quantile,0.95,60
2799,933,0.05287602715255448,0.9471239728474455,0.22807017543859648,0.020364415862808145,0.016597510373443983,-0.0037669054893641613,1.6969451470464478,1.6357562843970397,6.264312275363575,6.395043604903224,0.017536844610532728,0.0015387831160803,0.01521438450899032,0.0,0.0019781273933987056,0.017536844610532728,traditional_quantile,0.95,61
2421,807,0.04791408508880628,0.9520859149111938,0.21739130434782608,0.00950020652622883,0.0078091106290672455,-0.0016910958971615847,1.685448011531863,1.6351573488761928,4.387585259011599,3.507033671879012,0.012062565351439498,0.0038889650482357707,0.01547360809833695,0.0,0.0017072237588490469,0.01547360809833695,traditional_quantile,0.95,62
1110,370,0.04864864864864865,0.9513513513513514,0.17647058823529413,0.015315315315315315,0.013257575757575758,-0.002057739557739557,1.8190125506653212,1.6886555760242614,6.186312428191332,6.308711602479337,0.011107698607698563,0.010278460278460244,0.015151515151515166,0.0,0.0032708845208845178,0.015151515151515166,traditional_quantile,0.95,63
198,66,0.0,1.0,0.0,0.0,0.0,0.0,1.5639898548543092,1.5639898548543092,1.6496900544024526,1.6496900544024526,0.0,0.0,0.0,0.0,0.0,0.0,traditional_quantile,0.95,65
219,73,0.273972602739726,0.726027397260274,1.0,0.0091324200913242,0.0,-0.0091324200913242,1.6403874822690652,1.4829391718880385,4.245584726803905,1.560404217783498,0.02894804859136728,0.04772981821314723,0.169811320754717,0.0,0.02377875420005171,0.169811320754717,ridge,0.7,58
2289,763,0.2887723896898209,0.7112276103101791,0.75,0.015727391874180863,0.005528255528255528,-0.010199136345925335,1.6083042242117618,1.5192589312783213,5.355791269302135,1.798663501926236,0.024973621303896486,0.009582470591644895,0.16072891072891074,0.0,0.0017147494211714395,0.16072891072891074,ridge,0.7,59
2424,808,0.31518151815181517,0.6848184818481848,0.5128205128205128,0.01608910891089109,0.01144578313253012,-0.00464332577836097,1.6585190010528037,1.5613451462215853,6.872022451994516,5.849929536458896,0.034093800946359755,0.008433734939759033,0.185140562248996,0.0,0.002773470118096144,0.185140562248996,ridge,0.7,60
2799,933,0.2901036084315827,0.7098963915684173,0.631578947368421,0.020364415862808145,0.010568696527428284,-0.00979571933537986,1.6969451470464478,1.5770053849052625,6.264312275363575,4.028372625802461,0.0522790780300607,0.011859509102844792,0.16020801878879384,0.0,0.001884345422811691,0.16020801878879384,ridge,0.7,61
2421,807,0.3135068153655514,0.6864931846344486,0.6521739130434783,0.00950020652622883,0.0048134777376654635,-0.004686728788563367,1.685448011531863,1.528768605173303,4.387585259011599,1.7063002754934604,0.03882991334845372,0.006034741141366817,0.18351383874849583,0.0,0.0019802659342068596,0.18351383874849583,ridge,0.7,62
1110,370,0.2891891891891892,0.7108108108108109,0.47058823529411764,0.015315315315315315,0.011406844106463879,-0.003908471208851436,1.8190125506653212,1.63669515282265,6.186312428191332,5.704070372143966,0.030627205151920002,0.018377693282636234,0.16856780735107732,0.0,0.00701195492070017,0.16856780735107732,ridge,0.7,63
198,66,0.24242424242424243,0.7575757575757576,0.0,0.0,0.0,0.0,1.5639898548543092,1.5126105799230398,1.6496900544024526,1.6238944117083016,0.0197979797979798,0.026666666666666672,0.18666666666666668,0.0,0.005252525252525259,0.18666666666666668,ridge,0.7,65
219,73,0.2465753424657534,0.7534246575342466,1.0,0.0091324200913242,0.0,-0.0091324200913242,1.6403874822690652,1.4457934215900337,4.245584726803905,1.545574954803554,0.032378580323785815,0.046243254462432534,0.1393939393939394,0.0,0.027895392278953934,0.1393939393939394,ridge,0.75,58
2289,763,0.23722149410222804,0.762778505897772,0.6944444444444444,0.015727391874180863,0.006300114547537228,-0.009427277326643635,1.6083042242117618,1.5013559301329689,5.355791269302135,1.8408517608854575,0.024668255019148745,0.005278494638184403,0.10882016036655211,0.0,0.0017640020477436569,0.10882016036655211,ridge,0.75,59
2424,808,0.26897689768976896,0.731023102310231,0.48717948717948717,0.01608910891089109,0.011286681715575621,-0.004802427195315468,1.6585190010528037,1.5559581117435222,6.872022451994516,6.273795444370904,0.030400472327142464,0.012979683972911951,0.13299473288186608,0.0,0.0047996334622175535,0.13299473288186608,ridge,0.75,60
