veto_ladder,charge_proxy,n_heldout,n_kept,veto_acceptance,veto_induced_acceptance_loss,median_charge_proxy_shift_log,unsaturated_control_res68_frac,energy_proxy_res68_frac,depth_ordering_violation_fraction,energy_res68_ci95,unsat_res68_ci95,depth_violation_ci95,acceptance_ci95,charge_shift_ci95
no_veto,traditional_peak_sum,332852,332852,1.0,0.0,0.0,0.2586921386311407,0.0317993766767728,0.0,"[0.029429382563277408, 0.03531499189591652]","[0.24121838311849028, 0.3023366319735998]","[0.0, 0.0]","[1.0, 1.0]","[-0.3592969329543062, 0.12092863169553632]"
p09,traditional_peak_sum,332852,316214,0.9500138199560165,0.049986180043983475,0.024675213293560816,0.24543468804763768,0.04819613083933172,0.0,"[0.04213683816066852, 0.05255392725600708]","[0.23123713983039104, 0.2639717968969518]","[0.0, 0.0]","[0.9280696891221009, 0.9630001884992582]","[-0.19958116246367105, 0.1547050914672811]"
p09_s10,traditional_peak_sum,332852,275497,0.8276861788422482,0.17231382115775185,0.0869006385790918,0.24977209235861234,0.05595851376775888,0.0,"[0.053915031247992934, 0.057912291118764184]","[0.22906973377170717, 0.2852548976896892]","[0.0, 0.0]","[0.7705707379603733, 0.8585255171402426]","[-0.20569713598489464, 0.17797335586741106]"
p09_s10_s16,traditional_peak_sum,332852,274380,0.8243303330008532,0.17566966699914677,0.08513748085158923,0.2495996692713622,0.05521784106549416,0.0,"[0.05339164522160926, 0.057258850422097766]","[0.22119170540769958, 0.27917026920120835]","[0.0, 0.0]","[0.7679470225591822, 0.8641607322755679]","[-0.1621029309708725, 0.18221071674925893]"
p09_s10_s16_p07,traditional_peak_sum,332852,159074,0.47791210507973514,0.5220878949202649,-0.26451465800508167,0.24502897900168782,0.12080740895354264,0.0,"[0.0940067243712684, 0.1431410787906028]","[0.2209276448671693, 0.26433273534956203]","[0.0, 0.0]","[0.43180518252456196, 0.5288399603972556]","[-0.613015253964117, -0.12471508602245487]"
no_veto,traditional_integral,332852,332852,1.0,0.0,0.0,0.13990244940975224,0.021189225434905888,0.0,"[0.01988362327985016, 0.022505486660460736]","[0.10930970130580367, 0.17547167048177748]","[0.0, 0.0]","[1.0, 1.0]","[-0.2608898693292161, 0.07502842891011358]"
p09,traditional_integral,332852,316214,0.9500138199560165,0.049986180043983475,0.02104240597686413,0.12176336912213813,0.0441264406781473,0.0,"[0.03755680019023217, 0.048368832640692076]","[0.0913946175784262, 0.14846884555376275]","[0.0, 0.0]","[0.9280696891221009, 0.9630001884992582]","[-0.12568063058241422, 0.09402305852489375]"
p09_s10,traditional_integral,332852,275497,0.8276861788422482,0.17231382115775185,0.05694578594704147,0.1403410187501267,0.05370226988317443,0.0,"[0.05179163674759296, 0.05630322917210688]","[0.10878320233839205, 0.17348136261492178]","[0.0, 0.0]","[0.7705707379603733, 0.8585255171402426]","[-0.13178753246887612, 0.1077312664993564]"
p09_s10_s16,traditional_integral,332852,274380,0.8243303330008532,0.17566966699914677,0.05679486205994344,0.13995850307360552,0.0535761581871325,0.0,"[0.051505893840365316, 0.0567219557729441]","[0.097268005043909, 0.16905480924497002]","[0.0, 0.0]","[0.7679470225591822, 0.8641607322755679]","[-0.09523790727540478, 0.1100769927974936]"
p09_s10_s16_p07,traditional_integral,332852,159074,0.47791210507973514,0.5220878949202649,-0.16617365949942275,0.13878808822131217,0.11398519191178375,0.0,"[0.09452737742686117, 0.14225410836381203]","[0.096450052620731, 0.16624274354849886]","[0.0, 0.0]","[0.43180518252456196, 0.5288399603972556]","[-0.4646597173226229, -0.06131674978189547]"
