veto,pulse_count,heldout_event_acceptance_after_cumulative
P09 anomaly,34084,0.9500138199560165
S10 pileup,80082,0.8276861788422482
S16 baseline/lowering,5469,0.8243303330008532
P07 saturation,208015,0.47791210507973514
