dimension,region,n_cells,n_eval,mean_delta_handle_minus_s01_q_mse,mean_delta_extra_trees_minus_handle_q_mse,mean_delta_extra_trees_minus_handle_timing_abs_ns,handle_win_cell_fraction,extra_trees_q_win_cell_fraction
amp_region,a1000_1500,84,6062,,,,0.7619047619047619,0.6904761904761905
amp_region,a1500_2200,93,7036,-0.07544525497385748,-0.09932023649951595,-0.3698645586606879,0.7956989247311828,0.5483870967741935
amp_region,a2200_3200,101,8356,-0.017422554529697536,-0.02455532759651403,-0.32088168211139534,0.5742574257425742,0.7920792079207921
amp_region,a3200_4700,139,11195,-0.032357893190215536,-0.03249454777972258,-1.1009444969549669,0.7482014388489209,0.9856115107913669
amp_region,a4700_6800,108,8048,-0.01955328347513687,-0.027714253184337952,-0.8505218687872763,0.48148148148148145,0.9166666666666666
amp_region,a6800_10000,61,5343,-0.006726603581668554,-0.02778313903351643,-2.6558113419427287,0.5573770491803278,0.9344262295081968
stave,B2,300,27718,,,,0.74,0.8733333333333333
stave,B4,129,9380,-0.03687943549090685,-0.061389483269016665,-0.3970773912853259,0.689922480620155,0.7906976744186046
stave,B6,94,5884,-0.016177567369703716,-0.04193374132322505,-0.25759930076721377,0.5638297872340425,0.6914893617021277
stave,B8,63,3058,-0.02099252446366445,-0.0456056358650622,-0.657946370176586,0.3492063492063492,0.8412698412698413
rise_width_region,rise_mid,276,23178,-0.0408228009518449,-0.013028152593221532,-0.5176244714815773,0.7028985507246377,0.7246376811594203
rise_width_region,rise_narrow,201,15917,,,,0.6467661691542289,0.9601990049751243
rise_width_region,rise_wide,109,6945,-0.05088538685298662,-0.08108049075729071,-2.185385169186465,0.5688073394495413,0.8165137614678899
cfd_phase_region,phase_early,224,18284,,,,0.6205357142857143,0.7991071428571429
cfd_phase_region,phase_late,181,13477,-0.053521607754042314,-0.053042553300874346,-1.2617793277435632,0.6795580110497238,0.861878453038674
cfd_phase_region,phase_mid,181,14279,-0.08791399538955781,-0.054526708773126285,-0.7262413334267106,0.6850828729281768,0.8121546961325967
tail_shape_region,tail_compact,213,16632,,,,0.6713615023474179,0.8169014084507042
tail_shape_region,tail_long,144,11618,-0.004219392664725185,-0.02034997939661173,-1.9975469099672922,0.5694444444444444,1.0
tail_shape_region,tail_mid,229,17790,-0.03572301967004274,-0.005372316196999275,-0.11832490163012929,0.7030567685589519,0.7161572052401747
saturation_region,boundary,60,5146,-0.005314549140641171,-0.021477171604643543,-1.8941896618732996,0.6,0.9666666666666667
saturation_region,saturated_proxy,23,1901,-0.005579545540979532,-0.03205449724138108,-3.662546028406102,0.391304347826087,0.9130434782608695
saturation_region,unsaturated,503,38993,,,,0.6779324055666004,0.8011928429423459
current_family,high_20nA,253,24053,-0.07421613437386178,-0.08742813619153156,-1.220073319903441,0.5533596837944664,0.8893280632411067
current_family,low_2nA,30,758,,,,0.7666666666666667,0.9333333333333333
current_family,sample_ii,303,21229,-0.05422691622361065,-0.06225365258347414,-0.6414805838037065,0.735973597359736,0.7557755775577558
run_family,sample_i_analysis,283,24811,,,,0.5759717314487632,0.8939929328621908
run_family,sample_ii_analysis,303,21229,-0.05422691622361065,-0.06225365258347414,-0.6414805838037065,0.735973597359736,0.7557755775577558
