table,key,n_train,usable,fold
full,B2|a1000_1500|rise_mid|phase_early|tail_compact|unsaturated|sample_ii,44,True,holdout_sample_i
full,B2|a1000_1500|rise_mid|phase_early|tail_mid|unsaturated|sample_ii,23,False,holdout_sample_i
full,B2|a1000_1500|rise_mid|phase_late|tail_compact|unsaturated|sample_ii,15,False,holdout_sample_i
full,B2|a1000_1500|rise_mid|phase_late|tail_mid|unsaturated|sample_ii,23,False,holdout_sample_i
full,B2|a1000_1500|rise_mid|phase_mid|tail_compact|unsaturated|sample_ii,21,False,holdout_sample_i
full,B2|a1000_1500|rise_mid|phase_mid|tail_long|unsaturated|sample_ii,1,False,holdout_sample_i
full,B2|a1000_1500|rise_mid|phase_mid|tail_mid|unsaturated|sample_ii,34,False,holdout_sample_i
full,B2|a1000_1500|rise_narrow|phase_early|tail_compact|unsaturated|sample_ii,23,False,holdout_sample_i
full,B2|a1000_1500|rise_narrow|phase_late|tail_compact|unsaturated|sample_ii,13,False,holdout_sample_i
full,B2|a1000_1500|rise_narrow|phase_mid|tail_compact|unsaturated|sample_ii,44,True,holdout_sample_i
full,B2|a1000_1500|rise_wide|phase_early|tail_compact|unsaturated|sample_ii,12,False,holdout_sample_i
full,B2|a1000_1500|rise_wide|phase_early|tail_mid|unsaturated|sample_ii,10,False,holdout_sample_i
full,B2|a1000_1500|rise_wide|phase_late|tail_compact|unsaturated|sample_ii,20,False,holdout_sample_i
full,B2|a1000_1500|rise_wide|phase_late|tail_mid|unsaturated|sample_ii,31,False,holdout_sample_i
full,B2|a1000_1500|rise_wide|phase_mid|tail_compact|unsaturated|sample_ii,10,False,holdout_sample_i
full,B2|a1000_1500|rise_wide|phase_mid|tail_long|unsaturated|sample_ii,1,False,holdout_sample_i
full,B2|a1000_1500|rise_wide|phase_mid|tail_mid|unsaturated|sample_ii,31,False,holdout_sample_i
full,B2|a1500_2200|rise_mid|phase_early|tail_compact|unsaturated|sample_ii,56,True,holdout_sample_i
full,B2|a1500_2200|rise_mid|phase_early|tail_mid|unsaturated|sample_ii,33,False,holdout_sample_i
full,B2|a1500_2200|rise_mid|phase_late|tail_compact|unsaturated|sample_ii,9,False,holdout_sample_i
full,B2|a1500_2200|rise_mid|phase_late|tail_mid|unsaturated|sample_ii,18,False,holdout_sample_i
full,B2|a1500_2200|rise_mid|phase_mid|tail_compact|unsaturated|sample_ii,15,False,holdout_sample_i
full,B2|a1500_2200|rise_mid|phase_mid|tail_mid|unsaturated|sample_ii,29,False,holdout_sample_i
full,B2|a1500_2200|rise_narrow|phase_early|tail_compact|unsaturated|sample_ii,11,False,holdout_sample_i
full,B2|a1500_2200|rise_narrow|phase_late|tail_compact|unsaturated|sample_ii,31,False,holdout_sample_i
full,B2|a1500_2200|rise_narrow|phase_mid|tail_compact|unsaturated|sample_ii,38,True,holdout_sample_i
full,B2|a1500_2200|rise_narrow|phase_mid|tail_mid|unsaturated|sample_ii,2,False,holdout_sample_i
full,B2|a1500_2200|rise_wide|phase_early|tail_compact|unsaturated|sample_ii,15,False,holdout_sample_i
full,B2|a1500_2200|rise_wide|phase_early|tail_long|unsaturated|sample_ii,1,False,holdout_sample_i
full,B2|a1500_2200|rise_wide|phase_early|tail_mid|unsaturated|sample_ii,6,False,holdout_sample_i
full,B2|a1500_2200|rise_wide|phase_late|tail_compact|unsaturated|sample_ii,21,False,holdout_sample_i
full,B2|a1500_2200|rise_wide|phase_late|tail_mid|unsaturated|sample_ii,24,False,holdout_sample_i
full,B2|a1500_2200|rise_wide|phase_mid|tail_compact|unsaturated|sample_ii,16,False,holdout_sample_i
full,B2|a1500_2200|rise_wide|phase_mid|tail_long|unsaturated|sample_ii,2,False,holdout_sample_i
full,B2|a1500_2200|rise_wide|phase_mid|tail_mid|unsaturated|sample_ii,50,True,holdout_sample_i
full,B2|a2200_3200|rise_mid|phase_early|tail_compact|unsaturated|sample_ii,53,True,holdout_sample_i
full,B2|a2200_3200|rise_mid|phase_early|tail_long|unsaturated|sample_ii,1,False,holdout_sample_i
full,B2|a2200_3200|rise_mid|phase_early|tail_mid|unsaturated|sample_ii,29,False,holdout_sample_i
full,B2|a2200_3200|rise_mid|phase_late|tail_compact|unsaturated|sample_ii,10,False,holdout_sample_i
full,B2|a2200_3200|rise_mid|phase_late|tail_long|unsaturated|sample_ii,1,False,holdout_sample_i
full,B2|a2200_3200|rise_mid|phase_late|tail_mid|unsaturated|sample_ii,20,False,holdout_sample_i
full,B2|a2200_3200|rise_mid|phase_mid|tail_compact|unsaturated|sample_ii,17,False,holdout_sample_i
full,B2|a2200_3200|rise_mid|phase_mid|tail_long|unsaturated|sample_ii,1,False,holdout_sample_i
full,B2|a2200_3200|rise_mid|phase_mid|tail_mid|unsaturated|sample_ii,31,False,holdout_sample_i
full,B2|a2200_3200|rise_narrow|phase_early|tail_compact|unsaturated|sample_ii,12,False,holdout_sample_i
full,B2|a2200_3200|rise_narrow|phase_early|tail_long|unsaturated|sample_ii,1,False,holdout_sample_i
full,B2|a2200_3200|rise_narrow|phase_early|tail_mid|unsaturated|sample_ii,6,False,holdout_sample_i
full,B2|a2200_3200|rise_narrow|phase_late|tail_compact|unsaturated|sample_ii,49,True,holdout_sample_i
full,B2|a2200_3200|rise_narrow|phase_late|tail_long|unsaturated|sample_ii,5,False,holdout_sample_i
full,B2|a2200_3200|rise_narrow|phase_late|tail_mid|unsaturated|sample_ii,11,False,holdout_sample_i
full,B2|a2200_3200|rise_narrow|phase_mid|tail_compact|unsaturated|sample_ii,19,False,holdout_sample_i
full,B2|a2200_3200|rise_narrow|phase_mid|tail_mid|unsaturated|sample_ii,4,False,holdout_sample_i
full,B2|a2200_3200|rise_wide|phase_early|tail_compact|unsaturated|sample_ii,9,False,holdout_sample_i
full,B2|a2200_3200|rise_wide|phase_early|tail_long|unsaturated|sample_ii,4,False,holdout_sample_i
full,B2|a2200_3200|rise_wide|phase_early|tail_mid|unsaturated|sample_ii,11,False,holdout_sample_i
full,B2|a2200_3200|rise_wide|phase_late|tail_compact|unsaturated|sample_ii,7,False,holdout_sample_i
full,B2|a2200_3200|rise_wide|phase_late|tail_long|unsaturated|sample_ii,15,False,holdout_sample_i
full,B2|a2200_3200|rise_wide|phase_late|tail_mid|unsaturated|sample_ii,41,True,holdout_sample_i
full,B2|a2200_3200|rise_wide|phase_mid|tail_compact|unsaturated|sample_ii,5,False,holdout_sample_i
full,B2|a2200_3200|rise_wide|phase_mid|tail_long|unsaturated|sample_ii,6,False,holdout_sample_i
full,B2|a2200_3200|rise_wide|phase_mid|tail_mid|unsaturated|sample_ii,28,False,holdout_sample_i
full,B2|a3200_4700|rise_mid|phase_early|tail_compact|unsaturated|sample_ii,36,True,holdout_sample_i
full,B2|a3200_4700|rise_mid|phase_early|tail_long|unsaturated|sample_ii,32,False,holdout_sample_i
full,B2|a3200_4700|rise_mid|phase_early|tail_mid|unsaturated|sample_ii,35,True,holdout_sample_i
full,B2|a3200_4700|rise_mid|phase_late|tail_compact|unsaturated|sample_ii,12,False,holdout_sample_i
full,B2|a3200_4700|rise_mid|phase_late|tail_long|unsaturated|sample_ii,8,False,holdout_sample_i
full,B2|a3200_4700|rise_mid|phase_late|tail_mid|unsaturated|sample_ii,12,False,holdout_sample_i
full,B2|a3200_4700|rise_mid|phase_mid|tail_compact|unsaturated|sample_ii,32,False,holdout_sample_i
full,B2|a3200_4700|rise_mid|phase_mid|tail_long|unsaturated|sample_ii,40,True,holdout_sample_i
full,B2|a3200_4700|rise_mid|phase_mid|tail_mid|unsaturated|sample_ii,33,False,holdout_sample_i
full,B2|a3200_4700|rise_narrow|phase_early|tail_compact|unsaturated|sample_ii,10,False,holdout_sample_i
full,B2|a3200_4700|rise_narrow|phase_early|tail_long|unsaturated|sample_ii,23,False,holdout_sample_i
full,B2|a3200_4700|rise_narrow|phase_early|tail_mid|unsaturated|sample_ii,29,False,holdout_sample_i
full,B2|a3200_4700|rise_narrow|phase_late|tail_compact|unsaturated|sample_ii,37,True,holdout_sample_i
full,B2|a3200_4700|rise_narrow|phase_late|tail_long|unsaturated|sample_ii,52,True,holdout_sample_i
full,B2|a3200_4700|rise_narrow|phase_late|tail_mid|unsaturated|sample_ii,48,True,holdout_sample_i
full,B2|a3200_4700|rise_narrow|phase_mid|tail_compact|unsaturated|sample_ii,21,False,holdout_sample_i
full,B2|a3200_4700|rise_narrow|phase_mid|tail_long|unsaturated|sample_ii,5,False,holdout_sample_i
full,B2|a3200_4700|rise_narrow|phase_mid|tail_mid|unsaturated|sample_ii,3,False,holdout_sample_i
full,B2|a3200_4700|rise_wide|phase_early|tail_long|unsaturated|sample_ii,33,False,holdout_sample_i
full,B2|a3200_4700|rise_wide|phase_early|tail_mid|unsaturated|sample_ii,5,False,holdout_sample_i
full,B2|a3200_4700|rise_wide|phase_late|tail_compact|unsaturated|sample_ii,1,False,holdout_sample_i
full,B2|a3200_4700|rise_wide|phase_late|tail_long|unsaturated|sample_ii,28,False,holdout_sample_i
full,B2|a3200_4700|rise_wide|phase_late|tail_mid|unsaturated|sample_ii,10,False,holdout_sample_i
full,B2|a3200_4700|rise_wide|phase_mid|tail_long|unsaturated|sample_ii,19,False,holdout_sample_i
full,B2|a3200_4700|rise_wide|phase_mid|tail_mid|unsaturated|sample_ii,3,False,holdout_sample_i
full,B2|a4700_6800|rise_mid|phase_early|tail_compact|unsaturated|sample_ii,16,False,holdout_sample_i
full,B2|a4700_6800|rise_mid|phase_early|tail_long|boundary|sample_ii,44,True,holdout_sample_i
full,B2|a4700_6800|rise_mid|phase_early|tail_long|unsaturated|sample_ii,31,False,holdout_sample_i
full,B2|a4700_6800|rise_mid|phase_early|tail_mid|boundary|sample_ii,5,False,holdout_sample_i
full,B2|a4700_6800|rise_mid|phase_early|tail_mid|unsaturated|sample_ii,60,True,holdout_sample_i
full,B2|a4700_6800|rise_mid|phase_late|tail_long|boundary|sample_ii,1,False,holdout_sample_i
full,B2|a4700_6800|rise_mid|phase_late|tail_long|unsaturated|sample_ii,5,False,holdout_sample_i
full,B2|a4700_6800|rise_mid|phase_mid|tail_compact|boundary|sample_ii,1,False,holdout_sample_i
full,B2|a4700_6800|rise_mid|phase_mid|tail_compact|unsaturated|sample_ii,14,False,holdout_sample_i
full,B2|a4700_6800|rise_mid|phase_mid|tail_long|boundary|sample_ii,35,True,holdout_sample_i
full,B2|a4700_6800|rise_mid|phase_mid|tail_long|unsaturated|sample_ii,44,True,holdout_sample_i
full,B2|a4700_6800|rise_mid|phase_mid|tail_mid|boundary|sample_ii,2,False,holdout_sample_i
full,B2|a4700_6800|rise_mid|phase_mid|tail_mid|unsaturated|sample_ii,20,False,holdout_sample_i
