method,axis,stratum,n_atoms,supported_fraction,total_fraction,support_loss,median_atom_sigma68_ns,median_full_rms_ns,median_tail_fraction_abs_gt_5ns
cnn_1d,run_family,sample_i_analysis,16,0.10882047523058999,0.10882047523058999,0.0,6.399149742993103,10.34189585182353,0.3306474358974359
cnn_1d,run_family,sample_ii_analysis,35,0.7358285993525119,0.7358285993525119,0.0,4.215412751660566,4.987456420225089,0.2489010989010989
extra_trees_s05e_dynamic,run_family,sample_i_analysis,16,0.10882047523058999,0.10882047523058999,0.0,3.8939803016166374,8.261521137332682,0.1970613656006914
extra_trees_s05e_dynamic,run_family,sample_ii_analysis,35,0.7358285993525119,0.7358285993525119,0.0,1.500928616349845,2.9741906466438213,0.0486680327868852
gradient_boosted_trees,run_family,sample_i_analysis,16,0.10882047523058999,0.10882047523058999,0.0,3.829107509735274,8.396528994376656,0.2032051282051282
gradient_boosted_trees,run_family,sample_ii_analysis,35,0.7358285993525119,0.7358285993525119,0.0,2.957563721802446,4.048570763483815,0.1015021459227467
ml_shuffled_target_control,run_family,sample_i_analysis,16,0.10882047523058999,0.10882047523058999,0.0,4.59121862336632,10.163837560623556,0.2772435897435897
ml_shuffled_target_control,run_family,sample_ii_analysis,35,0.7358285993525119,0.7358285993525119,0.0,3.911052163538244,4.727041182711362,0.1965616045845272
mlp,run_family,sample_i_analysis,16,0.10882047523058999,0.10882047523058999,0.0,3.61582470212851,9.23620141483347,0.2113782051282051
mlp,run_family,sample_ii_analysis,35,0.7358285993525119,0.7358285993525119,0.0,3.343274280471733,4.124541126805325,0.1255932822197882
pair_median,run_family,sample_i_analysis,16,0.10882047523058999,0.10882047523058999,0.0,3.1244833159399223,9.403188095385389,0.16369230769230764
pair_median,run_family,sample_ii_analysis,35,0.7358285993525119,0.7358285993525119,0.0,1.5546028461530526,3.2605423844464347,0.0403433476394849
pool_label_control,run_family,sample_i_analysis,16,0.10882047523058999,0.10882047523058999,0.0,3.8305340421236007,9.86642300759041,0.23573717948717945
pool_label_control,run_family,sample_ii_analysis,35,0.7358285993525119,0.7358285993525119,0.0,1.8297876578002892,3.5273760723511502,0.0470756062767475
ridge,run_family,sample_i_analysis,16,0.10882047523058999,0.10882047523058999,0.0,7.908944068620494,10.48147439071972,0.48668639053254437
ridge,run_family,sample_ii_analysis,35,0.7358285993525119,0.7358285993525119,0.0,5.526489442851899,7.127183179951159,0.3494623655913978
support_gated_cnn_new,run_family,sample_i_analysis,16,0.10882047523058999,0.10882047523058999,0.0,4.542052487967129,9.880744946348809,0.27692307692307694
support_gated_cnn_new,run_family,sample_ii_analysis,35,0.7358285993525119,0.7358285993525119,0.0,3.777117319266545,4.533484058230797,0.1756676557863501
traditional_s05d_static_priors,run_family,sample_i_analysis,16,0.10882047523058999,0.10882047523058999,0.0,7.151720955884249,9.405596486844722,0.45499262174126903
traditional_s05d_static_priors,run_family,sample_ii_analysis,35,0.7358285993525119,0.7358285993525119,0.0,5.949762997587643,7.228904135399563,0.3785022924095771
waveform_only_mlp,run_family,sample_i_analysis,16,0.10882047523058999,0.10882047523058999,0.0,3.6044550176976546,9.854904292414947,0.17467948717948717
waveform_only_mlp,run_family,sample_ii_analysis,35,0.7358285993525119,0.7358285993525119,0.0,2.8208563237886013,3.885980007614811,0.0839722526469514
cnn_1d,topology,B2_containing,34,0.528846741188686,0.528846741188686,0.0,5.18229959851752,8.461659262617204,0.30905920060331826
cnn_1d,topology,downstream_only,17,0.3158023333944158,0.3158023333944158,0.0,4.271594774065086,4.461393789757652,0.2489010989010989
extra_trees_s05e_dynamic,topology,B2_containing,34,0.528846741188686,0.528846741188686,0.0,2.1006441029690333,5.857290823330496,0.118025641025641
extra_trees_s05e_dynamic,topology,downstream_only,17,0.3158023333944158,0.3158023333944158,0.0,1.4245374875279868,2.075025873416327,0.0189910979228486
gradient_boosted_trees,topology,B2_containing,34,0.528846741188686,0.528846741188686,0.0,3.3384162477918924,6.894057187515378,0.16474358974358974
gradient_boosted_trees,topology,downstream_only,17,0.3158023333944158,0.3158023333944158,0.0,2.893335733973399,3.524308478815805,0.1067415730337078
ml_shuffled_target_control,topology,B2_containing,34,0.528846741188686,0.528846741188686,0.0,4.5197553636315835,8.116687668450693,0.2601721019612276
ml_shuffled_target_control,topology,downstream_only,17,0.3158023333944158,0.3158023333944158,0.0,3.911052163538244,4.479322093439332,0.1965616045845272
mlp,topology,B2_containing,34,0.528846741188686,0.528846741188686,0.0,4.104299346061661,7.925048689614528,0.2073540490517955
mlp,topology,downstream_only,17,0.3158023333944158,0.3158023333944158,0.0,2.8713221120237096,3.3950753633237447,0.0756446991404011
pair_median,topology,B2_containing,34,0.528846741188686,0.528846741188686,0.0,2.055894263504468,7.559693506691119,0.09413644938168089
pair_median,topology,downstream_only,17,0.3158023333944158,0.3158023333944158,0.0,1.580907742176212,2.414679388114097,0.013355592654424
pool_label_control,topology,B2_containing,34,0.528846741188686,0.528846741188686,0.0,3.449361623101658,7.799862599355933,0.17844608050037244
pool_label_control,topology,downstream_only,17,0.3158023333944158,0.3158023333944158,0.0,1.8327518030022296,2.9321432718809985,0.025214899713467
ridge,topology,B2_containing,34,0.528846741188686,0.528846741188686,0.0,6.600908782131944,8.198410788197325,0.4160548904449966
ridge,topology,downstream_only,17,0.3158023333944158,0.3158023333944158,0.0,5.531678941478471,7.288722795271395,0.3554896142433234
support_gated_cnn_new,topology,B2_containing,34,0.528846741188686,0.528846741188686,0.0,4.492698206162887,7.951879691771968,0.26135540078640995
support_gated_cnn_new,topology,downstream_only,17,0.3158023333944158,0.3158023333944158,0.0,3.400819873292851,3.892444327890944,0.1355206847360913
traditional_s05d_static_priors,topology,B2_containing,34,0.528846741188686,0.528846741188686,0.0,6.672509014470618,7.857279422328508,0.41409478149898243
traditional_s05d_static_priors,topology,downstream_only,17,0.3158023333944158,0.3158023333944158,0.0,5.659395863650295,7.228904135399563,0.3816568047337278
waveform_only_mlp,topology,B2_containing,34,0.528846741188686,0.528846741188686,0.0,3.2134242240191844,7.5704694982349,0.14179853978900295
waveform_only_mlp,topology,downstream_only,17,0.3158023333944158,0.3158023333944158,0.0,2.776981053187816,3.3371479627968705,0.0756446991404011
cnn_1d,b2_saturation_depth_bin,deep,3,0.017760063526968302,0.017760063526968302,0.0,8.431849272612792,9.264504843564076,0.5578947368421052
cnn_1d,b2_saturation_depth_bin,mild,5,0.0453698613401745,0.0453698613401745,0.0,7.078495055085612,11.4817007706914,0.2623071271124173
cnn_1d,b2_saturation_depth_bin,moderate,2,0.0117433266141347,0.0117433266141347,0.0,24.547327047248096,22.252109727928193,0.7812793589389334
cnn_1d,b2_saturation_depth_bin,none,41,0.7697758231018242,0.7697758231018242,0.0,4.322161476309663,6.253097965977291,0.2621035058430718
extra_trees_s05e_dynamic,b2_saturation_depth_bin,deep,3,0.017760063526968302,0.017760063526968302,0.0,4.569603982940238,5.464991653792645,0.2842105263157894
extra_trees_s05e_dynamic,b2_saturation_depth_bin,mild,5,0.0453698613401745,0.0453698613401745,0.0,3.2517646009802776,7.978434656480381,0.1785451873622336
extra_trees_s05e_dynamic,b2_saturation_depth_bin,moderate,2,0.0117433266141347,0.0117433266141347,0.0,9.483228334768896,10.853770182549953,0.5385741917656811
extra_trees_s05e_dynamic,b2_saturation_depth_bin,none,41,0.7697758231018242,0.7697758231018242,0.0,1.5179120575538905,3.804450691916301,0.0486680327868852
gradient_boosted_trees,b2_saturation_depth_bin,deep,3,0.017760063526968302,0.017760063526968302,0.0,7.748712520212475,7.763265975335102,0.5552631578947368
gradient_boosted_trees,b2_saturation_depth_bin,mild,5,0.0453698613401745,0.0453698613401745,0.0,5.069999374331979,9.576251812570424,0.2167523879500367
gradient_boosted_trees,b2_saturation_depth_bin,moderate,2,0.0117433266141347,0.0117433266141347,0.0,11.63416423832488,12.30599422975795,0.6042933130699089
gradient_boosted_trees,b2_saturation_depth_bin,none,41,0.7697758231018242,0.7697758231018242,0.0,2.936755527529518,5.387683835707589,0.1067415730337078
ml_shuffled_target_control,b2_saturation_depth_bin,deep,3,0.017760063526968302,0.017760063526968302,0.0,8.537075185421331,8.451668530902372,0.531578947368421
ml_shuffled_target_control,b2_saturation_depth_bin,mild,5,0.0453698613401745,0.0453698613401745,0.0,6.886529056681911,11.252145305334578,0.2549595885378398
ml_shuffled_target_control,b2_saturation_depth_bin,moderate,2,0.0117433266141347,0.0117433266141347,0.0,24.12661371298269,22.201063948683938,0.7657122133185963
