method,residual_column,b2_signed_offdiag_cov_ns2,downstream_signed_offdiag_cov_ns2,signed_offdiag_cov_delta_ns2,b2_mean_abs_pair_cov_ns2,downstream_mean_abs_pair_cov_ns2,abs_pair_cov_delta_ns2,inferred_correlated_fraction,signed_delta_ci_low_ns2,signed_delta_ci_high_ns2
pair_median,resid_pair_median,1041.840074907271,15.41098393711453,1026.4290909701565,1041.840074907271,15.988215009997242,1025.8518598972737,0.9852079178865469,719.7174489751002,1258.0442089901267
traditional_s05d_static_priors,resid_traditional_s05d_static_priors,155.18189119262325,50.09461268943243,105.08727850319082,155.18189119262325,50.795961367135384,104.38592982548786,0.6771877678223982,73.0892998706701,140.722931797222
ridge,resid_ridge,135.9149241024824,54.88188228632376,81.03304181615863,135.9149241024824,55.60781736928014,80.30710673320225,0.5962041501421743,51.953620453575915,112.25847738082132
gradient_boosted_trees,resid_gradient_boosted_trees,279.52898588297114,12.671892034419797,266.85709384855136,279.52898588297114,13.117108952677006,266.4118769302941,0.9546669838392894,194.77570713547775,333.7706869177807
extra_trees_s05e_dynamic,resid_extra_trees_s05e_dynamic,118.09288177635531,15.952186176892976,102.14069559946233,118.79796189867517,16.177447173460102,102.62051472521506,0.8649183089027899,65.0658792166257,137.6824758060471
mlp,resid_mlp,913.8763342372308,16.400366714722217,897.4759675225087,913.8763342372308,16.607951629742715,897.2683826074881,0.9820540634434847,645.9886695417173,1125.0184963205215
cnn_1d,resid_cnn_1d,1031.4855702291763,16.90388010332846,1014.5816901258479,1031.4855702291763,17.207402302704466,1014.2781679264718,0.9836121022036471,772.558679208144,1295.353679857607
support_gated_cnn_new,resid_support_gated_cnn_new,1030.1172331899843,15.615526128205378,1014.5017070617789,1030.1172331899843,16.04864960327632,1014.068583586708,0.9848410203954666,705.1190919240105,1281.318197898692
waveform_only_mlp,resid_waveform_only_mlp,967.0067929997608,19.23584194605187,947.7709510537089,967.0067929997608,19.358796674040107,947.6479963257207,0.9801078523074485,666.006899113826,1188.7280467568066
pool_label_control,resid_pool_label_control,1041.840074907271,15.410983937114528,1026.4290909701565,1041.840074907271,15.98821500999724,1025.8518598972737,0.9852079178865469,701.2691616071463,1342.8188820081473
ml_shuffled_target_control,resid_ml_shuffled_target_control,1032.4056775834677,21.407021248136683,1010.998656335331,1032.4056775834677,21.509826061643682,1010.8958515218239,0.9792649132865642,733.5581484464795,1266.1562567329656
b2_feature_knockout_control,resid_b2_feature_knockout_control,1041.840074907271,15.410983937114528,1026.4290909701565,1041.840074907271,15.98821500999724,1025.8518598972737,0.9852079178865469,773.5026448850231,1290.2244754384667
topology_only_control,resid_topology_only_control,1041.840074907271,15.410983937114525,1026.4290909701565,1041.840074907271,15.988215009997239,1025.8518598972737,0.9852079178865469,770.0390080743231,1331.1032017514262
run_family_only_control,resid_run_family_only_control,1041.840074907271,15.41098393711453,1026.4290909701565,1041.840074907271,15.98821500999724,1025.8518598972737,0.9852079178865469,723.3238964897315,1302.672359244349
