comparison,baseline,nominal_coverage,topology,delta_abs_coverage_error,delta_interval_width_ns,delta_signed_offdiag_cov_delta_ns2
extra_trees_s05e_dynamic_minus_pair_median,pair_median,0.68,all,0.001756154175065694,0.2823312066708601,
extra_trees_s05e_dynamic_minus_pair_median,pair_median,0.68,B2_containing,-0.0029120029120028867,0.6758226284444886,
extra_trees_s05e_dynamic_minus_pair_median,pair_median,0.68,downstream_only,0.004966555183946397,-0.12429974775256358,
extra_trees_s05e_dynamic_minus_pair_median,pair_median,0.95,all,0.00024433449392213813,-65.39319902798616,
extra_trees_s05e_dynamic_minus_pair_median,pair_median,0.95,B2_containing,-0.0005687505687506089,-99.56584277243631,
extra_trees_s05e_dynamic_minus_pair_median,pair_median,0.95,downstream_only,0.0005945745076181286,4.2283953279760915,
extra_trees_s05e_dynamic_minus_pair_median,pair_median,,B2_minus_downstream,,,-924.2883953706942
extra_trees_s05e_dynamic_minus_traditional_s05d_static_priors,traditional_s05d_static_priors,0.68,all,0.006474864088937826,-11.216430954172878,
extra_trees_s05e_dynamic_minus_traditional_s05d_static_priors,traditional_s05d_static_priors,0.68,B2_containing,0.0054827554827554525,-10.494787468845413,
extra_trees_s05e_dynamic_minus_traditional_s05d_static_priors,traditional_s05d_static_priors,0.68,downstream_only,0.0033444816053511683,-11.403908436591994,
extra_trees_s05e_dynamic_minus_traditional_s05d_static_priors,traditional_s05d_static_priors,0.95,all,-0.001374381528312263,-6.534524297031695,
extra_trees_s05e_dynamic_minus_traditional_s05d_static_priors,traditional_s05d_static_priors,0.95,B2_containing,-0.0007416507416507789,-2.686587023943126,
extra_trees_s05e_dynamic_minus_traditional_s05d_static_priors,traditional_s05d_static_priors,0.95,downstream_only,0.0002694165737645582,-20.257822134620767,
extra_trees_s05e_dynamic_minus_traditional_s05d_static_priors,traditional_s05d_static_priors,,B2_minus_downstream,,,-2.9465829037284834
