method,method_class,topology,n_pair_rows,n_runs,sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,full_rms_ns,full_rms_ci_low_ns,full_rms_ci_high_ns,tail_fraction_abs_gt_5ns,tail_coverage_abs_le_5ns,mean_abs_pair_cov_ns2
pair_median,traditional,all,65484,21,2.090504189144874,1.8017129482629906,10.69050492686981,20.680328523812705,16.1971397273314,29.108510563788904,0.14177509009834463,0.8582249099016553,228.5346093364996
pair_median,traditional,B2_containing,43956,21,3.526279240861914,1.8521136758008439,27.930217600064523,24.825131582303122,19.136406675864663,36.70788937314448,0.20274820274820274,0.7972517972517973,1041.840074907271
pair_median,traditional,downstream_only,21528,21,1.7393739588381734,1.6937008036295698,1.7761517364349124,6.5376836511413465,5.519716718207103,7.636768422469565,0.01741917502787068,0.9825808249721293,15.988215009997242
traditional_s05d_static_priors,traditional,all,65484,21,7.811125173139162,7.282598278450287,8.987289363574456,10.821907311185893,9.788885549367738,13.129384504719198,0.484530572353552,0.515469427646448,59.16184255393457
traditional_s05d_static_priors,traditional,B2_containing,43956,21,7.91002367025639,7.251815736050973,9.245471024513014,11.812901202431451,10.552363304165244,14.358579986017533,0.48707798707798705,0.5129220129220129,155.18189119262325
traditional_s05d_static_priors,traditional,downstream_only,21528,21,7.421527447938758,6.8458633229652825,8.353370224591513,8.452385526280477,7.741677219701928,9.459557206436562,0.47394091415830547,0.5260590858416946,50.795961367135384
ridge,ml,all,65484,21,7.0717405077670215,6.520237382458043,8.334864285148733,10.49918604277762,9.575159120509811,12.671979123460932,0.44887300714678396,0.5511269928532161,55.530653968520234
ridge,ml,B2_containing,43956,21,7.36964155088298,6.806754826961097,8.968090517795012,11.412333834818936,10.292194007529048,13.73208369493257,0.4677177177177177,0.5322822822822822,135.9149241024824
ridge,ml,downstream_only,21528,21,6.421599009463135,5.658419579035956,7.722727340494782,8.341138527394348,7.448880921456102,9.452276914846667,0.4076086956521739,0.592391304347826,55.60781736928014
gradient_boosted_trees,ml,all,65484,21,3.9222052854330434,3.5816246721659426,6.746404297496336,12.349296931974235,10.352991450103588,17.118102056961252,0.19722374931280923,0.8027762506871907,69.80499469194102
gradient_boosted_trees,ml,B2_containing,43956,21,4.367468249931983,3.55399152119376,13.307950437082406,14.858111049021135,12.352819321447328,18.97703271151027,0.2471107471107471,0.7528892528892529,279.52898588297114
gradient_boosted_trees,ml,downstream_only,21528,21,3.36468624871487,3.213412654869116,3.4589549992077853,5.549599823822943,4.7666859382954225,6.688785812113429,0.13196767001114829,0.8680323299888517,13.117108952677006
extra_trees_s05e_dynamic,ml,all,65484,21,2.1983933271176834,1.8712801871485025,3.419962935649406,8.85957894357421,7.511456087042451,11.266610637928546,0.16040559525991083,0.8395944047400892,36.063303763691906
extra_trees_s05e_dynamic,ml,B2_containing,43956,21,2.61107003868222,2.0899039435088733,5.252362506217513,10.314763098199716,8.778326913668051,12.993971413122098,0.20936845936845938,0.7906315406315406,118.79796189867517
extra_trees_s05e_dynamic,ml,downstream_only,21528,21,1.7005912014160078,1.545879398328983,2.201956987366591,4.67745140619669,3.6942787916579207,5.934827057477942,0.059318097361575624,0.9406819026384243,16.177447173460102
mlp,ml,all,65484,21,4.269163950157181,3.847935130929355,5.37442546192537,19.185903688185398,14.818540329889032,27.390100454934128,0.24598375175615417,0.7540162482438458,207.01596608771158
mlp,ml,B2_containing,43956,21,4.949625045190333,3.9833860762731925,19.185124027008655,23.187719492354784,17.985565763951122,31.612695411545126,0.28414778414778413,0.7158522158522158,913.8763342372308
mlp,ml,downstream_only,21528,21,3.0307937358074115,2.7350230846115275,3.246757936317969,6.733857304186332,5.806761591280169,7.809677682360807,0.08361204013377926,0.9163879598662207,16.607951629742715
cnn_1d,ml,all,65484,21,5.79709612846942,4.29827657884254,8.925543016406284,20.52317319041698,16.328500573746336,28.2497737096114,0.3707623236210372,0.6292376763789628,233.69622862597447
cnn_1d,ml,B2_containing,43956,21,6.885457843952743,4.940728147967084,19.973864691743632,24.669709119145015,18.939008816889164,34.24780744179555,0.39908089908089905,0.600919100919101,1031.4855702291763
cnn_1d,ml,downstream_only,21528,21,4.3119292338036015,3.3325676576289345,5.1362546595296,7.536359686496945,6.71141345788498,8.250419841945236,0.2525083612040134,0.7474916387959866,17.207402302704466
support_gated_cnn_new,ml,all,65484,21,4.888263752427487,3.977526890108591,11.885777183757464,20.33004069825825,15.854855487502123,28.256079333688657,0.30725062610714066,0.6927493738928593,228.15409861559377
support_gated_cnn_new,ml,B2_containing,43956,21,5.726682914355387,4.440076436621856,19.577451923985958,24.482521170755167,18.832121253785523,33.66681117277625,0.34286559286559287,0.6571344071344072,1030.1172331899843
support_gated_cnn_new,ml,downstream_only,21528,21,3.4872432707261574,3.118831396560317,3.7870379046937743,7.117906726455443,6.195154394891234,8.178421573749272,0.15454292084726867,0.8454570791527313,16.04864960327632
waveform_only_mlp,control,all,65484,21,3.8892144422055708,3.4814086294194317,11.973874677968467,19.70316802210373,14.935802133303042,27.33914042215938,0.21831287031946736,0.7816871296805327,221.30098501808544
waveform_only_mlp,control,B2_containing,43956,21,4.672488982987291,3.51408767436475,17.58581072607722,23.76521826468425,18.51615308755432,32.84637952604741,0.26144326144326147,0.7385567385567385,967.0067929997608
waveform_only_mlp,control,downstream_only,21528,21,3.0419685163148724,2.8798287879088105,3.3027480397656,6.749489883568035,5.828086828771304,8.030911450602614,0.1014957264957265,0.8985042735042735,19.358796674040107
pool_label_control,control,all,65484,21,6.385608472031155,5.020270123272776,10.81994799211134,19.571165040413167,16.08523268144167,25.850146394928196,0.4693818337303769,0.5306181662696231,228.5346093364996
pool_label_control,control,B2_containing,43956,21,4.47718455393346,2.4417941087297685,23.33005319346776,23.127179543771167,17.892712275764275,31.57722229828709,0.30635180635180637,0.6936481936481936,1041.840074907271
pool_label_control,control,downstream_only,21528,21,4.551120347873682,2.1263211850567236,8.430944076298038,8.709441824978969,7.388848962066238,10.888448206546114,0.17623560014864362,0.8237643998513564,15.98821500999724
ml_shuffled_target_control,control,all,65484,21,5.005683761941663,4.529063874787172,7.027082668455289,20.653116875272826,16.38177662061491,28.644426738260094,0.31630627328813143,0.6836937267118686,236.0738813465531
ml_shuffled_target_control,control,B2_containing,43956,21,5.851649433282754,4.472989096822066,20.669655670421147,24.864796542415363,19.920438968602614,35.78035103848837,0.3313768313768314,0.6686231686231686,1032.4056775834677
ml_shuffled_target_control,control,downstream_only,21528,21,3.960193751852196,3.4747100229185186,4.453956981865236,7.42362539796182,6.373539487533788,8.686088059201357,0.20201597918989223,0.7979840208101078,21.509826061643682
