max_leaf_nodes,learning_rate,l2_regularization,cv_mae_adc,cv_mae_std_adc
63,0.08,0.1,18.90346613512966,1.6909318543929952
63,0.08,0.0,18.940988713562955,2.0108666194715132
63,0.04,0.1,19.694907611168393,1.5677754803641055
63,0.04,0.0,19.748326668101694,1.5821464499221676
31,0.08,0.0,20.33268420765798,1.7775730643784444
31,0.08,0.1,20.355126062758206,1.8877636791034604
31,0.04,0.1,21.965902944918696,1.7861889959534638
31,0.04,0.0,21.9660202071574,1.64230587828074
15,0.08,0.0,23.290374694092616,2.0248838069960775
15,0.08,0.1,23.33065414092066,1.9656063748992958
15,0.04,0.0,26.661010695238502,2.324012593669146
15,0.04,0.1,26.75363336593925,2.1768473752310786
