method,delta_mae_vs_traditional_adc,ci_low_adc,ci_high_adc
hist_gradient_boosted_trees,-169.86776351129262,-232.22898254490272,-103.70403112197471
mlp,-155.06097636514977,-216.2036849858589,-90.19005380415257
sorted_residual_net,-103.9427884869783,-127.75333515896091,-78.68037921304553
one_dimensional_cnn,-69.83035605517449,-90.84016849427096,-47.539457491742894
ridge,-20.465597433939962,-76.53113930006006,39.01857503377269
sorted_baseline_direct,142.72816419187973,83.31799355729407,198.72395720378802
