run,method,n,mae_adc,bias_adc,rmse_adc
57,hist_gradient_boosted_trees,13833,25.217847499194722,0.600531227035755,117.58474901716792
57,mlp,13833,41.24314505823817,1.1183549288367578,158.94446613618624
57,sorted_residual_net,13833,129.69349488513654,-68.95798278601217,554.6928411512212
57,one_dimensional_cnn,13833,166.6066615498265,-64.14917198682498,620.92003788743
57,ridge,13833,180.91569074403745,-23.793685579182263,338.870235950791
57,traditional_calibrated_sorted_baseline,13833,257.44683004409745,-190.5282295958939,1118.3667454989934
57,sorted_baseline_direct,13833,456.17078724788547,-456.17078724788547,1523.2502799848312
65,hist_gradient_boosted_trees,13038,15.218042815745706,-0.34623830110229387,56.54490315576943
65,mlp,13038,28.732020133568042,-5.495755979024534,79.45124380648979
65,sorted_residual_net,13038,40.241694724674986,7.533303267971506,156.1473646129462
65,one_dimensional_cnn,13038,71.38261644597762,24.52341184632181,210.79600693369753
65,traditional_calibrated_sorted_baseline,13038,118.92207393772051,-47.88778953827274,542.3336169205332
65,ridge,13038,157.94064897149366,52.66257321851199,239.1718468694981
65,sorted_baseline_direct,13038,202.24006749501459,-202.24006749501459,800.1028450057444
