method,family,n,mae_adc,mae_ci_low_adc,mae_ci_high_adc,bias_adc,rmse_adc,q05_residual_adc,q95_residual_adc
hist_gradient_boosted_trees,ml,26871,20.365871262254963,15.218042815745806,25.217847499194725,0.14115192935930526,93.10736331548276,-34.82941232371559,37.266496763118084
mlp,ml,26871,35.17265840839822,28.732020133567946,41.24314505823857,-2.0908586477586617,126.76063918116272,-52.042797450706985,65.25680672631552
sorted_residual_net,new_architecture,26871,86.29084628656939,40.241694724674986,129.69349488513654,-31.843867659227186,412.58203297723094,-42.228759765625,61.568359375
one_dimensional_cnn,ml,26871,120.4032787183732,71.38261644597762,166.6066615498265,-21.12460468316796,469.0781199771216,-86.899169921875,145.967529296875
ridge,ml,26871,169.7680373396079,157.9406489714932,180.9156907440374,13.303434074136838,294.73821836045863,-365.3927962430198,278.13669330286893
traditional_calibrated_sorted_baseline,traditional,26871,190.2336347735477,118.92207393772051,257.44683004409745,-121.31807524840906,886.8969076950555,-708.5,7.5
sorted_baseline_direct,traditional,26871,332.9617989654274,202.24006749501459,456.17078724788547,-332.9617989654274,1226.8178090319684,-2389.0,-2.0
