heldout_run,stave,forbidden_heldout_target_median_ns,n_heldout_pulses
58,B4,-3.4326984352334122,73
58,B6,2.172314832344213,73
58,B8,1.195825652711605,73
59,B4,-4.974114624590449,763
59,B6,3.167666063624793,763
59,B8,1.9846460422496932,763
60,B4,-3.535383610966882,808
60,B6,2.406588378333595,808
60,B8,0.988449732852331,808
61,B4,-2.9391727106500127,933
61,B6,2.179767712668969,933
61,B8,1.0551540927423844,933
62,B4,-4.0345769282411865,807
62,B6,2.6480074282284463,807
62,B8,1.433100320253672,807
63,B4,-4.422545074662395,370
63,B6,3.0844912436275926,370
63,B8,1.5710820814164315,370
65,B4,-4.272708030196995,66
65,B6,2.53857588661797,66
65,B8,1.7226729896550097,66
