method,base_method,drift_order,fold,heldout_runs,sigma68_ns,n_pair_residuals,heldout_run
s02d_binned_timewalk_drift0,s02b_template,0,0,61 65,3.2374293502495077,2997,58
s02d_binned_timewalk_drift0,s02b_template,0,1,60 63,2.822657314804678,3534,58
s02d_binned_timewalk_drift0,s02b_template,0,2,59 62,3.1948464631869604,4710,58
s02d_binned_timewalk_drift1,s02b_template,1,0,61 65,3.2351400647769846,2997,58
s02d_binned_timewalk_drift1,s02b_template,1,1,60 63,2.828592395749235,3534,58
s02d_binned_timewalk_drift1,s02b_template,1,2,59 62,3.2416660213613633,4710,58
s02d_binned_timewalk_drift2,s02b_template,2,0,61 65,3.2904028039133957,2997,58
s02d_binned_timewalk_drift2,s02b_template,2,1,60 63,2.8222888082035213,3534,58
s02d_binned_timewalk_drift2,s02b_template,2,2,59 62,3.4013659855866383,4710,58
s02d_global_timewalk_drift0,template_phase,0,0,61 65,2.1563360964592846,2997,58
s02d_global_timewalk_drift0,template_phase,0,1,60 63,1.5203552617821816,3534,58
s02d_global_timewalk_drift0,template_phase,0,2,59 62,1.5754128675005348,4710,58
s02d_global_timewalk_drift1,template_phase,1,0,61 65,2.155079111118674,2997,58
s02d_global_timewalk_drift1,template_phase,1,1,60 63,1.5119479188349743,3534,58
s02d_global_timewalk_drift1,template_phase,1,2,59 62,1.5970644804855194,4710,58
s02d_global_timewalk_drift2,template_phase,2,0,61 65,2.1747857730142255,2997,58
s02d_global_timewalk_drift2,template_phase,2,1,60 63,1.524749087782711,3534,58
s02d_global_timewalk_drift2,template_phase,2,2,59 62,2.0144788574096593,4710,58
s02d_binned_timewalk_drift0,s02b_template,0,0,61,3.553774649220059,2799,59
s02d_binned_timewalk_drift0,s02b_template,0,1,58 60 65,3.08016261393861,2841,59
s02d_binned_timewalk_drift0,s02b_template,0,2,62 63,3.522400211240499,3531,59
s02d_binned_timewalk_drift1,s02b_template,1,0,61,3.6112584762318853,2799,59
s02d_binned_timewalk_drift1,s02b_template,1,1,58 60 65,2.952057735104463,2841,59
s02d_binned_timewalk_drift1,s02b_template,1,2,62 63,3.287424800678641,3531,59
s02d_binned_timewalk_drift2,s02b_template,2,0,61,3.6395744454542247,2799,59
